## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:51
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M6013010
## Nom station                      : L'Evre à la Chapelle-Saint-Florent [Pont Dalaine]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      394063 ;    6697825 ;      394042 ;    6697844 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      343871 ;    2262224 ;      343913 ;    2262249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.05123 ;   47.31010 ;    -1.05152 ;   47.31026 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      460.00 ;     467.58 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          11 ;         18 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.3 [%]
## Débits disponibles               :  1967-02-14 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670214;    1660;   0.307;     9;     1
 19670215;    1830;   0.338;     9;     1
 19670216;    2130;   0.394;     9;     1
 19670217;    3160;   0.584;     9;     1
 19670218;    4730;   0.874;     9;     1
 19670219;   24900;   4.601;     9;     1
 19670220;   66000;  12.196;     9;     1
 19670221;   26400;   4.878;     9;     1
 19670222;   15000;   2.772;     9;     1
 19670223;    6800;   1.257;     9;     1
 19670224;    5350;   0.989;     9;     1
 19670225;    4330;   0.800;     9;     1
 19670226;    5600;   1.035;     9;     1
 19670227;    5500;   1.016;     9;     1
 19670228;    4930;   0.911;     9;     1
 19670301;   12800;   2.365;     9;     1
 19670302;   25500;   4.712;     9;     1
 19670303;    8350;   1.543;     9;     1
 19670304;    5350;   0.989;     9;     1
 19670305;    5150;   0.952;     9;     1
 19670306;    7600;   1.404;     9;     1
 19670307;    5150;   0.952;     9;     1
 19670308;    4260;   0.787;     9;     1
 19670309;    5000;   0.924;     9;     1
 19670310;   17000;   3.141;     9;     1
 19670311;   93000;  17.185;     9;     1
 19670312;   27900;   5.155;     9;     1
 19670313;    8400;   1.552;     9;     1
 19670314;    7500;   1.386;     9;     1
 19670315;    5500;   1.016;     9;     1
 19670316;    4460;   0.824;     9;     1
 19670317;    3760;   0.695;     9;     1
 19670318;    3060;   0.565;     9;     1
 19670319;    3130;   0.578;     9;     1
 19670320;    3200;   0.591;     9;     1
 19670321;    2730;   0.504;     9;     1
 19670322;    2500;   0.462;     9;     1
 19670323;    2330;   0.431;     9;     1
 19670324;    1930;   0.357;     9;     1
 19670325;    1830;   0.338;     9;     1
 19670326;    1800;   0.333;     9;     1
 19670327;    2460;   0.455;     9;     1
 19670328;    6450;   1.192;     9;     1
 19670329;    5050;   0.933;     9;     1
 19670330;    3400;   0.628;     9;     1
 19670331;    2530;   0.467;     9;     1
 19670401;    2070;   0.382;     9;     1
 19670402;    2080;   0.384;     9;     1
 19670403;    2200;   0.407;     9;     1
 19670404;    1870;   0.346;     9;     1
 19670405;    1650;   0.305;     9;     1
 19670406;    1400;   0.259;     9;     1
 19670407;    1590;   0.294;     9;     1
 19670408;    1220;   0.225;     9;     1
 19670409;    1230;   0.227;     9;     1
 19670410;    1910;   0.353;     9;     1
 19670411;    2980;   0.551;     9;     1
 19670412;    4100;   0.758;     9;     1
 19670413;    3260;   0.602;     9;     1
 19670414;    2380;   0.440;     9;     1
 19670415;    1680;   0.310;     9;     1
 19670416;    1650;   0.305;     9;     1
 19670417;    1610;   0.297;     9;     1
 19670418;    1300;   0.240;     9;     1
 19670419;    1000;   0.185;     9;     1
 19670420;     725;   0.134;     9;     1
 19670421;     865;   0.160;     9;     1
 19670422;     655;   0.121;     9;     1
 19670423;     685;   0.127;     9;     1
 19670424;    1090;   0.201;     9;     1
 19670425;    1210;   0.224;     9;     1
 19670426;    1060;   0.196;     9;     1
 19670427;    1150;   0.212;     9;     1
 19670428;    1000;   0.185;     9;     1
 19670429;    1000;   0.185;     9;     1
 19670430;     615;   0.114;     9;     1
 19670501;     665;   0.123;     9;     1
 19670502;     835;   0.154;     9;     1
 19670503;     645;   0.119;     9;     1
 19670504;     575;   0.106;     9;     1
 19670505;     665;   0.123;     9;     1
 19670506;     845;   0.156;     9;     1
 19670507;     635;   0.117;     9;     1
 19670508;     865;   0.160;     9;     1
 19670509;     965;   0.178;     9;     1
 19670510;     715;   0.132;     9;     1
 19670511;     855;   0.158;     9;     1
 19670512;     675;   0.125;     9;     1
 19670513;     491;   0.091;     9;     1
 19670514;     312;   0.058;     9;     1
 19670515;     166;   0.031;     9;     1
 19670516;     700;   0.129;     9;     1
 19670517;     725;   0.134;     9;     1
 19670518;     560;   0.103;     9;     1
 19670519;     510;   0.094;     9;     1
 19670520;     510;   0.094;     9;     1
 19670521;     341;   0.063;     9;     1
 19670522;     433;   0.080;     9;     1
 19670523;     770;   0.142;     9;     1
 19670524;    1150;   0.212;     9;     1
 19670525;    6650;   1.229;     9;     1
 19670526;    7550;   1.395;     9;     1
 19670527;    3180;   0.588;     9;     1
 19670528;    2220;   0.410;     9;     1
 19670529;    3530;   0.652;     9;     1
 19670530;    2070;   0.382;     9;     1
 19670531;    1450;   0.268;     9;     1
 19670601;     890;   0.164;     9;     1
 19670602;    1170;   0.216;     9;     1
 19670603;     765;   0.141;     9;     1
 19670604;     466;   0.086;     9;     1
 19670605;     590;   0.109;     9;     1
 19670606;     785;   0.145;     9;     1
 19670607;     585;   0.108;     9;     1
 19670608;    1330;   0.246;     9;     1
 19670609;    1020;   0.188;     9;     1
 19670610;     675;   0.125;     9;     1
 19670611;     595;   0.110;     9;     1
 19670612;     496;   0.092;     9;     1
 19670613;     479;   0.089;     9;     1
 19670614;     605;   0.112;     9;     1
 19670615;     345;   0.064;     9;     1
 19670616;     395;   0.073;     9;     1
