## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M6323010
## Nom station                      : L'Erdre à Candé [La Grée]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      395711 ;    6725493 ;      395667 ;    6725510 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      345293 ;    2289926 ;      345313 ;    2289949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.04821 ;   47.55960 ;    -1.04880 ;   47.55973 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       169.0 ;      170.7 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          34 ;         36 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-03-21 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680321;    1110;   0.562;     9;     1
 19680322;    2700;   1.367;     9;     1
 19680323;    3040;   1.539;     9;     1
 19680324;    1970;   0.997;     9;     1
 19680325;    1160;   0.587;     9;     1
 19680326;     839;   0.425;     9;     1
 19680327;     721;   0.365;     9;     1
 19680328;     631;   0.319;     9;     1
 19680329;     555;   0.281;     9;     1
 19680330;     435;   0.220;     9;     1
 19680331;     378;   0.191;     9;     1
 19680401;     328;   0.166;     9;     1
 19680402;     391;   0.198;     9;     1
 19680403;     491;   0.249;     9;     1
 19680404;     463;   0.234;     9;     1
 19680405;     386;   0.195;     9;     1
 19680406;     347;   0.176;     9;     1
 19680407;     336;   0.170;     9;     1
 19680408;     287;   0.145;     9;     1
 19680409;     244;   0.124;     9;     1
 19680410;     238;   0.120;     9;     1
 19680411;     208;   0.105;     9;     1
 19680412;     196;   0.099;     9;     1
 19680413;     193;   0.098;     9;     1
 19680414;     179;   0.091;     9;     1
 19680415;     165;   0.084;     9;     1
 19680416;     176;   0.089;     9;     1
 19680417;     246;   0.125;     9;     1
 19680418;     272;   0.138;     9;     1
 19680419;     242;   0.122;     9;     1
 19680420;     200;   0.101;     9;     1
 19680421;     188;   0.095;     9;     1
 19680422;     154;   0.078;     9;     1
 19680423;     119;   0.060;     9;     1
 19680424;      94;   0.048;     9;     1
 19680425;      66;   0.033;     9;     1
 19680426;      56;   0.028;     9;     1
 19680427;      93;   0.047;     9;     1
 19680428;     234;   0.118;     9;     1
 19680429;     390;   0.197;     9;     1
 19680430;     508;   0.257;     9;     1
 19680501;     610;   0.309;     9;     1
 19680502;     814;   0.412;     9;     1
 19680503;     851;   0.431;     9;     1
 19680504;    1210;   0.612;     9;     1
 19680505;    1400;   0.709;     9;     1
 19680506;    1030;   0.521;     9;     1
 19680507;     753;   0.381;     9;     1
 19680508;     708;   0.358;     9;     1
 19680509;    1250;   0.633;     9;     1
 19680510;    1060;   0.537;     9;     1
 19680511;     739;   0.374;     9;     1
 19680512;     549;   0.278;     9;     1
 19680513;     433;   0.219;     9;     1
 19680514;     326;   0.165;     9;     1
 19680515;     266;   0.135;     9;     1
 19680516;     198;   0.100;     9;     1
 19680517;     140;   0.071;     9;     1
 19680518;     114;   0.058;     9;     1
 19680519;     111;   0.056;     9;     1
 19680520;      90;   0.046;     9;     1
 19680521;      70;   0.035;     9;     1
 19680522;      63;   0.032;     9;     1
 19680523;      58;   0.029;     9;     1
 19680524;      64;   0.032;     9;     1
 19680525;      70;   0.035;     9;     1
 19680526;      66;   0.033;     9;     1
 19680527;      60;   0.030;     9;     1
 19680528;      50;   0.025;     9;     1
 19680529;      37;   0.019;     9;     1
 19680530;      34;   0.017;     9;     1
 19680531;      30;   0.015;     9;     1
 19680601;      25;   0.013;     9;     1
 19680602;      26;   0.013;     9;     1
 19680603;     887;   0.449;     9;     1
 19680604;    1120;   0.567;     9;     1
 19680605;     611;   0.309;     9;     1
 19680606;     856;   0.433;     9;     1
 19680607;    1540;   0.779;     9;     1
 19680608;     996;   0.504;     9;     1
 19680609;     505;   0.256;     9;     1
 19680610;     284;   0.144;     9;     1
 19680611;     145;   0.073;     9;     1
 19680612;      56;   0.028;     9;     1
 19680613;      40;   0.020;     9;     1
 19680614;      53;   0.027;     9;     1
 19680615;      38;   0.019;     9;     1
 19680616;      41;   0.021;     9;     1
 19680617;      85;   0.043;     9;     1
 19680618;     171;   0.087;     9;     1
 19680619;     116;   0.059;     9;     1
 19680620;     308;   0.156;     9;     1
 19680621;     271;   0.137;     9;     1
 19680622;     181;   0.092;     9;     1
 19680623;     183;   0.093;     9;     1
 19680624;     181;   0.092;     9;     1
 19680625;     155;   0.078;     9;     1
 19680626;     101;   0.051;     9;     1
 19680627;      70;   0.035;     9;     1
 19680628;      61;   0.031;     9;     1
 19680629;      52;   0.026;     9;     1
 19680630;      35;   0.018;     9;     1
 19680701;      27;   0.014;     9;     1
 19680702;      26;   0.013;     9;     1
 19680703;      22;   0.011;     9;     1
 19680704;      18;   0.009;     9;     1
 19680705;      24;   0.012;     9;     1
 19680706;      36;   0.018;     9;     1
 19680707;      32;   0.016;     9;     1
 19680708;      34;   0.017;     9;     1
 19680709;      69;   0.035;     9;     1
 19680710;     303;   0.153;     9;     1
 19680711;     423;   0.214;     9;     1
 19680712;     312;   0.158;     9;     1
 19680713;     124;   0.063;     9;     1
 19680714;     166;   0.084;     9;     1
 19680715;     315;   0.159;     9;     1
 19680716;     351;   0.178;     9;     1
 19680717;     760;   0.385;     9;     1
 19680718;     795;   0.402;     9;     1
 19680719;     359;   0.182;     9;     1
 19680720;     153;   0.077;     9;     1
 19680721;      54;   0.027;     9;     1
 19680722;      31;   0.016;     9;     1
 19680723;      25;   0.013;     9;     1
 19680724;      22;   0.011;     9;     1
 19680725;      20;   0.010;     9;     1
 19680726;      20;   0.010;     9;     1
 19680727;      20;   0.010;     9;     1
 19680728;      20;   0.010;     9;     1
 19680729;      18;   0.009;     9;     1
 19680730;      14;   0.007;     9;     1
 19680731;      17;   0.009;     9;     1
 19680801;      19;   0.010;     9;     1
 19680802;      17;   0.009;     9;     1
 19680803;      14;   0.007;     9;     1
 19680804;      13;   0.007;     9;     1
 19680805;      18;   0.009;     9;     1
 19680806;      19;   0.010;     9;     1
 19680807;      14;   0.007;     9;     1
 19680808;      16;   0.008;     9;     1
 19680809;      23;   0.012;     9;     1
 19680810;      40;   0.020;     9;     1
 19680811;      36;   0.018;     9;     1
 19680812;      31;   0.016;     9;     1
 19680813;      75;   0.038;     9;     1
 19680814;      35;   0.018;     9;     1
 19680815;      28;   0.014;     9;     1
 19680816;      30;   0.015;     9;     1
 19680817;      32;   0.016;     9;     1
 19680818;      29;   0.015;     9;     1
 19680819;      19;   0.010;     9;     1
 19680820;      14;   0.007;     9;     1
 19680821;      19;   0.010;     9;     0
 19680822;      16;   0.008;     9;     0
 19680823;      13;   0.007;     9;     0
 19680824;      10;   0.005;     9;     0
 19680825;       7;   0.004;     9;     0
 19680826;       4;   0.002;     9;     0
 19680827;       1;   0.001;     9;     0
 19680828;       7;   0.004;     9;     1
 19680829;      19;   0.010;     9;     1
 19680830;      27;   0.014;     9;     1
 19680831;      25;   0.013;     9;     1
 19680901;      18;   0.009;     9;     1
 19680902;      25;   0.013;     9;     1
 19680903;     130;   0.066;     9;     1
 19680904;     313;   0.158;     9;     1
 19680905;     340;   0.172;     9;     1
 19680906;     346;   0.175;     9;     1
 19680907;     516;   0.261;     9;     1
 19680908;     464;   0.235;     9;     1
 19680909;     296;   0.150;     9;     1
 19680910;     267;   0.135;     9;     1
 19680911;     237;   0.120;     9;     1
 19680912;     207;   0.105;     9;     1
 19680913;     174;   0.088;     9;     1
 19680914;     140;   0.071;     9;     1
 19680915;     106;   0.054;     9;     1
 19680916;      74;   0.037;     9;     1
 19680917;      59;   0.030;     9;     1
 19680918;      47;   0.024;     9;     1
 19680919;      42;   0.021;     9;     1
 19680920;      51;   0.026;     9;     1
 19680921;     165;   0.084;     9;     1
 19680922;     489;   0.248;     9;     1
 19680923;     359;   0.182;     9;     1
 19680924;     172;   0.087;     9;     1
 19680925;      64;   0.032;     9;     1
 19680926;      37;   0.019;     9;     1
 19680927;      62;   0.031;     9;     1
 19680928;      61;   0.031;     9;     1
 19680929;     216;   0.109;     9;     1
 19680930;     577;   0.292;     9;     1
 19681001;     324;   0.164;     9;     1
 19681002;     240;   0.121;     9;     1
 19681003;     200;   0.101;     9;     1
 19681004;     150;   0.076;     9;     1
 19681005;     100;   0.051;     9;     1
 19681006;      75;   0.038;     9;     1
 19681007;      75;   0.038;     9;     1
 19681008;     150;   0.076;     9;     1
 19681009;     240;   0.121;     9;     1
 19681010;     300;   0.152;     9;     1
 19681011;     420;   0.213;     9;     1
 19681012;     420;   0.213;     9;     1
 19681013;     540;   0.273;     9;     1
 19681014;     680;   0.344;     9;     1
 19681015;     570;   0.289;     9;     1
 19681016;     460;   0.233;     9;     1
 19681017;     310;   0.157;     9;     1
 19681018;     280;   0.142;     9;     1
 19681019;     252;   0.128;     9;     1
 19681020;     215;   0.109;     9;     1
 19681021;     165;   0.084;     9;     1
 19681022;     157;   0.079;     9;     1
 19681023;     142;   0.072;     9;     1
 19681024;     156;   0.079;     9;     1
 19681025;     187;   0.095;     9;     1
 19681026;     172;   0.087;     9;     1
 19681027;     126;   0.064;     9;     1
 19681028;     117;   0.059;     9;     1
 19681029;     188;   0.095;     9;     1
 19681030;     241;   0.122;     9;     1
 19681031;     258;   0.131;     9;     1
 19681101;     259;   0.131;     9;     1
 19681102;     352;   0.178;     9;     1
 19681103;     378;   0.191;     9;     1
 19681104;     249;   0.126;     9;     1
 19681105;     170;   0.086;     9;     1
 19681106;     157;   0.079;     9;     1
 19681107;     157;   0.079;     9;     1
 19681108;     157;   0.079;     9;     1
 19681109;     195;   0.099;     9;     1
 19681110;     398;   0.201;     9;     1
 19681111;     272;   0.138;     9;     1
 19681112;     191;   0.097;     9;     1
 19681113;     208;   0.105;     9;     1
 19681114;     167;   0.085;     9;     1
 19681115;     157;   0.079;     9;     1
 19681116;     133;   0.067;     9;     1
 19681117;     126;   0.064;     9;     1
 19681118;     139;   0.070;     9;     1
 19681119;     152;   0.077;     9;     1
 19681120;     189;   0.096;     9;     1
 19681121;     173;   0.088;     9;     1
 19681122;     132;   0.067;     9;     1
 19681123;     169;   0.086;     9;     1
 19681124;     279;   0.141;     9;     1
 19681125;     160;   0.081;     9;     1
 19681126;     150;   0.076;     9;     1
 19681127;     144;   0.073;     9;     1
 19681128;     138;   0.070;     9;     1
 19681129;     133;   0.067;     9;     1
 19681130;     127;   0.064;     9;     1
 19681201;     121;   0.061;     9;     1
 19681202;     116;   0.059;     9;     1
 19681203;     113;   0.057;     9;     0
 19681204;     113;   0.057;     9;     0
 19681205;     113;   0.057;     9;     0
 19681206;     113;   0.057;     9;     0
 19681207;     113;   0.057;     9;     0
 19681208;     113;   0.057;     9;     0
 19681209;     113;   0.057;     9;     0
 19681210;     105;   0.053;     9;     1
 19681211;      93;   0.047;     9;     1
 19681212;      80;   0.040;     9;     1
 19681213;      69;   0.035;     9;     1
 19681214;      61;   0.031;     9;     1
 19681215;     233;   0.118;     9;     1
 19681216;     722;   0.365;     9;     1
 19681217;    1030;   0.521;     9;     1
 19681218;    1290;   0.653;     9;     1
 19681219;    1530;   0.774;     9;     1
 19681220;    1100;   0.557;     9;     1
 19681221;    1330;   0.673;     9;     1
 19681222;    1930;   0.977;     9;     1
 19681223;    2920;   1.478;     9;     1
 19681224;    3200;   1.620;     9;     1
 19681225;    2530;   1.281;     9;     1
 19681226;    2140;   1.083;     9;     1
 19681227;    1570;   0.795;     9;     1
 19681228;    1060;   0.537;     9;     1
 19681229;     857;   0.434;     9;     1
 19681230;     811;   0.410;     9;     1
 19681231;     809;   0.409;     9;     1
 19690101;     731;   0.370;     9;     1
 19690102;     675;   0.342;     9;     1
 19690103;     630;   0.319;     9;     1
 19690104;     590;   0.299;     9;     1
 19690105;     568;   0.287;     9;     1
 19690106;     552;   0.279;     9;     1
 19690107;     657;   0.333;     9;     1
 19690108;    1330;   0.673;     9;     1
 19690109;    2290;   1.159;     9;     1
 19690110;    1660;   0.840;     9;     1
 19690111;    1100;   0.557;     9;     1
 19690112;     935;   0.473;     9;     1
 19690113;    3140;   1.589;     9;     1
 19690114;    5520;   2.794;     9;     1
 19690115;    4740;   2.399;     9;     1
 19690116;    4460;   2.257;     9;     1
 19690117;    3410;   1.726;     9;     1
 19690118;    3780;   1.913;     9;     1
 19690119;    3130;   1.584;     9;     1
 19690120;    2470;   1.250;     9;     1
 19690121;    1940;   0.982;     9;     1
 19690122;    1600;   0.810;     9;     1
 19690123;    1250;   0.633;     9;     1
 19690124;     929;   0.470;     9;     1
 19690125;     889;   0.450;     9;     1
 19690126;     842;   0.426;     9;     1
 19690127;     800;   0.405;     9;     1
 19690128;    1070;   0.542;     9;     1
 19690129;    2900;   1.468;     9;     1
 19690130;    2490;   1.260;     9;     1
 19690131;    1700;   0.860;     9;     1
 19690201;    1390;   0.704;     9;     1
 19690202;    1370;   0.693;     9;     1
 19690203;    1200;   0.607;     9;     1
 19690204;     991;   0.502;     9;     1
 19690205;     865;   0.438;     9;     1
 19690206;     811;   0.410;     9;     1
 19690207;     820;   0.415;     9;     1
 19690208;     825;   0.418;     9;     1
 19690209;     723;   0.366;     9;     1
 19690210;     696;   0.352;     9;     1
 19690211;     767;   0.388;     9;     1
 19690212;    1170;   0.592;     9;     1
 19690213;    1210;   0.612;     9;     1
 19690214;     920;   0.466;     9;     1
 19690215;     708;   0.358;     9;     1
 19690216;     595;   0.301;     9;     1
 19690217;     504;   0.255;     9;     1
 19690218;     513;   0.260;     9;     1
 19690219;     999;   0.506;     9;     1
 19690220;    3010;   1.524;     9;     1
 19690221;    3160;   1.599;     9;     1
 19690222;    3690;   1.868;     9;     1
 19690223;    4370;   2.212;     9;     1
 19690224;    3350;   1.696;     9;     1
 19690225;    2150;   1.088;     9;     1
 19690226;    1410;   0.714;     9;     1
 19690227;    1140;   0.577;     9;     1
 19690228;     984;   0.498;     9;     1
 19690301;     951;   0.481;     9;     1
 19690302;    1150;   0.582;     9;     1
 19690303;    1460;   0.739;     9;     1
 19690304;    3120;   1.579;     9;     1
 19690305;    2320;   1.174;     9;     1
 19690306;    1420;   0.719;     9;     1
 19690307;    1060;   0.537;     9;     1
 19690308;     890;   0.450;     9;     1
 19690309;     765;   0.387;     9;     1
 19690310;     738;   0.374;     9;     1
 19690311;     949;   0.480;     9;     1
 19690312;    1810;   0.916;     9;     1
 19690313;    2780;   1.407;     9;     1
 19690314;    3120;   1.579;     9;     1
 19690315;    2800;   1.417;     9;     1
 19690316;    3490;   1.766;     9;     1
 19690317;    6060;   3.067;     9;     1
 19690318;    6930;   3.508;     9;     1
 19690319;    6100;   3.088;     9;     1
 19690320;    5240;   2.652;     9;     1
 19690321;    4990;   2.526;     9;     1
 19690322;    3850;   1.949;     9;     1
 19690323;    2760;   1.397;     9;     1
 19690324;    1770;   0.896;     9;     1
 19690325;    1340;   0.678;     9;     1
 19690326;    1140;   0.577;     9;     1
 19690327;     982;   0.497;     9;     1
 19690328;     875;   0.443;     9;     1
 19690329;     786;   0.398;     9;     1
 19690330;     729;   0.369;     9;     1
 19690331;     743;   0.376;     9;     1
 19690401;     879;   0.445;     9;     1
 19690402;     924;   0.468;     9;     1
 19690403;     830;   0.420;     9;     1
 19690404;     737;   0.373;     9;     1
 19690405;     677;   0.343;     9;     1
 19690406;     652;   0.330;     9;     1
 19690407;     635;   0.321;     9;     1
 19690408;     616;   0.312;     9;     1
 19690409;     586;   0.297;     9;     1
 19690410;     555;   0.281;     9;     1
 19690411;     544;   0.275;     9;     1
 19690412;     544;   0.275;     9;     1
 19690413;     541;   0.274;     9;     1
 19690414;     516;   0.261;     9;     1
 19690415;     495;   0.251;     9;     1
 19690416;     479;   0.242;     9;     1
 19690417;     463;   0.234;     9;     1
 19690418;     446;   0.226;     9;     1
 19690419;     432;   0.219;     9;     1
 19690420;     444;   0.225;     9;     1
 19690421;     877;   0.444;     9;     1
 19690422;    1300;   0.658;     9;     1
 19690423;    1110;   0.562;     9;     1
 19690424;     828;   0.419;     9;     1
 19690425;     773;   0.391;     9;     1
 19690426;     756;   0.383;     9;     1
 19690427;     617;   0.312;     9;     1
 19690428;     519;   0.263;     9;     1
 19690429;     446;   0.226;     9;     1
 19690430;     373;   0.189;     9;     1
 19690501;     337;   0.171;     9;     1
 19690502;     350;   0.177;     9;     1
 19690503;     435;   0.220;     9;     1
 19690504;     361;   0.183;     9;     1
 19690505;     371;   0.188;     9;     1
 19690506;     440;   0.223;     9;     1
 19690507;     394;   0.199;     9;     1
 19690508;     419;   0.212;     9;     1
 19690509;     385;   0.195;     9;     1
 19690510;     329;   0.167;     9;     1
 19690511;     277;   0.140;     9;     1
 19690512;     227;   0.115;     9;     1
 19690513;     200;   0.101;     9;     1
 19690514;     460;   0.233;     9;     1
 19690515;    1000;   0.506;     9;     1
 19690516;     980;   0.496;     9;     1
 19690517;     873;   0.442;     9;     1
 19690518;     679;   0.344;     9;     1
