## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M6333020
## Nom station                      : L'Erdre à Nort-sur-Erdre [Moulin de Vault]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      362668 ;    6716640 ;      362618 ;    6716588 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      312298 ;    2280796 ;      312313 ;    2280749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.48023 ;   47.46397 ;    -1.48085 ;   47.46347 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      472.00 ;     462.76 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :           4 ;          6 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-10-28 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671028;     440;   0.082;     9;     1
 19671029;     381;   0.071;     9;     1
 19671030;     483;   0.090;     9;     1
 19671031;     746;   0.139;     9;     1
 19671101;    1100;   0.205;     9;     1
 19671102;    1750;   0.327;     9;     1
 19671103;    2250;   0.420;     9;     1
 19671104;    5930;   1.107;     9;     1
 19671105;    8350;   1.559;     9;     1
 19671106;    5900;   1.102;     9;     1
 19671107;    4440;   0.829;     9;     1
 19671108;    2820;   0.527;     9;     1
 19671109;    1350;   0.252;     9;     1
 19671110;     934;   0.174;     9;     1
 19671111;     784;   0.146;     9;     1
 19671112;     659;   0.123;     9;     1
 19671113;     617;   0.115;     9;     1
 19671114;     719;   0.134;     9;     1
 19671115;    2530;   0.472;     9;     1
 19671116;    3010;   0.562;     9;     1
 19671117;    3090;   0.577;     9;     1
 19671118;    2220;   0.414;     9;     1
 19671119;    1420;   0.265;     9;     1
 19671120;    1250;   0.233;     9;     1
 19671121;    1160;   0.217;     9;     1
 19671122;    1030;   0.192;     9;     1
 19671123;     818;   0.153;     9;     1
 19671124;     739;   0.138;     9;     1
 19671125;     730;   0.136;     9;     1
 19671126;     730;   0.136;     9;     1
 19671127;     729;   0.136;     9;     1
 19671128;     759;   0.142;     9;     1
 19671129;     800;   0.149;     9;     1
 19671130;     856;   0.160;     9;     1
 19671201;     890;   0.166;     9;     1
 19671202;     827;   0.154;     9;     1
 19671203;     753;   0.141;     9;     1
 19671204;     695;   0.130;     9;     1
 19671205;     665;   0.124;     9;     1
 19671206;     661;   0.123;     9;     1
 19671207;     640;   0.119;     9;     1
 19671208;     649;   0.121;     9;     1
 19671209;     729;   0.136;     9;     1
 19671210;     730;   0.136;     9;     1
 19671211;     741;   0.138;     9;     1
 19671212;     869;   0.162;     9;     1
 19671213;    1200;   0.224;     9;     1
 19671214;    1330;   0.248;     9;     1
 19671215;    1350;   0.252;     9;     1
 19671216;    1140;   0.213;     9;     1
 19671217;     975;   0.182;     9;     1
 19671218;     834;   0.156;     9;     1
 19671219;     777;   0.145;     9;     1
 19671220;     926;   0.173;     9;     1
 19671221;     982;   0.183;     9;     1
 19671222;    1560;   0.291;     9;     1
 19671223;    4350;   0.812;     9;     1
 19671224;    8650;   1.615;     9;     1
 19671225;    9350;   1.746;     9;     1
 19671226;    9720;   1.815;     9;     1
 19671227;    7490;   1.398;     9;     1
 19671228;    5720;   1.068;     9;     1
 19671229;    5270;   0.984;     9;     1
 19671230;    5230;   0.976;     9;     1
 19671231;    5200;   0.971;     9;     1
 19680101;    4810;   0.898;     9;     1
 19680102;    4500;   0.840;     9;     1
 19680103;    5200;   0.971;     9;     1
 19680104;    5900;   1.102;     9;     1
 19680105;    6550;   1.223;     9;     1
 19680106;    7140;   1.333;     9;     1
 19680107;   10400;   1.942;     9;     1
 19680108;   11100;   2.072;     9;     1
 19680109;   16200;   3.025;     9;     1
 19680110;   15900;   2.969;     9;     1
 19680111;   14200;   2.651;     9;     1
 19680112;   10600;   1.979;     9;     1
 19680113;    7830;   1.462;     9;     1
 19680114;    6250;   1.167;     9;     1
 19680115;    5450;   1.018;     9;     1
 19680116;    5560;   1.038;     9;     1
 19680117;    5810;   1.085;     9;     1
 19680118;    5240;   0.978;     9;     1
 19680119;    4300;   0.803;     9;     1
 19680120;    3600;   0.672;     9;     1
