## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:54:07
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M7112410
## Nom station                      : La Sèvre Nantaise à Tiffauges [La Moulinette]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      387664 ;    6665767 ;      387583 ;    6665722 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      337730 ;    2230090 ;      337713 ;    2230049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.11371 ;   47.01890 ;    -1.11474 ;   47.01845 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      814.00 ;     872.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        43.0 ;       48.5 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1967-10-07 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671007;    1370;   0.136;     9;     1
 19671008;    1660;   0.164;     9;     1
 19671009;    1410;   0.140;     9;     1
 19671010;    1720;   0.170;     9;     1
 19671011;    1450;   0.144;     9;     1
 19671012;    1270;   0.126;     9;     1
 19671013;     610;   0.060;     9;     1
 19671014;    1590;   0.157;     9;     1
 19671015;    1610;   0.159;     9;     1
 19671016;    1650;   0.163;     9;     1
 19671017;    4830;   0.478;     9;     1
 19671018;    8130;   0.805;     9;     1
 19671019;    4890;   0.484;     9;     1
 19671020;    2380;   0.236;     9;     1
 19671021;    2070;   0.205;     9;     1
 19671022;     930;   0.092;     9;     1
 19671023;     951;   0.094;     9;     1
 19671024;    1210;   0.120;     9;     1
 19671025;    1180;   0.117;     9;     1
 19671026;    1150;   0.114;     9;     1
 19671027;    1070;   0.106;     9;     1
 19671028;    1820;   0.180;     9;     1
 19671029;    2260;   0.224;     9;     1
 19671030;    3490;   0.346;     9;     1
 19671031;    3270;   0.324;     9;     1
 19671101;    4620;   0.458;     9;     1
 19671102;    7460;   0.739;     9;     1
 19671103;   10000;   0.991;     9;     1
 19671104;   15900;   1.575;     9;     1
 19671105;   35400;   3.507;     9;     1
 19671106;   37500;   3.715;     9;     1
 19671107;   23800;   2.358;     9;     1
 19671108;   14800;   1.466;     9;     1
 19671109;   10700;   1.060;     9;     1
 19671110;    9370;   0.928;     9;     1
 19671111;    7280;   0.721;     9;     1
 19671112;    6600;   0.654;     9;     1
 19671113;    6400;   0.634;     9;     1
 19671114;    6300;   0.624;     9;     1
 19671115;   13700;   1.357;     9;     1
 19671116;   16400;   1.625;     9;     1
 19671117;   16200;   1.605;     9;     1
 19671118;   12800;   1.268;     9;     1
 19671119;   11000;   1.090;     9;     1
 19671120;   14000;   1.387;     9;     1
 19671121;   14000;   1.387;     9;     1
 19671122;   11300;   1.119;     9;     1
 19671123;   10300;   1.020;     9;     1
 19671124;    9340;   0.925;     9;     1
 19671125;    8440;   0.836;     9;     1
 19671126;    8120;   0.804;     9;     1
 19671127;    7840;   0.777;     9;     1
 19671128;    7660;   0.759;     9;     1
 19671129;    7660;   0.759;     9;     1
 19671130;    7660;   0.759;     9;     1
 19671201;    7200;   0.713;     9;     1
 19671202;    6310;   0.625;     9;     1
 19671203;    5960;   0.590;     9;     1
 19671204;    5640;   0.559;     9;     1
 19671205;    5470;   0.542;     9;     1
 19671206;    5480;   0.543;     9;     1
 19671207;    5400;   0.535;     9;     1
 19671208;    5330;   0.528;     9;     1
 19671209;    5510;   0.546;     9;     1
 19671210;    6040;   0.598;     9;     1
 19671211;    5620;   0.557;     9;     1
 19671212;    5320;   0.527;     9;     1
 19671213;    5500;   0.545;     9;     1
 19671214;    6500;   0.644;     9;     1
 19671215;    6640;   0.658;     9;     1
 19671216;    6120;   0.606;     9;     1
 19671217;    6080;   0.602;     9;     1
 19671218;    5630;   0.558;     9;     1
 19671219;    5280;   0.523;     9;     1
 19671220;    5670;   0.562;     9;     1
 19671221;    6050;   0.599;     9;     1
 19671222;    7430;   0.736;     9;     1
 19671223;   17900;   1.773;     9;     1
 19671224;   52000;   5.151;     9;     1
 19671225;   63000;   6.240;     9;     1
 19671226;   39600;   3.923;     9;     1
 19671227;   27000;   2.674;     9;     1
 19671228;   21200;   2.100;     9;     1
 19671229;   22300;   2.209;     9;     1
