## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:54:24
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M8205020
## Nom station                      : L'Ognon aux Sorinières [Villeneuve]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      356637 ;    6678901 ;      356317 ;    6679167 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      306570 ;    2242980 ;      306313 ;    2243249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.53143 ;   47.12168 ;    -1.53584 ;   47.12391 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      147.00 ;     148.09 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :    1.000000 ;   4.140625 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.4 [%]
## Débits disponibles               :  1964-12-01 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19641201;     227;   0.132;     9;     1
 19641202;     238;   0.139;     9;     1
 19641203;     233;   0.136;     9;     1
 19641204;     225;   0.131;     9;     0
 19641205;     225;   0.131;     9;     0
 19641206;     225;   0.131;     9;     0
 19641207;     225;   0.131;     9;     0
 19641208;     225;   0.131;     9;     0
 19641209;     225;   0.131;     9;     0
 19641210;     225;   0.131;     9;     0
 19641211;     222;   0.130;     9;     1
 19641212;     209;   0.122;     9;     1
 19641213;     196;   0.114;     9;     1
 19641214;     183;   0.107;     9;     1
 19641215;     214;   0.125;     9;     1
 19641216;     308;   0.180;     9;     1
 19641217;     203;   0.118;     9;     1
 19641218;     197;   0.115;     9;     1
 19641219;     192;   0.112;     9;     1
 19641220;     186;   0.109;     9;     1
 19641221;     180;   0.105;     9;     1
 19641222;     175;   0.102;     9;     1
 19641223;     173;   0.101;     9;     1
 19641224;     171;   0.100;     9;     1
 19641225;     170;   0.099;     9;     1
 19641226;     174;   0.102;     9;     1
 19641227;     190;   0.111;     9;     1
 19641228;     322;   0.188;     9;     1
 19641229;     388;   0.226;     9;     1
 19641230;     236;   0.138;     9;     1
 19641231;     395;   0.230;     9;     1
 19650101;    1140;   0.665;     9;     1
 19650102;    1160;   0.677;     9;     1
 19650103;    1140;   0.665;     9;     1
 19650104;    1120;   0.653;     9;     1
 19650105;     776;   0.453;     9;     1
 19650106;     446;   0.260;     9;     1
 19650107;     306;   0.179;     9;     1
 19650108;     437;   0.255;     9;     1
 19650109;    1260;   0.735;     9;     1
 19650110;    1220;   0.712;     9;     1
 19650111;     791;   0.461;     9;     1
 19650112;     715;   0.417;     9;     1
 19650113;    1410;   0.823;     9;     1
 19650114;    3630;   2.118;     9;     1
 19650115;    3450;   2.013;     9;     1
 19650116;    3450;   2.013;     9;     1
 19650117;    5600;   3.267;     9;     1
 19650118;    7940;   4.632;     9;     1
 19650119;    8020;   4.679;     9;     1
 19650120;    6410;   3.740;     9;     1
 19650121;    7340;   4.282;     9;     1
 19650122;    5680;   3.314;     9;     1
 19650123;    4170;   2.433;     9;     1
 19650124;    2510;   1.464;     9;     1
 19650125;    1580;   0.922;     9;     1
 19650126;    1820;   1.062;     9;     1
 19650127;    2220;   1.295;     9;     1
 19650128;    1670;   0.974;     9;     1
 19650129;    1160;   0.677;     9;     1
 19650130;    1690;   0.986;     9;     1
 19650131;    2330;   1.359;     9;     1
 19650201;     -99; -99.000;   -99;   -99
 19650202;     -99; -99.000;   -99;   -99
 19650203;     -99; -99.000;   -99;   -99
 19650204;     -99; -99.000;   -99;   -99
 19650205;     -99; -99.000;   -99;   -99
 19650206;     -99; -99.000;   -99;   -99
 19650207;     -99; -99.000;   -99;   -99
 19650208;     -99; -99.000;   -99;   -99
 19650209;     -99; -99.000;   -99;   -99
 19650210;     -99; -99.000;   -99;   -99
 19650211;     -99; -99.000;   -99;   -99
 19650212;     -99; -99.000;   -99;   -99
 19650213;     -99; -99.000;   -99;   -99
 19650214;     -99; -99.000;   -99;   -99
 19650215;     -99; -99.000;   -99;   -99
 19650216;     -99; -99.000;   -99;   -99
 19650217;     -99; -99.000;   -99;   -99
 19650218;     -99; -99.000;   -99;   -99
 19650219;     -99; -99.000;   -99;   -99
 19650220;     -99; -99.000;   -99;   -99
 19650221;     -99; -99.000;   -99;   -99
