## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:54:36
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : N3001610
## Nom station                      : Le Grand Lay à Saint-Prouant [Monsireigne]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      398556 ;    6635342 ;      398526 ;    6635355 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      348880 ;    2199730 ;      348913 ;    2199749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.95048 ;   46.75031 ;    -0.95088 ;   46.75042 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      131.00 ;     130.55 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          63 ;         65 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    3400;   2.250;     9;     1
 19680102;    3920;   2.594;     9;     1
 19680103;    3520;   2.330;     9;     1
 19680104;    3210;   2.124;     9;     1
 19680105;    3920;   2.594;     9;     1
 19680106;    3490;   2.310;     9;     1
 19680107;    8050;   5.328;     9;     1
 19680108;    5010;   3.316;     9;     1
 19680109;    8570;   5.672;     9;     1
 19680110;    5160;   3.415;     9;     1
 19680111;    3930;   2.601;     9;     1
 19680112;    3610;   2.389;     9;     1
 19680113;    3140;   2.078;     9;     1
 19680114;    2960;   1.959;     9;     1
 19680115;    2760;   1.827;     9;     1
 19680116;    2550;   1.688;     9;     1
 19680117;    2560;   1.694;     9;     1
 19680118;    2330;   1.542;     9;     1
 19680119;    2030;   1.343;     9;     1
 19680120;    2010;   1.330;     9;     1
 19680121;    1900;   1.257;     9;     1
 19680122;    1800;   1.191;     9;     1
 19680123;    1710;   1.132;     9;     1
 19680124;    1720;   1.138;     9;     1
 19680125;    1620;   1.072;     9;     1
 19680126;    1560;   1.032;     9;     1
 19680127;    1500;   0.993;     9;     1
 19680128;    1450;   0.960;     9;     1
 19680129;    1430;   0.946;     9;     1
 19680130;    1350;   0.893;     9;     1
 19680131;    1310;   0.867;     9;     1
 19680201;    1290;   0.854;     9;     1
 19680202;    1300;   0.860;     9;     1
 19680203;    1470;   0.973;     9;     1
 19680204;    1340;   0.887;     9;     1
 19680205;    2550;   1.688;     9;     1
 19680206;    5570;   3.686;     9;     1
 19680207;    8730;   5.778;     9;     1
 19680208;    9080;   6.009;     9;     1
 19680209;    6470;   4.282;     9;     1
 19680210;    4410;   2.919;     9;     1
 19680211;    3750;   2.482;     9;     1
 19680212;    3300;   2.184;     9;     1
 19680213;    2940;   1.946;     9;     1
 19680214;    2700;   1.787;     9;     1
 19680215;    2410;   1.595;     9;     1
 19680216;    2180;   1.443;     9;     1
 19680217;    2050;   1.357;     9;     1
 19680218;    1940;   1.284;     9;     1
 19680219;    1950;   1.291;     9;     1
 19680220;    2380;   1.575;     9;     1
 19680221;    2460;   1.628;     9;     1
 19680222;    2810;   1.860;     9;     1
 19680223;    2870;   1.899;     9;     1
 19680224;    2620;   1.734;     9;     1
 19680225;    2320;   1.535;     9;     1
 19680226;    2160;   1.430;     9;     1
 19680227;    2030;   1.343;     9;     1
 19680228;    1910;   1.264;     9;     1
 19680229;    1830;   1.211;     9;     1
 19680301;    1690;   1.118;     9;     1
 19680302;    1650;   1.092;     9;     1
 19680303;    1580;   1.046;     9;     1
 19680304;    1520;   1.006;     9;     1
 19680305;    1450;   0.960;     9;     1
 19680306;    1390;   0.920;     9;     1
 19680307;    1350;   0.893;     9;     1
 19680308;    1340;   0.887;     9;     1
 19680309;    1310;   0.867;     9;     1
 19680310;    1160;   0.768;     9;     1
 19680311;    1190;   0.788;     9;     1
 19680312;    1170;   0.774;     9;     1
 19680313;    1140;   0.754;     9;     1
 19680314;    1110;   0.735;     9;     1
 19680315;    1190;   0.788;     9;     1
 19680316;    1340;   0.887;     9;     1
 19680317;    1170;   0.774;     9;     1
 19680318;    1120;   0.741;     9;     1
 19680319;    1070;   0.708;     9;     1
 19680320;    1040;   0.688;     9;     1
 19680321;    1710;   1.132;     9;     1
 19680322;    5100;   3.375;     9;     1
 19680323;    2980;   1.972;     9;     1
 19680324;    2260;   1.496;     9;     1
 19680325;    2190;   1.449;     9;     1
 19680326;    2190;   1.449;     9;     1
 19680327;    1860;   1.231;     9;     1
 19680328;    1700;   1.125;     9;     1
 19680329;    1570;   1.039;     9;     1
 19680330;    1490;   0.986;     9;     1
 19680331;    1390;   0.920;     9;     1
 19680401;    1330;   0.880;     9;     1
 19680402;    1350;   0.893;     9;     1
 19680403;    1450;   0.960;     9;     1
 19680404;    1350;   0.893;     9;     1
 19680405;    1390;   0.920;     9;     1
 19680406;    1330;   0.880;     9;     1
 19680407;    1290;   0.854;     9;     1
 19680408;    1190;   0.788;     9;     1
 19680409;    1100;   0.728;     9;     1
 19680410;    1060;   0.702;     9;     1
 19680411;     987;   0.653;     9;     1
 19680412;     946;   0.626;     9;     1
 19680413;     946;   0.626;     9;     1
 19680414;     938;   0.621;     9;     1
 19680415;     916;   0.606;     9;     1
 19680416;     942;   0.623;     9;     1
 19680417;     971;   0.643;     9;     1
 19680418;     932;   0.617;     9;     1
 19680419;     908;   0.601;     9;     1
 19680420;     883;   0.584;     9;     1
 19680421;     820;   0.543;     9;     1
 19680422;     828;   0.548;     9;     1
 19680423;     851;   0.563;     9;     1
 19680424;     848;   0.561;     9;     1
 19680425;     787;   0.521;     9;     1
 19680426;     731;   0.484;     9;     1
 19680427;     831;   0.550;     9;     1
 19680428;    1280;   0.847;     9;     1
 19680429;    1300;   0.860;     9;     1
 19680430;    1680;   1.112;     9;     1
 19680501;    1410;   0.933;     9;     1
 19680502;    1530;   1.013;     9;     1
 19680503;    1270;   0.841;     9;     1
 19680504;    1610;   1.066;     9;     1
 19680505;    1550;   1.026;     9;     1
 19680506;    1350;   0.893;     9;     1
 19680507;    1350;   0.893;     9;     1
 19680508;    1570;   1.039;     9;     1
 19680509;    3650;   2.416;     9;     1
 19680510;    2350;   1.555;     9;     1
 19680511;    2110;   1.396;     9;     1
 19680512;    1980;   1.310;     9;     1
 19680513;    1710;   1.132;     9;     1
 19680514;    1530;   1.013;     9;     1
 19680515;    1530;   1.013;     9;     1
 19680516;    1400;   0.927;     9;     1
 19680517;    1320;   0.874;     9;     1
 19680518;    1160;   0.768;     9;     1
 19680519;    1100;   0.728;     9;     1
 19680520;    1140;   0.754;     9;     1
 19680521;    1020;   0.675;     9;     1
 19680522;     971;   0.643;     9;     1
 19680523;     941;   0.623;     9;     1
 19680524;     907;   0.600;     9;     1
 19680525;     929;   0.615;     9;     1
 19680526;     867;   0.574;     9;     1
 19680527;     851;   0.563;     9;     1
 19680528;     808;   0.535;     9;     1
 19680529;     757;   0.501;     9;     1
 19680530;     681;   0.451;     9;     1
 19680531;     622;   0.412;     9;     1
 19680601;     562;   0.372;     9;     1
 19680602;     660;   0.437;     9;     1
 19680603;    2130;   1.410;     9;     1
 19680604;    1870;   1.238;     9;     1
 19680605;    1160;   0.768;     9;     1
 19680606;     975;   0.645;     9;     1
 19680607;     894;   0.592;     9;     1
 19680608;     756;   0.500;     9;     1
 19680609;     662;   0.438;     9;     1
 19680610;     675;   0.447;     9;     1
 19680611;     579;   0.383;     9;     1
 19680612;     518;   0.343;     9;     1
 19680613;     490;   0.324;     9;     1
 19680614;     488;   0.323;     9;     1
 19680615;     488;   0.323;     9;     1
 19680616;     509;   0.337;     9;     1
 19680617;     505;   0.334;     9;     1
 19680618;     521;   0.345;     9;     1
 19680619;     447;   0.296;     9;     1
 19680620;     474;   0.314;     9;     1
 19680621;     476;   0.315;     9;     1
 19680622;     387;   0.256;     9;     1
 19680623;     520;   0.344;     9;     1
 19680624;     554;   0.367;     9;     1
 19680625;     520;   0.344;     9;     1
 19680626;     489;   0.324;     9;     1
 19680627;     409;   0.271;     9;     1
 19680628;     339;   0.224;     9;     1
 19680629;     385;   0.255;     9;     1
 19680630;     383;   0.253;     9;     1
 19680701;     284;   0.188;     9;     1
 19680702;     280;   0.185;     9;     1
 19680703;     285;   0.189;     9;     1
 19680704;     250;   0.165;     9;     1
 19680705;     289;   0.191;     9;     1
 19680706;     620;   0.410;     9;     1
 19680707;     457;   0.302;     9;     1
 19680708;     360;   0.238;     9;     1
 19680709;     324;   0.214;     9;     1
 19680710;     554;   0.367;     9;     1
 19680711;     353;   0.234;     9;     1
 19680712;     301;   0.199;     9;     1
 19680713;     279;   0.185;     9;     1
 19680714;     377;   0.250;     9;     1
 19680715;     373;   0.247;     9;     1
 19680716;     461;   0.305;     9;     1
 19680717;     615;   0.407;     9;     1
 19680718;     415;   0.275;     9;     1
 19680719;     339;   0.224;     9;     1
 19680720;     263;   0.174;     9;     1
 19680721;     206;   0.136;     9;     1
 19680722;     217;   0.144;     9;     1
 19680723;     217;   0.144;     9;     1
 19680724;     217;   0.144;     9;     1
 19680725;     216;   0.143;     9;     1
 19680726;     192;   0.127;     9;     1
 19680727;     174;   0.115;     9;     1
 19680728;     138;   0.091;     9;     1
 19680729;     115;   0.076;     9;     1
 19680730;      87;   0.058;     9;     1
 19680731;     101;   0.067;     9;     1
 19680801;     127;   0.084;     9;     1
 19680802;     204;   0.135;     9;     1
 19680803;     185;   0.122;     9;     1
 19680804;     140;   0.093;     9;     1
 19680805;     158;   0.105;     9;     1
 19680806;     187;   0.124;     9;     1
 19680807;     170;   0.113;     9;     1
 19680808;     200;   0.132;     9;     1
 19680809;     277;   0.183;     9;     1
 19680810;     208;   0.138;     9;     1
 19680811;     262;   0.173;     9;     1
 19680812;     205;   0.136;     9;     1
 19680813;     220;   0.146;     9;     1
 19680814;     439;   0.291;     9;     1
 19680815;     287;   0.190;     9;     1
 19680816;     248;   0.164;     9;     1
 19680817;     307;   0.203;     9;     1
 19680818;     373;   0.247;     9;     1
 19680819;     226;   0.150;     9;     1
 19680820;     217;   0.144;     9;     1
 19680821;     142;   0.094;     9;     1
 19680822;     159;   0.105;     9;     1
 19680823;     139;   0.092;     9;     1
 19680824;     137;   0.091;     9;     1
 19680825;     123;   0.081;     9;     1
 19680826;     120;   0.079;     9;     1
 19680827;     112;   0.074;     9;     1
 19680828;     100;   0.066;     9;     1
 19680829;      77;   0.051;     9;     1
 19680830;     401;   0.265;     9;     1
 19680831;     357;   0.236;     9;     1
 19680901;     291;   0.193;     9;     1
 19680902;     307;   0.203;     9;     1
 19680903;     587;   0.388;     9;     1
 19680904;     621;   0.411;     9;     1
 19680905;     316;   0.209;     9;     1
 19680906;     283;   0.187;     9;     1
 19680907;     212;   0.140;     9;     1
 19680908;     220;   0.146;     9;     1
 19680909;     159;   0.105;     9;     1
 19680910;     173;   0.114;     9;     1
 19680911;     129;   0.085;     9;     1
 19680912;     140;   0.093;     9;     1
 19680913;     132;   0.087;     9;     1
 19680914;     152;   0.101;     9;     1
 19680915;    1020;   0.675;     9;     1
 19680916;     368;   0.244;     9;     1
 19680917;     315;   0.208;     9;     1
 19680918;     358;   0.237;     9;     1
 19680919;     289;   0.191;     9;     1
 19680920;     247;   0.163;     9;     1
 19680921;    1310;   0.867;     9;     1
 19680922;     698;   0.462;     9;     1
 19680923;     398;   0.263;     9;     1
 19680924;     326;   0.216;     9;     1
 19680925;     250;   0.165;     9;     1
 19680926;     238;   0.158;     9;     1
 19680927;     209;   0.138;     9;     1
 19680928;     222;   0.147;     9;     1
 19680929;     978;   0.647;     9;     1
 19680930;     784;   0.519;     9;     1
 19681001;     469;   0.310;     9;     1
 19681002;     402;   0.266;     9;     1
 19681003;     367;   0.243;     9;     1
 19681004;     333;   0.220;     9;     1
 19681005;     305;   0.202;     9;     1
 19681006;     244;   0.161;     9;     1
 19681007;     289;   0.191;     9;     1
 19681008;     763;   0.505;     9;     1
 19681009;    1570;   1.039;     9;     1
 19681010;    1170;   0.774;     9;     1
 19681011;     879;   0.582;     9;     1
 19681012;     811;   0.537;     9;     1
 19681013;    1010;   0.668;     9;     1
 19681014;    1840;   1.218;     9;     1
 19681015;    1710;   1.132;     9;     1
 19681016;    1270;   0.841;     9;     1
 19681017;    1120;   0.741;     9;     1
 19681018;    1030;   0.682;     9;     1
 19681019;     949;   0.628;     9;     1
 19681020;     892;   0.590;     9;     1
 19681021;     839;   0.555;     9;     1
 19681022;     787;   0.521;     9;     1
 19681023;     722;   0.478;     9;     1
 19681024;     706;   0.467;     9;     1
 19681025;    1150;   0.761;     9;     1
