## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:54:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : N3024010
## Nom station                      : Le Louing à Chantonnay [St-Philbert du Pont Charrault]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      396584 ;    6626475 ;      396554 ;    6626479 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      346980 ;    2190840 ;      347013 ;    2190849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.97043 ;   46.66969 ;    -0.97082 ;   46.66971 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      120.00 ;     120.73 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          43 ;         42 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.1 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    2590;   1.854;     9;     1
 19680102;    2910;   2.083;     9;     1
 19680103;    2480;   1.775;     9;     1
 19680104;    2360;   1.689;     9;     1
 19680105;    3170;   2.269;     9;     1
 19680106;    2800;   2.004;     9;     1
 19680107;    6100;   4.365;     9;     1
 19680108;    3560;   2.548;     9;     1
 19680109;    8200;   5.868;     9;     1
 19680110;    4840;   3.464;     9;     1
 19680111;    3070;   2.197;     9;     1
 19680112;    2940;   2.104;     9;     1
 19680113;    2600;   1.861;     9;     1
 19680114;    2420;   1.732;     9;     1
 19680115;    2270;   1.625;     9;     1
 19680116;    2020;   1.446;     9;     1
 19680117;    2010;   1.438;     9;     1
 19680118;    1850;   1.324;     9;     1
 19680119;    1680;   1.202;     9;     1
 19680120;    1550;   1.109;     9;     1
 19680121;    1480;   1.059;     9;     1
 19680122;    1380;   0.988;     9;     1
 19680123;    1260;   0.902;     9;     1
 19680124;    1250;   0.895;     9;     1
 19680125;    1220;   0.873;     9;     1
 19680126;    1090;   0.780;     9;     1
 19680127;    1090;   0.780;     9;     1
 19680128;    1100;   0.787;     9;     1
 19680129;    1030;   0.737;     9;     1
 19680130;     895;   0.641;     9;     1
 19680131;     880;   0.630;     9;     1
 19680201;     910;   0.651;     9;     1
 19680202;     935;   0.669;     9;     1
 19680203;    1410;   1.009;     9;     1
 19680204;    1040;   0.744;     9;     1
 19680205;    3810;   2.727;     9;     1
 19680206;    8300;   5.940;     9;     1
 19680207;   11800;   8.445;     9;     1
 19680208;   10400;   7.443;     9;     1
 19680209;    7050;   5.045;     9;     1
 19680210;    4100;   2.934;     9;     1
 19680211;    3370;   2.412;     9;     1
 19680212;    2910;   2.083;     9;     1
 19680213;    2650;   1.896;     9;     1
 19680214;    2440;   1.746;     9;     1
 19680215;    2130;   1.524;     9;     1
 19680216;    1910;   1.367;     9;     1
 19680217;    1760;   1.260;     9;     1
 19680218;    1630;   1.167;     9;     1
 19680219;    1700;   1.217;     9;     1
 19680220;    2230;   1.596;     9;     1
 19680221;    2590;   1.854;     9;     1
 19680222;    3100;   2.219;     9;     1
 19680223;    3220;   2.304;     9;     1
 19680224;    2670;   1.911;     9;     1
 19680225;    2170;   1.553;     9;     1
 19680226;    1940;   1.388;     9;     1
 19680227;    1770;   1.267;     9;     1
 19680228;    1660;   1.188;     9;     1
 19680229;    1550;   1.109;     9;     1
 19680301;    1510;   1.081;     9;     1
 19680302;    1420;   1.016;     9;     1
 19680303;    1330;   0.952;     9;     1
 19680304;    1240;   0.887;     9;     1
 19680305;    1160;   0.830;     9;     1
 19680306;    1090;   0.780;     9;     1
 19680307;    1110;   0.794;     9;     1
 19680308;    1120;   0.802;     9;     1
 19680309;    1020;   0.730;     9;     1
 19680310;     950;   0.680;     9;     1
 19680311;     950;   0.680;     9;     1
 19680312;     880;   0.630;     9;     1
 19680313;     820;   0.587;     9;     1
 19680314;     820;   0.587;     9;     1
 19680315;     835;   0.598;     9;     1
 19680316;    1000;   0.716;     9;     1
 19680317;     800;   0.573;     9;     1
 19680318;     785;   0.562;     9;     1
 19680319;     725;   0.519;     9;     1
 19680320;     735;   0.526;     9;     1
 19680321;    1500;   1.073;     9;     1
 19680322;    6950;   4.974;     9;     1
 19680323;    2870;   2.054;     9;     1
 19680324;    1910;   1.367;     9;     1
