## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:54:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : N3113010
## Nom station                      : Le Petit Lay à Saint-Hilaire-le-Vouhis
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      385842 ;    6628927 ;      385783 ;    6628965 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      336208 ;    2193206 ;      336213 ;    2193249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.11243 ;   46.68679 ;    -1.11321 ;   46.68710 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       262.0 ;      263.9 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          35 ;         41 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    14.5 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    4420;   1.447;     9;     1
 19680102;    6400;   2.095;     9;     1
 19680103;    4290;   1.405;     9;     1
 19680104;    4250;   1.391;     9;     1
 19680105;    6250;   2.046;     9;     1
 19680106;    6500;   2.128;     9;     1
 19680107;   20700;   6.777;     9;     1
 19680108;   10900;   3.569;     9;     1
 19680109;   21200;   6.941;     9;     1
 19680110;   14000;   4.584;     9;     1
 19680111;    6000;   1.964;     9;     1
 19680112;    5600;   1.833;     9;     1
 19680113;    4710;   1.542;     9;     1
 19680114;    4670;   1.529;     9;     1
 19680115;    4390;   1.437;     9;     1
 19680116;    3890;   1.274;     9;     1
 19680117;    3970;   1.300;     9;     1
 19680118;    4410;   1.444;     9;     1
 19680119;    3370;   1.103;     9;     1
 19680120;    2900;   0.949;     9;     1
 19680121;    2590;   0.848;     9;     1
 19680122;    2300;   0.753;     9;     1
 19680123;    2050;   0.671;     9;     1
 19680124;    2070;   0.678;     9;     1
 19680125;    1980;   0.648;     9;     1
 19680126;    1860;   0.609;     9;     1
 19680127;    1610;   0.527;     9;     1
 19680128;    1780;   0.583;     9;     1
 19680129;    1800;   0.589;     9;     1
 19680130;    1610;   0.527;     9;     1
 19680131;    1490;   0.488;     9;     1
 19680201;    1440;   0.471;     9;     1
 19680202;    1480;   0.485;     9;     1
 19680203;    1810;   0.593;     9;     1
 19680204;    1960;   0.642;     9;     1
 19680205;   10300;   3.372;     9;     1
 19680206;   17400;   5.697;     9;     1
 19680207;   23500;   7.694;     9;     1
 19680208;   30200;   9.887;     9;     1
 19680209;   14500;   4.747;     9;     1
 19680210;    7850;   2.570;     9;     1
 19680211;    5350;   1.752;     9;     1
 19680212;    4420;   1.447;     9;     1
 19680213;    4040;   1.323;     9;     1
 19680214;    3830;   1.254;     9;     1
 19680215;    3170;   1.038;     9;     1
 19680216;    2910;   0.953;     9;     1
 19680217;    2790;   0.913;     9;     1
 19680218;    2520;   0.825;     9;     1
 19680219;    2580;   0.845;     9;     1
 19680220;    3840;   1.257;     9;     1
 19680221;    4120;   1.349;     9;     1
 19680222;    6500;   2.128;     9;     1
 19680223;    5500;   1.801;     9;     1
 19680224;    4390;   1.437;     9;     1
 19680225;    3390;   1.110;     9;     1
 19680226;    2730;   0.894;     9;     1
 19680227;    2420;   0.792;     9;     1
 19680228;    2270;   0.743;     9;     1
 19680229;    2060;   0.674;     9;     1
 19680301;    1970;   0.645;     9;     1
 19680302;    1900;   0.622;     9;     1
 19680303;    1640;   0.537;     9;     1
 19680304;    1400;   0.458;     9;     1
 19680305;    1300;   0.426;     9;     1
 19680306;    1600;   0.524;     9;     1
 19680307;    1380;   0.452;     9;     1
 19680308;    1380;   0.452;     9;     1
 19680309;    1250;   0.409;     9;     1
 19680310;    1100;   0.360;     9;     1
 19680311;    1100;   0.360;     9;     1
 19680312;     985;   0.322;     9;     1
 19680313;     965;   0.316;     9;     1
 19680314;    1000;   0.327;     9;     1
 19680315;    1060;   0.347;     9;     1
 19680316;    1530;   0.501;     9;     1
 19680317;    1340;   0.439;     9;     1
 19680318;    1260;   0.413;     9;     1
 19680319;    1120;   0.367;     9;     1
 19680320;     995;   0.326;     9;     1
 19680321;    2250;   0.737;     9;     1
 19680322;   16700;   5.468;     9;     1
 19680323;    8550;   2.799;     9;     1
 19680324;    3670;   1.202;     9;     1
 19680325;    2990;   0.979;     9;     1
 19680326;    2740;   0.897;     9;     1
 19680327;    2100;   0.688;     9;     1
 19680328;    1690;   0.553;     9;     1
 19680329;    1570;   0.514;     9;     1
 19680330;    1670;   0.547;     9;     1
 19680331;    1750;   0.573;     9;     1
 19680401;    1790;   0.586;     9;     1
 19680402;    1540;   0.504;     9;     1
 19680403;    1540;   0.504;     9;     1
 19680404;    1330;   0.435;     9;     1
 19680405;    1360;   0.445;     9;     1
 19680406;    1170;   0.383;     9;     1
 19680407;    1330;   0.435;     9;     1
 19680408;     895;   0.293;     9;     1
 19680409;     940;   0.308;     9;     1
 19680410;     875;   0.286;     9;     1
 19680411;     855;   0.280;     9;     1
 19680412;     690;   0.226;     9;     1
 19680413;     665;   0.218;     9;     1
 19680414;     695;   0.228;     9;     1
 19680415;     655;   0.214;     9;     1
 19680416;     695;   0.228;     9;     1
 19680417;     665;   0.218;     9;     1
 19680418;     625;   0.205;     9;     1
 19680419;     625;   0.205;     9;     1
 19680420;     570;   0.187;     9;     1
 19680421;     560;   0.183;     9;     1
 19680422;     442;   0.145;     9;     1
 19680423;     477;   0.156;     9;     1
 19680424;     520;   0.170;     9;     1
 19680425;     432;   0.141;     9;     1
 19680426;     462;   0.151;     9;     1
 19680427;     457;   0.150;     9;     1
 19680428;     595;   0.195;     9;     1
 19680429;     725;   0.237;     9;     1
 19680430;    1080;   0.354;     9;     1
 19680501;    1330;   0.435;     9;     1
 19680502;    1280;   0.419;     9;     1
 19680503;     940;   0.308;     9;     1
 19680504;    2010;   0.658;     9;     1
 19680505;    1710;   0.560;     9;     1
 19680506;    1170;   0.383;     9;     1
 19680507;    1000;   0.327;     9;     1
 19680508;    8750;   2.865;     9;     1
 19680509;   10600;   3.470;     9;     1
 19680510;    4650;   1.522;     9;     1
 19680511;    2260;   0.740;     9;     1
 19680512;    1250;   0.409;     9;     1
 19680513;    1000;   0.327;     9;     1
 19680514;    1020;   0.334;     9;     1
 19680515;    1000;   0.327;     9;     1
 19680516;     895;   0.293;     9;     1
 19680517;     620;   0.203;     9;     1
 19680518;     640;   0.210;     9;     1
 19680519;     655;   0.214;     9;     1
 19680520;     605;   0.198;     9;     1
 19680521;     605;   0.198;     9;     1
 19680522;     530;   0.174;     9;     1
 19680523;     590;   0.193;     9;     1
 19680524;     525;   0.172;     9;     1
 19680525;     515;   0.169;     9;     1
 19680526;     560;   0.183;     9;     1
 19680527;     540;   0.177;     9;     1
 19680528;     590;   0.193;     9;     1
 19680529;     565;   0.185;     9;     1
 19680530;     448;   0.147;     9;     1
 19680531;     450;   0.147;     9;     1
 19680601;     253;   0.083;     9;     1
 19680602;     368;   0.120;     9;     1
 19680603;     750;   0.246;     9;     1
 19680604;    2320;   0.760;     9;     1
 19680605;    1080;   0.354;     9;     1
 19680606;     760;   0.249;     9;     1
 19680607;     660;   0.216;     9;     1
 19680608;     590;   0.193;     9;     1
 19680609;     555;   0.182;     9;     1
 19680610;     525;   0.172;     9;     1
 19680611;     392;   0.128;     9;     1
 19680612;     453;   0.148;     9;     1
 19680613;     256;   0.084;     9;     1
 19680614;     412;   0.135;     9;     1
 19680615;      51;   0.017;     9;     1
 19680616;     126;   0.041;     9;     1
 19680617;     282;   0.092;     9;     1
 19680618;     -99; -99.000;   -99;   -99
 19680619;     -99; -99.000;   -99;   -99
 19680620;     -99; -99.000;   -99;   -99
 19680621;     135;   0.044;     9;     1
 19680622;     395;   0.129;     9;     1
 19680623;     140;   0.046;     9;     1
 19680624;     300;   0.098;     9;     1
 19680625;     430;   0.141;     9;     1
 19680626;     366;   0.120;     9;     1
 19680627;     320;   0.105;     9;     1
 19680628;     258;   0.084;     9;     1
 19680629;     -99; -99.000;   -99;   -99
 19680630;     -99; -99.000;   -99;   -99
 19680701;     -99; -99.000;   -99;   -99
 19680702;     -99; -99.000;   -99;   -99
 19680703;     -99; -99.000;   -99;   -99
 19680704;     -99; -99.000;   -99;   -99
 19680705;     -99; -99.000;   -99;   -99
 19680706;     -99; -99.000;   -99;   -99
 19680707;     -99; -99.000;   -99;   -99
 19680708;     -99; -99.000;   -99;   -99
 19680709;     -99; -99.000;   -99;   -99
 19680710;     -99; -99.000;   -99;   -99
 19680711;     -99; -99.000;   -99;   -99
 19680712;     -99; -99.000;   -99;   -99
 19680713;     -99; -99.000;   -99;   -99
 19680714;     -99; -99.000;   -99;   -99
 19680715;     -99; -99.000;   -99;   -99
 19680716;     -99; -99.000;   -99;   -99
 19680717;     481;   0.157;     9;     1
 19680718;     620;   0.203;     9;     1
 19680719;     380;   0.124;     9;     1
 19680720;     315;   0.103;     9;     1
 19680721;     178;   0.058;     9;     1
 19680722;     243;   0.080;     9;     1
 19680723;     134;   0.044;     9;     1
 19680724;     210;   0.069;     9;     1
 19680725;     182;   0.060;     9;     1
 19680726;      25;   0.008;     9;     1
 19680727;     118;   0.039;     9;     1
 19680728;      55;   0.018;     9;     1
 19680729;      46;   0.015;     9;     1
 19680730;      30;   0.010;     9;     1
 19680731;     555;   0.182;     9;     1
 19680801;     250;   0.082;     9;     1
 19680802;      87;   0.028;     9;     1
 19680803;     132;   0.043;     9;     1
 19680804;     119;   0.039;     9;     1
 19680805;     106;   0.035;     9;     1
 19680806;     174;   0.057;     9;     1
 19680807;     139;   0.046;     9;     1
 19680808;     156;   0.051;     9;     1
 19680809;     162;   0.053;     9;     1
 19680810;     117;   0.038;     9;     1
 19680811;      35;   0.011;     9;     1
 19680812;     112;   0.037;     9;     1
 19680813;     310;   0.101;     9;     1
 19680814;     110;   0.036;     9;     1
 19680815;      16;   0.005;     9;     1
 19680816;      61;   0.020;     9;     1
 19680817;     340;   0.111;     9;     1
 19680818;      20;   0.007;     9;     1
 19680819;     238;   0.078;     9;     1
 19680820;     311;   0.102;     9;     1
 19680821;     182;   0.060;     9;     1
 19680822;     133;   0.044;     9;     1
 19680823;     112;   0.037;     9;     1
 19680824;      17;   0.006;     9;     1
 19680825;      13;   0.004;     9;     1
 19680826;      12;   0.004;     9;     1
 19680827;      13;   0.004;     9;     1
 19680828;      15;   0.005;     9;     1
 19680829;     116;   0.038;     9;     1
 19680830;      50;   0.016;     9;     1
