## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:04
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O0015310
## Nom station                      : Le Maudan à Fos
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      515725 ;    6199056 ;      515809 ;    6199003 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      469828 ;    1764001 ;      469913 ;    1763949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.74696 ;   42.86729 ;     0.74801 ;   42.86684 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :          38 ;         36 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         555 ;        558 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1961-01-01 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;    2400;   5.760;     9;     1
 19610102;    1650;   3.960;     9;     1
 19610103;    1900;   4.560;     9;     1
 19610104;    1800;   4.320;     9;     1
 19610105;    1450;   3.480;     9;     1
 19610106;    1350;   3.240;     9;     1
 19610107;    2200;   5.280;     9;     1
 19610108;   11000;  26.400;     9;     1
 19610109;    4700;  11.280;     9;     1
 19610110;    3200;   7.680;     9;     1
 19610111;    2300;   5.520;     9;     1
 19610112;    1800;   4.320;     9;     1
 19610113;    1550;   3.720;     9;     1
 19610114;    1450;   3.480;     9;     1
 19610115;    1350;   3.240;     9;     1
 19610116;    1250;   3.000;     9;     1
 19610117;    1250;   3.000;     9;     1
 19610118;    1100;   2.640;     9;     1
 19610119;    1100;   2.640;     9;     1
 19610120;    1100;   2.640;     9;     1
 19610121;    1000;   2.400;     9;     1
 19610122;    1000;   2.400;     9;     1
 19610123;    1100;   2.640;     9;     1
 19610124;    1100;   2.640;     9;     1
 19610125;    1100;   2.640;     9;     1
 19610126;    1150;   2.760;     9;     1
 19610127;    1000;   2.400;     9;     1
 19610128;    1350;   3.240;     9;     1
 19610129;    2000;   4.800;     9;     1
 19610130;    1800;   4.320;     9;     1
 19610131;    2000;   4.800;     9;     1
 19610201;    2600;   6.240;     9;     1
 19610202;    4900;  11.760;     9;     1
 19610203;    4000;   9.600;     9;     1
 19610204;    2400;   5.760;     9;     1
 19610205;    4900;  11.760;     9;     1
 19610206;    4400;  10.560;     9;     1
 19610207;    2600;   6.240;     9;     1
 19610208;    2000;   4.800;     9;     1
 19610209;    1800;   4.320;     9;     1
 19610210;    1800;   4.320;     9;     1
 19610211;    1900;   4.560;     9;     1
 19610212;    1900;   4.560;     9;     1
 19610213;    2000;   4.800;     9;     1
 19610214;    2200;   5.280;     9;     1
 19610215;    2200;   5.280;     9;     1
 19610216;    2200;   5.280;     9;     1
 19610217;    2200;   5.280;     9;     1
 19610218;    1900;   4.560;     9;     1
 19610219;    1650;   3.960;     9;     1
 19610220;    1900;   4.560;     9;     1
 19610221;    1900;   4.560;     9;     1
 19610222;    1800;   4.320;     9;     1
 19610223;    1650;   3.960;     9;     1
 19610224;    1650;   3.960;     9;     1
 19610225;    1650;   3.960;     9;     1
 19610226;    1800;   4.320;     9;     1
 19610227;    2400;   5.760;     9;     1
 19610228;    2400;   5.760;     9;     1
 19610301;    1450;   3.480;     9;     1
 19610302;    1450;   3.480;     9;     1
 19610303;    1550;   3.720;     9;     1
 19610304;    1550;   3.720;     9;     1
 19610305;    1450;   3.480;     9;     1
 19610306;    1450;   3.480;     9;     1
 19610307;    1450;   3.480;     9;     1
 19610308;    1450;   3.480;     9;     1
 19610309;    1350;   3.240;     9;     1
 19610310;    1350;   3.240;     9;     1
 19610311;    1350;   3.240;     9;     1
 19610312;    1450;   3.480;     9;     1
 19610313;    1450;   3.480;     9;     1
 19610314;    1450;   3.480;     9;     1
 19610315;    1450;   3.480;     9;     1
 19610316;    1650;   3.960;     9;     1
 19610317;    1650;   3.960;     9;     1
 19610318;    1550;   3.720;     9;     1
 19610319;    1350;   3.240;     9;     1
 19610320;    1100;   2.640;     9;     1
 19610321;    1000;   2.400;     9;     1
 19610322;     930;   2.232;     9;     1
 19610323;     930;   2.232;     9;     1
 19610324;    1000;   2.400;     9;     1
