## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:20
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O0384010
## Nom station                      : L'Arac à Soulan [Freychet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      555453 ;    6201587 ;      555487 ;    6201570 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      509579 ;    1766866 ;      509613 ;    1766849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.23182 ;   42.89914 ;     1.23224 ;   42.89899 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      169.00 ;     169.69 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         480 ;        501 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       2 [%]
## Débits disponibles               :  1962-01-01 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19620101;    2250;   1.146;     9;     1
 19620102;    2250;   1.146;     9;     1
 19620103;    2490;   1.268;     9;     1
 19620104;    2850;   1.451;     9;     1
 19620105;    2250;   1.146;     9;     1
 19620106;    3000;   1.527;     9;     1
 19620107;    2610;   1.329;     9;     1
 19620108;    2370;   1.207;     9;     1
 19620109;    2250;   1.146;     9;     1
 19620110;    2610;   1.329;     9;     1
 19620111;    3770;   1.920;     9;     1
 19620112;    4280;   2.179;     9;     1
 19620113;    3940;   2.006;     9;     1
 19620114;    4640;   2.363;     9;     1
 19620115;    3940;   2.006;     9;     1
 19620116;    3770;   1.920;     9;     1
 19620117;    3450;   1.757;     9;     1
 19620118;    3600;   1.833;     9;     1
 19620119;    6060;   3.086;     9;     1
 19620120;    4830;   2.459;     9;     1
 19620121;    4280;   2.179;     9;     1
 19620122;    4110;   2.093;     9;     1
 19620123;    4110;   2.093;     9;     1
 19620124;    4450;   2.266;     9;     1
 19620125;    5020;   2.556;     9;     1
 19620126;    5620;   2.862;     9;     1
 19620127;    5210;   2.653;     9;     1
 19620128;    4640;   2.363;     9;     1
 19620129;    4280;   2.179;     9;     1
 19620130;    3940;   2.006;     9;     1
 19620131;    3600;   1.833;     9;     1
 19620201;    3300;   1.680;     9;     1
 19620202;    3150;   1.604;     9;     1
 19620203;    2850;   1.451;     9;     1
 19620204;    7280;   3.707;     9;     1
 19620205;    8400;   4.277;     9;     1
 19620206;    7540;   3.839;     9;     1
 19620207;    7020;   3.574;     9;     1
 19620208;    8100;   4.124;     9;     1
 19620209;    8100;   4.124;     9;     1
 19620210;    6500;   3.310;     9;     1
 19620211;    5620;   2.862;     9;     1
 19620212;    5210;   2.653;     9;     1
 19620213;    5210;   2.653;     9;     1
 19620214;   10500;   5.346;     9;     1
 19620215;    7280;   3.707;     9;     1
 19620216;    6500;   3.310;     9;     1
 19620217;    5400;   2.749;     9;     1
 19620218;    5400;   2.749;     9;     1
 19620219;    5400;   2.749;     9;     1
 19620220;    5620;   2.862;     9;     1
 19620221;    5620;   2.862;     9;     1
 19620222;    5620;   2.862;     9;     1
 19620223;    5400;   2.749;     9;     1
 19620224;    5020;   2.556;     9;     1
 19620225;    4640;   2.363;     9;     1
 19620226;    4640;   2.363;     9;     1
 19620227;    4450;   2.266;     9;     1
 19620228;    4640;   2.363;     9;     1
 19620301;    4280;   2.179;     9;     1
 19620302;    4110;   2.093;     9;     1
 19620303;    4450;   2.266;     9;     1
 19620304;    6060;   3.086;     9;     1
 19620305;    6280;   3.198;     9;     1
 19620306;    5020;   2.556;     9;     1
 19620307;    4640;   2.363;     9;     1
 19620308;    5620;   2.862;     9;     1
 19620309;    7020;   3.574;     9;     1
 19620310;    6760;   3.442;     9;     1
 19620311;    6060;   3.086;     9;     1
 19620312;    8700;   4.430;     9;     1
 19620313;   10500;   5.346;     9;     1
 19620314;    7540;   3.839;     9;     1
 19620315;    6500;   3.310;     9;     1
 19620316;    6280;   3.198;     9;     1
 19620317;    5620;   2.862;     9;     1
 19620318;    5210;   2.653;     9;     0
 19620319;    5020;   2.556;     9;     0
 19620320;    4830;   2.459;     9;     0
 19620321;    4640;   2.363;     9;     0
 19620322;    4450;   2.266;     9;     0
 19620323;    4110;   2.093;     9;     1
 19620324;    3940;   2.006;     9;     1
