## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O0624010
## Nom station                      : Le Volp à Montberaud [Sainte-Croix-Volvestre]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      548740 ;    6229053 ;      548723 ;    6228996 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      502630 ;    1794306 ;      502613 ;    1794249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.14183 ;   43.14471 ;     1.14163 ;   43.14420 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       91.00 ;      90.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         274 ;        299 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1968-01-30 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680130;     544;   0.521;     9;     1
 19680131;     509;   0.487;     9;     1
 19680201;     465;   0.445;     9;     1
 19680202;     421;   0.403;     9;     1
 19680203;     421;   0.403;     9;     1
 19680204;     482;   0.461;     9;     1
 19680205;     439;   0.420;     9;     1
 19680206;     713;   0.683;     9;     1
 19680207;     742;   0.710;     9;     1
 19680208;     613;   0.587;     9;     1
 19680209;     552;   0.529;     9;     1
 19680210;     482;   0.461;     9;     1
 19680211;     447;   0.428;     9;     1
 19680212;    2230;   2.135;     9;     1
 19680213;    1340;   1.283;     9;     1
 19680214;     936;   0.896;     9;     1
 19680215;     880;   0.843;     9;     1
 19680216;    7150;   6.846;     9;     1
 19680217;    3760;   3.600;     9;     1
 19680218;    1970;   1.886;     9;     1
 19680219;    1310;   1.254;     9;     1
 19680220;    1010;   0.967;     9;     1
 19680221;     849;   0.813;     9;     1
 19680222;    1130;   1.082;     9;     1
 19680223;    1290;   1.235;     9;     1
 19680224;    7180;   6.874;     9;     1
 19680225;    2760;   2.643;     9;     1
 19680226;    1750;   1.676;     9;     1
 19680227;    7820;   7.487;     9;     1
 19680228;    4390;   4.203;     9;     1
 19680229;    2990;   2.863;     9;     1
 19680301;    2450;   2.346;     9;     1
 19680302;    1710;   1.637;     9;     1
 19680303;    1280;   1.226;     9;     1
 19680304;    1030;   0.986;     9;     1
 19680305;     871;   0.834;     9;     1
 19680306;     742;   0.710;     9;     1
 19680307;     699;   0.669;     9;     1
 19680308;     717;   0.686;     9;     1
 19680309;     753;   0.721;     9;     1
 19680310;     790;   0.756;     9;     1
 19680311;     813;   0.778;     9;     1
 19680312;     742;   0.710;     9;     1
 19680313;     677;   0.648;     9;     1
 19680314;     634;   0.607;     9;     1
 19680315;     591;   0.566;     9;     1
 19680316;    3630;   3.476;     9;     1
 19680317;    2340;   2.240;     9;     1
 19680318;    1320;   1.264;     9;     1
 19680319;    1060;   1.015;     9;     1
 19680320;     935;   0.895;     9;     1
 19680321;     965;   0.924;     9;     1
 19680322;    1130;   1.082;     9;     1
 19680323;     914;   0.875;     9;     1
 19680324;     806;   0.772;     9;     1
 19680325;     720;   0.689;     9;     1
 19680326;     613;   0.587;     9;     1
 19680327;     552;   0.529;     9;     1
 19680328;     535;   0.512;     9;     1
 19680329;     517;   0.495;     9;     1
 19680330;     482;   0.461;     9;     1
 19680331;     447;   0.428;     9;     1
 19680401;     412;   0.394;     9;     1
 19680402;     413;   0.395;     9;     1
 19680403;     448;   0.429;     9;     1
 19680404;     447;   0.428;     9;     1
 19680405;     412;   0.394;     9;     1
 19680406;     380;   0.364;     9;     1
 19680407;     365;   0.349;     9;     1
 19680408;     404;   0.387;     9;     1
 19680409;     380;   0.364;     9;     1
 19680410;     350;   0.335;     9;     1
 19680411;     320;   0.306;     9;     1
 19680412;     305;   0.292;     9;     1
 19680413;     305;   0.292;     9;     1
 19680414;     357;   0.342;     9;     1
 19680415;     575;   0.551;     9;     1
 19680416;     482;   0.461;     9;     1
 19680417;     365;   0.349;     9;     1
 19680418;     335;   0.321;     9;     0
 19680419;     320;   0.306;     9;     0
 19680420;     305;   0.292;     9;     0
 19680421;     290;   0.278;     9;     0
 19680422;     275;   0.263;     9;     0
 19680423;     285;   0.273;     9;     1
 19680424;    4390;   4.203;     9;     1
 19680425;    1460;   1.398;     9;     1
