## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O1076010
## Nom station                      : Le Quioulès à Château-Verdun [Riete 2]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      588934 ;    6180289 ;      590462 ;    6179303 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      543275 ;    1745824 ;      544813 ;    1744849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.64575 ;   42.71362 ;     1.66458 ;   42.70499 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       52.80 ;      53.78 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        1110 ;       1133 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    20.2 [%]
## Débits disponibles               :  1960-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;    1210;   1.944;     9;     1
 19600102;    1070;   1.719;     9;     1
 19600103;    1070;   1.719;     9;     1
 19600104;    1280;   2.056;     9;     1
 19600105;    1210;   1.944;     9;     1
 19600106;    1070;   1.719;     9;     1
 19600107;    1000;   1.607;     9;     1
 19600108;     860;   1.382;     9;     1
 19600109;     800;   1.285;     9;     1
 19600110;     620;   0.996;     9;     1
 19600111;    1000;   1.607;     9;     1
 19600112;    1140;   1.831;     9;     1
 19600113;    1210;   1.944;     9;     1
 19600114;     800;   1.285;     9;     1
 19600115;    1000;   1.607;     9;     1
 19600116;     740;   1.189;     9;     1
 19600117;     560;   0.900;     9;     1
 19600118;     560;   0.900;     9;     1
 19600119;     500;   0.803;     9;     1
 19600120;     560;   0.900;     9;     1
 19600121;     560;   0.900;     9;     1
 19600122;     560;   0.900;     9;     1
 19600123;     680;   1.092;     9;     1
 19600124;    1420;   2.281;     9;     1
 19600125;    2600;   4.177;     9;     1
 19600126;    1280;   2.056;     9;     1
 19600127;    2100;   3.374;     9;     1
 19600128;    1920;   3.085;     9;     1
 19600129;    1210;   1.944;     9;     1
 19600130;     930;   1.494;     9;     1
 19600131;     860;   1.382;     9;     1
 19600201;     800;   1.285;     9;     1
 19600202;     740;   1.189;     9;     1
 19600203;     680;   1.092;     9;     1
 19600204;     680;   1.092;     9;     1
 19600205;     620;   0.996;     9;     1
 19600206;     620;   0.996;     9;     1
 19600207;     560;   0.900;     9;     1
 19600208;     680;   1.092;     9;     1
 19600209;     680;   1.092;     9;     0
 19600210;     620;   0.996;     9;     0
 19600211;     560;   0.900;     9;     0
 19600212;     500;   0.803;     9;     0
 19600213;     440;   0.707;     9;     0
 19600214;     440;   0.707;     9;     1
 19600215;     440;   0.707;     9;     1
 19600216;     500;   0.803;     9;     1
 19600217;    2400;   3.856;     9;     1
 19600218;    1920;   3.085;     9;     1
 19600219;    1350;   2.169;     9;     1
 19600220;    1140;   1.831;     9;     1
 19600221;     930;   1.494;     9;     1
 19600222;     930;   1.494;     9;     1
 19600223;     800;   1.285;     9;     1
 19600224;     860;   1.382;     9;     1
 19600225;    1580;   2.538;     9;     1
 19600226;    1500;   2.410;     9;     1
 19600227;    1500;   2.410;     9;     1
 19600228;    1920;   3.085;     9;     1
 19600229;    2920;   4.691;     9;     1
 19600301;    2300;   3.695;     9;     1
 19600302;    1660;   2.667;     9;     1
 19600303;    1420;   2.281;     9;     1
 19600304;    1350;   2.169;     9;     1
 19600305;    1500;   2.410;     9;     1
 19600306;    1500;   2.410;     9;     1
 19600307;    1280;   2.056;     9;     1
 19600308;    1210;   1.944;     9;     1
 19600309;    1350;   2.169;     9;     1
 19600310;    1210;   1.944;     9;     1
 19600311;    1070;   1.719;     9;     1
 19600312;    1070;   1.719;     9;     1
 19600313;    1070;   1.719;     9;     1
 19600314;    1000;   1.607;     9;     0
 19600315;    1000;   1.607;     9;     0
 19600316;    1000;   1.607;     9;     0
 19600317;    1000;   1.607;     9;     0
 19600318;    1000;   1.607;     9;     0
 19600319;    1000;   1.607;     9;     0
 19600320;    1000;   1.607;     9;     0
 19600321;    1000;   1.607;     9;     0
 19600322;    1000;   1.607;     9;     0
 19600323;    1140;   1.831;     9;     1
 19600324;    1500;   2.410;     9;     1
 19600325;    1740;   2.795;     9;     1
 19600326;    1660;   2.667;     9;     1
 19600327;    1500;   2.410;     9;     1
 19600328;    1580;   2.538;     9;     1
 19600329;    1350;   2.169;     9;     1
 19600330;    1350;   2.169;     9;     1
 19600331;    1280;   2.056;     9;     1
 19600401;    1280;   2.056;     9;     1
 19600402;    1140;   1.831;     9;     1
 19600403;    1140;   1.831;     9;     1
 19600404;    1210;   1.944;     9;     1
 19600405;    1660;   2.667;     9;     1
 19600406;    2400;   3.856;     9;     1
 19600407;    2600;   4.177;     9;     1
 19600408;    2810;   4.514;     9;     1
 19600409;    3250;   5.221;     9;     1
 19600410;    3800;   6.105;     9;     1
 19600411;    3360;   5.398;     9;     1
 19600412;    2810;   4.514;     9;     1
 19600413;    2300;   3.695;     9;     1
 19600414;    2600;   4.177;     9;     1
 19600415;    2500;   4.016;     9;     1
 19600416;    2400;   3.856;     9;     1
 19600417;    2200;   3.534;     9;     1
 19600418;    1920;   3.085;     9;     1
 19600419;    1830;   2.940;     9;     1
 19600420;    2100;   3.374;     9;     1
 19600421;    2400;   3.856;     9;     1
 19600422;    2700;   4.338;     9;     1
 19600423;    3580;   5.751;     9;     1
 19600424;    3800;   6.105;     9;     1
 19600425;    3940;   6.330;     9;     1
 19600426;    3800;   6.105;     9;     1
 19600427;    3800;   6.105;     9;     1
 19600428;    3580;   5.751;     9;     1
 19600429;    3250;   5.221;     9;     1
 19600430;    2700;   4.338;     9;     1
 19600501;    2400;   3.856;     9;     1
 19600502;    2500;   4.016;     9;     1
 19600503;    2600;   4.177;     9;     1
 19600504;    2700;   4.338;     9;     1
 19600505;    3140;   5.045;     9;     1
 19600506;    3360;   5.398;     9;     1
 19600507;    3470;   5.575;     9;     1
 19600508;    4220;   6.780;     9;     1
 19600509;    6050;   9.720;     9;     1
 19600510;    8750;  14.057;     9;     1
 19600511;    9350;  15.021;     9;     1
 19600512;   10200;  16.387;     9;     1
 19600513;   10200;  16.387;     9;     1
 19600514;   10800;  17.351;     9;     1
 19600515;   10800;  17.351;     9;     1
 19600516;    9050;  14.539;     9;     1
 19600517;    7100;  11.406;     9;     1
 19600518;    8750;  14.057;     9;     1
 19600519;    5600;   8.997;     9;     1
 19600520;    4360;   7.005;     9;     1
 19600521;    4360;   7.005;     9;     1
 19600522;    5050;   8.113;     9;     1
 19600523;    5050;   8.113;     9;     1
 19600524;    4920;   7.904;     9;     1
 19600525;    6650;  10.684;     9;     1
 19600526;    6450;  10.362;     9;     1
 19600527;    6450;  10.362;     9;     1
 19600528;    7300;  11.728;     9;     1
 19600529;    8450;  13.575;     9;     1
 19600530;    6650;  10.684;     9;     1
 19600531;    5600;   8.997;     9;     1
 19600601;    5850;   9.398;     9;     1
 19600602;    6250;  10.041;     9;     1
 19600603;    6250;  10.041;     9;     1
 19600604;    4920;   7.904;     9;     1
 19600605;    4780;   7.679;     9;     1
 19600606;    5400;   8.675;     9;     1
 19600607;    5850;   9.398;     9;     1
 19600608;    4500;   7.229;     9;     1
 19600609;    4220;   6.780;     9;     1
 19600610;    4360;   7.005;     9;     1
 19600611;    4080;   6.555;     9;     1
 19600612;    3800;   6.105;     9;     1
 19600613;    3940;   6.330;     9;     1
 19600614;    3800;   6.105;     9;     1
 19600615;    3360;   5.398;     9;     1
 19600616;    3140;   5.045;     9;     1
 19600617;    3030;   4.868;     9;     1
 19600618;    2920;   4.691;     9;     1
 19600619;    3030;   4.868;     9;     1
 19600620;    3030;   4.868;     9;     1
 19600621;    2920;   4.691;     9;     1
 19600622;    2920;   4.691;     9;     1
 19600623;    2810;   4.514;     9;     1
 19600624;    6050;   9.720;     9;     1
 19600625;    7300;  11.728;     9;     1
 19600626;    4780;   7.679;     9;     1
 19600627;    3580;   5.751;     9;     1
 19600628;    3030;   4.868;     9;     1
 19600629;    2810;   4.514;     9;     1
 19600630;    3030;   4.868;     9;     1
 19600701;    3470;   5.575;     9;     1
 19600702;    3030;   4.868;     9;     1
 19600703;    3360;   5.398;     9;     1
 19600704;    2700;   4.338;     9;     1
 19600705;    2400;   3.856;     9;     1
 19600706;    2300;   3.695;     9;     1
 19600707;    2600;   4.177;     9;     1
 19600708;    5200;   8.354;     9;     1
 19600709;    3580;   5.751;     9;     1
 19600710;    2810;   4.514;     9;     1
 19600711;    2810;   4.514;     9;     1
 19600712;    3940;   6.330;     9;     1
 19600713;    2700;   4.338;     9;     1
 19600714;    2300;   3.695;     9;     1
 19600715;    4780;   7.679;     9;     1
 19600716;    3940;   6.330;     9;     1
 19600717;    3030;   4.868;     9;     1
 19600718;    2600;   4.177;     9;     1
 19600719;    2300;   3.695;     9;     1
 19600720;    2920;   4.691;     9;     1
 19600721;    2300;   3.695;     9;     1
 19600722;    1920;   3.085;     9;     1
 19600723;    1740;   2.795;     9;     1
 19600724;    1660;   2.667;     9;     1
 19600725;    1500;   2.410;     9;     1
 19600726;    1350;   2.169;     9;     1
 19600727;    1280;   2.056;     9;     1
 19600728;    1210;   1.944;     9;     1
 19600729;    1280;   2.056;     9;     1
 19600730;    1500;   2.410;     9;     1
 19600731;    2200;   3.534;     9;     1
 19600801;    2300;   3.695;     9;     1
 19600802;    1660;   2.667;     9;     1
 19600803;    1420;   2.281;     9;     1
 19600804;    1280;   2.056;     9;     1
 19600805;    1580;   2.538;     9;     1
 19600806;    1280;   2.056;     9;     1
 19600807;    1210;   1.944;     9;     1
 19600808;    1830;   2.940;     9;     1
 19600809;    1350;   2.169;     9;     1
 19600810;    1210;   1.944;     9;     1
 19600811;    1070;   1.719;     9;     1
 19600812;    1000;   1.607;     9;     1
 19600813;     930;   1.494;     9;     1
 19600814;     860;   1.382;     9;     1
 19600815;     800;   1.285;     9;     1
 19600816;     740;   1.189;     9;     1
 19600817;     680;   1.092;     9;     1
 19600818;     680;   1.092;     9;     1
 19600819;     680;   1.092;     9;     1
 19600820;     620;   0.996;     9;     1
 19600821;     500;   0.803;     9;     1
 19600822;     500;   0.803;     9;     1
 19600823;     560;   0.900;     9;     1
 19600824;     500;   0.803;     9;     1
 19600825;     440;   0.707;     9;     1
 19600826;     440;   0.707;     9;     1
 19600827;     500;   0.803;     9;     1
 19600828;     620;   0.996;     9;     1
 19600829;     500;   0.803;     9;     1
 19600830;     440;   0.707;     9;     1
 19600831;     440;   0.707;     9;     1
 19600901;     380;   0.610;     9;     1
 19600902;     440;   0.707;     9;     1
 19600903;     380;   0.610;     5;     1
 19600904;     800;   1.285;     9;     1
 19600905;    1210;   1.944;     9;     1
 19600906;    1210;   1.944;     9;     1
 19600907;     800;   1.285;     9;     1
 19600908;    1210;   1.944;     9;     1
 19600909;     860;   1.382;     9;     1
 19600910;     680;   1.092;     9;     1
 19600911;     620;   0.996;     9;     1
 19600912;     560;   0.900;     9;     1
 19600913;     560;   0.900;     9;     1
 19600914;     500;   0.803;     9;     1
 19600915;    1140;   1.831;     9;     1
 19600916;    3800;   6.105;     9;     1
 19600917;    2810;   4.514;     9;     1
