## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-12-24 20:00:00
## Auteurs                          : X
## Créateur du fichier              : X
## Entité                           : INRAE - UR RiverLy
## Extraction données hydrologiques :    - 2020-12-01
## Producteur données hydrologiques :   
## Source MNT                       :
## Source plan de drainage          : 
## ========================================================================================================================================================================================================
## Code station                     : O2725010
## Nom station                      : La Lauze à Sémézies-Cachan [Faget-Abbatial]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :            
## Coordonnées station L93          :      516292 ;    6269123 ;             ;            ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :             ;            ;             ;            ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :             ;            ;             ;            ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :          36 ;            ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         187 ;            ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :      -- [%]
## Débits disponibles               :  1965-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           0 ;    0/0/0/0 ;       0/0/0 ;      00/00 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité [0] si non renseigné, si extrait de la BANQUE HYDRO : [5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;     -99; -99.000;     0;   -99
 19650102;     -99; -99.000;     0;   -99
 19650103;     -99; -99.000;     0;   -99
 19650104;     -99; -99.000;     0;   -99
 19650105;     -99; -99.000;     0;   -99
 19650106;     -99; -99.000;     0;   -99
 19650107;     -99; -99.000;     0;   -99
 19650108;     -99; -99.000;     0;   -99
 19650109;     -99; -99.000;     0;   -99
 19650110;     -99; -99.000;     0;   -99
 19650111;     -99; -99.000;     0;   -99
 19650112;     -99; -99.000;     0;   -99
 19650113;     -99; -99.000;     0;   -99
 19650114;     -99; -99.000;     0;   -99
 19650115;     -99; -99.000;     0;   -99
 19650116;     -99; -99.000;     0;   -99
 19650117;     -99; -99.000;     0;   -99
 19650118;     -99; -99.000;     0;   -99
 19650119;     -99; -99.000;     0;   -99
 19650120;     -99; -99.000;     0;   -99
 19650121;     -99; -99.000;     0;   -99
 19650122;     -99; -99.000;     0;   -99
 19650123;     -99; -99.000;     0;   -99
 19650124;     -99; -99.000;     0;   -99
 19650125;     -99; -99.000;     0;   -99
 19650126;     -99; -99.000;     0;   -99
 19650127;     -99; -99.000;     0;   -99
 19650128;     -99; -99.000;     0;   -99
 19650129;     -99; -99.000;     0;   -99
 19650130;     -99; -99.000;     0;   -99
 19650131;     -99; -99.000;     0;   -99
 19650201;     -99; -99.000;     0;   -99
 19650202;     -99; -99.000;     0;   -99
 19650203;     -99; -99.000;     0;   -99
 19650204;     -99; -99.000;     0;   -99
 19650205;     -99; -99.000;     0;   -99
 19650206;     -99; -99.000;     0;   -99
 19650207;     -99; -99.000;     0;   -99
 19650208;     -99; -99.000;     0;   -99
 19650209;     -99; -99.000;     0;   -99
 19650210;     -99; -99.000;     0;   -99
 19650211;     -99; -99.000;     0;   -99
 19650212;     -99; -99.000;     0;   -99
 19650213;     -99; -99.000;     0;   -99
 19650214;     -99; -99.000;     0;   -99
 19650215;     -99; -99.000;     0;   -99
 19650216;     -99; -99.000;     0;   -99
 19650217;     -99; -99.000;     0;   -99
 19650218;     -99; -99.000;     0;   -99
 19650219;     -99; -99.000;     0;   -99
 19650220;     -99; -99.000;     0;   -99
 19650221;     -99; -99.000;     0;   -99
 19650222;     -99; -99.000;     0;   -99
 19650223;     -99; -99.000;     0;   -99
 19650224;     -99; -99.000;     0;   -99
 19650225;     -99; -99.000;     0;   -99
 19650226;     -99; -99.000;     0;   -99
 19650227;     -99; -99.000;     0;   -99
 19650228;     -99; -99.000;     0;   -99
 19650301;     -99; -99.000;     0;   -99
 19650302;     -99; -99.000;     0;   -99
 19650303;     -99; -99.000;     0;   -99
 19650304;     -99; -99.000;     0;   -99
 19650305;     -99; -99.000;     0;   -99
 19650306;     -99; -99.000;     0;   -99
 19650307;     -99; -99.000;     0;   -99
 19650308;     -99; -99.000;     0;   -99
 19650309;     -99; -99.000;     0;   -99
 19650310;     -99; -99.000;     0;   -99
 19650311;     -99; -99.000;     0;   -99
 19650312;     -99; -99.000;     0;   -99
 19650313;     -99; -99.000;     0;   -99
 19650314;     -99; -99.000;     0;   -99
 19650315;     -99; -99.000;     0;   -99
 19650316;     -99; -99.000;     0;   -99
 19650317;     -99; -99.000;     0;   -99
 19650318;     -99; -99.000;     0;   -99
 19650319;     -99; -99.000;     0;   -99
 19650320;     -99; -99.000;     0;   -99
 19650321;     -99; -99.000;     0;   -99
 19650322;     -99; -99.000;     0;   -99
 19650323;     -99; -99.000;     0;   -99
 19650324;     -99; -99.000;     0;   -99
 19650325;     -99; -99.000;     0;   -99
 19650326;     -99; -99.000;     0;   -99
 19650327;     -99; -99.000;     0;   -99
 19650328;     -99; -99.000;     0;   -99
 19650329;     -99; -99.000;     0;   -99
 19650330;     -99; -99.000;     0;   -99
 19650331;     -99; -99.000;     0;   -99
 19650401;     -99; -99.000;     0;   -99
 19650402;     -99; -99.000;     0;   -99
 19650403;     -99; -99.000;     0;   -99
 19650404;     -99; -99.000;     0;   -99
 19650405;     -99; -99.000;     0;   -99
 19650406;     -99; -99.000;     0;   -99
 19650407;     -99; -99.000;     0;   -99
 19650408;     -99; -99.000;     0;   -99
 19650409;     -99; -99.000;     0;   -99
 19650410;     -99; -99.000;     0;   -99
 19650411;     -99; -99.000;     0;   -99
 19650412;     -99; -99.000;     0;   -99
 19650413;     -99; -99.000;     0;   -99
 19650414;     -99; -99.000;     0;   -99
 19650415;     -99; -99.000;     0;   -99
 19650416;     -99; -99.000;     0;   -99
 19650417;     -99; -99.000;     0;   -99
 19650418;     -99; -99.000;     0;   -99
 19650419;     -99; -99.000;     0;   -99
 19650420;     -99; -99.000;     0;   -99
 19650421;     -99; -99.000;     0;   -99
 19650422;     -99; -99.000;     0;   -99
 19650423;     -99; -99.000;     0;   -99
 19650424;     -99; -99.000;     0;   -99
 19650425;     -99; -99.000;     0;   -99
 19650426;     -99; -99.000;     0;   -99
 19650427;     -99; -99.000;     0;   -99
 19650428;     -99; -99.000;     0;   -99
 19650429;     -99; -99.000;     0;   -99
 19650430;     -99; -99.000;     0;   -99
 19650501;     -99; -99.000;     0;   -99
 19650502;     -99; -99.000;     0;   -99
 19650503;     -99; -99.000;     0;   -99
 19650504;     -99; -99.000;     0;   -99
 19650505;     -99; -99.000;     0;   -99
 19650506;     -99; -99.000;     0;   -99
 19650507;     -99; -99.000;     0;   -99
 19650508;     -99; -99.000;     0;   -99
 19650509;     -99; -99.000;     0;   -99
 19650510;     -99; -99.000;     0;   -99
 19650511;     -99; -99.000;     0;   -99
 19650512;     -99; -99.000;     0;   -99
 19650513;     -99; -99.000;     0;   -99
 19650514;     -99; -99.000;     0;   -99
 19650515;     -99; -99.000;     0;   -99
 19650516;     -99; -99.000;     0;   -99
 19650517;     -99; -99.000;     0;   -99
 19650518;     -99; -99.000;     0;   -99
 19650519;     -99; -99.000;     0;   -99
 19650520;     -99; -99.000;     0;   -99
 19650521;     -99; -99.000;     0;   -99
 19650522;     -99; -99.000;     0;   -99
 19650523;     -99; -99.000;     0;   -99
 19650524;     -99; -99.000;     0;   -99
 19650525;     -99; -99.000;     0;   -99
 19650526;     -99; -99.000;     0;   -99
 19650527;     -99; -99.000;     0;   -99
 19650528;     -99; -99.000;     0;   -99
 19650529;     -99; -99.000;     0;   -99
 19650530;     -99; -99.000;     0;   -99
 19650531;     -99; -99.000;     0;   -99
 19650601;     -99; -99.000;     0;   -99
 19650602;     -99; -99.000;     0;   -99
 19650603;     -99; -99.000;     0;   -99
 19650604;     -99; -99.000;     0;   -99
 19650605;     -99; -99.000;     0;   -99
 19650606;     -99; -99.000;     0;   -99
 19650607;     -99; -99.000;     0;   -99
 19650608;     -99; -99.000;     0;   -99
 19650609;     -99; -99.000;     0;   -99
 19650610;     -99; -99.000;     0;   -99
 19650611;     -99; -99.000;     0;   -99
 19650612;     -99; -99.000;     0;   -99
 19650613;     -99; -99.000;     0;   -99
 19650614;     -99; -99.000;     0;   -99
 19650615;     -99; -99.000;     0;   -99
 19650616;     -99; -99.000;     0;   -99
 19650617;     -99; -99.000;     0;   -99
 19650618;     -99; -99.000;     0;   -99
 19650619;     -99; -99.000;     0;   -99
 19650620;     -99; -99.000;     0;   -99
 19650621;     -99; -99.000;     0;   -99
 19650622;     -99; -99.000;     0;   -99
 19650623;     -99; -99.000;     0;   -99
 19650624;     -99; -99.000;     0;   -99
 19650625;     -99; -99.000;     0;   -99
 19650626;     -99; -99.000;     0;   -99
 19650627;     -99; -99.000;     0;   -99
 19650628;     -99; -99.000;     0;   -99
 19650629;     -99; -99.000;     0;   -99
 19650630;     -99; -99.000;     0;   -99
 19650701;     -99; -99.000;     0;   -99
 19650702;     -99; -99.000;     0;   -99
 19650703;     -99; -99.000;     0;   -99
 19650704;     -99; -99.000;     0;   -99
 19650705;     -99; -99.000;     0;   -99
 19650706;     -99; -99.000;     0;   -99
 19650707;     -99; -99.000;     0;   -99
 19650708;     -99; -99.000;     0;   -99
 19650709;     -99; -99.000;     0;   -99
 19650710;     -99; -99.000;     0;   -99
 19650711;     -99; -99.000;     0;   -99
 19650712;     -99; -99.000;     0;   -99
 19650713;     -99; -99.000;     0;   -99
 19650714;     -99; -99.000;     0;   -99
 19650715;     -99; -99.000;     0;   -99
 19650716;     -99; -99.000;     0;   -99
 19650717;     -99; -99.000;     0;   -99
 19650718;     -99; -99.000;     0;   -99
 19650719;     -99; -99.000;     0;   -99
 19650720;     -99; -99.000;     0;   -99
 19650721;     -99; -99.000;     0;   -99
 19650722;     -99; -99.000;     0;   -99
 19650723;     -99; -99.000;     0;   -99
 19650724;     -99; -99.000;     0;   -99
 19650725;     -99; -99.000;     0;   -99
 19650726;     -99; -99.000;     0;   -99
 19650727;     -99; -99.000;     0;   -99
 19650728;     -99; -99.000;     0;   -99
 19650729;     -99; -99.000;     0;   -99
 19650730;     -99; -99.000;     0;   -99
 19650731;     -99; -99.000;     0;   -99
 19650801;     -99; -99.000;     0;   -99
 19650802;     -99; -99.000;     0;   -99
 19650803;     -99; -99.000;     0;   -99
 19650804;     -99; -99.000;     0;   -99
 19650805;     -99; -99.000;     0;   -99
 19650806;     -99; -99.000;     0;   -99
 19650807;     -99; -99.000;     0;   -99
 19650808;     -99; -99.000;     0;   -99
 19650809;     -99; -99.000;     0;   -99
 19650810;     -99; -99.000;     0;   -99
 19650811;     -99; -99.000;     0;   -99
 19650812;     -99; -99.000;     0;   -99
 19650813;     -99; -99.000;     0;   -99
 19650814;     -99; -99.000;     0;   -99
 19650815;     -99; -99.000;     0;   -99
 19650816;     -99; -99.000;     0;   -99
 19650817;     -99; -99.000;     0;   -99
 19650818;     -99; -99.000;     0;   -99
 19650819;     -99; -99.000;     0;   -99
 19650820;     -99; -99.000;     0;   -99
 19650821;     -99; -99.000;     0;   -99
 19650822;     -99; -99.000;     0;   -99
 19650823;     -99; -99.000;     0;   -99
 19650824;     -99; -99.000;     0;   -99
 19650825;     -99; -99.000;     0;   -99
 19650826;     -99; -99.000;     0;   -99
 19650827;     -99; -99.000;     0;   -99
 19650828;     -99; -99.000;     0;   -99
 19650829;     -99; -99.000;     0;   -99
 19650830;     -99; -99.000;     0;   -99
 19650831;     -99; -99.000;     0;   -99
 19650901;     -99; -99.000;     0;   -99
 19650902;     -99; -99.000;     0;   -99
 19650903;     -99; -99.000;     0;   -99
 19650904;     -99; -99.000;     0;   -99
 19650905;     -99; -99.000;     0;   -99
 19650906;     -99; -99.000;     0;   -99
 19650907;     -99; -99.000;     0;   -99
 19650908;     -99; -99.000;     0;   -99
 19650909;     -99; -99.000;     0;   -99
 19650910;     -99; -99.000;     0;   -99
 19650911;     -99; -99.000;     0;   -99
 19650912;     -99; -99.000;     0;   -99
 19650913;     -99; -99.000;     0;   -99
 19650914;     -99; -99.000;     0;   -99
 19650915;     -99; -99.000;     0;   -99
 19650916;     -99; -99.000;     0;   -99
 19650917;     -99; -99.000;     0;   -99
 19650918;     -99; -99.000;     0;   -99
 19650919;     -99; -99.000;     0;   -99
 19650920;     -99; -99.000;     0;   -99
 19650921;     -99; -99.000;     0;   -99
 19650922;     -99; -99.000;     0;   -99
 19650923;     -99; -99.000;     0;   -99
 19650924;     -99; -99.000;     0;   -99
 19650925;     -99; -99.000;     0;   -99
 19650926;     -99; -99.000;     0;   -99
 19650927;     -99; -99.000;     0;   -99
 19650928;     -99; -99.000;     0;   -99
 19650929;     -99; -99.000;     0;   -99
 19650930;     -99; -99.000;     0;   -99
 19651001;      38; -99.000;     9;   -99
 19651002;      46; -99.000;     9;   -99
 19651003;      46; -99.000;     9;   -99
 19651004;      46; -99.000;     9;   -99
 19651005;      46; -99.000;     9;   -99
 19651006;      46; -99.000;     9;   -99
 19651007;      46; -99.000;     9;   -99
 19651008;      46; -99.000;     9;   -99
 19651009;      46; -99.000;     9;   -99
 19651010;      52; -99.000;     9;   -99
 19651011;      64; -99.000;     9;   -99
