## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3031010
## Nom station                      : Le Tarn à Bédouès [Cocures]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      749303 ;    6360930 ;      749322 ;    6360873 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      702293 ;    1928006 ;      702313 ;    1927949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.61846 ;   44.34566 ;     3.61870 ;   44.34515 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      189.00 ;     189.33 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         565 ;        580 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     7.2 [%]
## Débits disponibles               :  1961-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;    3800;   1.734;     9;     1
 19610102;    3700;   1.688;     9;     1
 19610103;    5100;   2.327;     9;     1
 19610104;    4600;   2.099;     9;     1
 19610105;    4200;   1.917;     9;     1
 19610106;    4100;   1.871;     9;     1
 19610107;    4000;   1.825;     9;     1
 19610108;    4500;   2.054;     9;     1
 19610109;    4500;   2.054;     9;     1
 19610110;    4100;   1.871;     9;     1
 19610111;    4100;   1.871;     9;     1
 19610112;    3900;   1.780;     9;     1
 19610113;    3700;   1.688;     9;     1
 19610114;    3700;   1.688;     9;     1
 19610115;    3600;   1.643;     9;     1
 19610116;    3200;   1.460;     9;     1
 19610117;    3300;   1.506;     9;     1
 19610118;    3300;   1.506;     9;     1
 19610119;    2900;   1.323;     9;     1
 19610120;    2800;   1.278;     9;     1
 19610121;    2700;   1.232;     9;     1
 19610122;    4500;   2.054;     9;     1
 19610123;    5400;   2.464;     9;     1
 19610124;    4800;   2.190;     9;     1
 19610125;    4500;   2.054;     9;     1
 19610126;    4000;   1.825;     9;     1
 19610127;    3800;   1.734;     9;     1
 19610128;    3800;   1.734;     9;     1
 19610129;    3600;   1.643;     9;     1
 19610130;    3400;   1.552;     9;     1
 19610131;    4000;   1.825;     9;     1
 19610201;    6800;   3.103;     9;     1
 19610202;    7100;   3.240;     9;     1
 19610203;    6900;   3.149;     9;     1
 19610204;    6500;   2.966;     9;     1
 19610205;    9400;   4.290;     9;     1
 19610206;   10000;   4.563;     9;     1
 19610207;    8900;   4.061;     9;     1
 19610208;    7900;   3.605;     9;     1
 19610209;    7700;   3.514;     9;     1
 19610210;    8000;   3.651;     9;     1
 19610211;    6900;   3.149;     9;     1
 19610212;    6800;   3.103;     9;     1
 19610213;    6600;   3.012;     9;     1
 19610214;    6500;   2.966;     9;     1
 19610215;    6300;   2.875;     9;     1
 19610216;    6000;   2.738;     9;     1
 19610217;    5900;   2.692;     9;     1
 19610218;    5700;   2.601;     9;     1
 19610219;    5600;   2.556;     9;     1
 19610220;    5400;   2.464;     9;     1
 19610221;    5100;   2.327;     9;     1
 19610222;    5100;   2.327;     9;     1
 19610223;    5100;   2.327;     9;     1
 19610224;    5300;   2.419;     9;     1
 19610225;    5400;   2.464;     9;     1
 19610226;    5600;   2.556;     9;     1
 19610227;    5400;   2.464;     9;     1
 19610228;    5900;   2.692;     9;     1
 19610301;    5700;   2.601;     9;     1
 19610302;    5600;   2.556;     9;     1
 19610303;    5300;   2.419;     9;     1
 19610304;    5100;   2.327;     9;     1
 19610305;    5000;   2.282;     9;     1
 19610306;    4900;   2.236;     9;     1
 19610307;    4600;   2.099;     9;     1
 19610308;    4500;   2.054;     9;     1
 19610309;    4400;   2.008;     9;     1
 19610310;    4400;   2.008;     9;     1
 19610311;    4100;   1.871;     9;     1
 19610312;    4000;   1.825;     9;     1
 19610313;    3900;   1.780;     9;     1
 19610314;    3800;   1.734;     9;     1
 19610315;    8800;   4.016;     9;     1
 19610316;    3800;   1.734;     9;     1
 19610317;    3800;   1.734;     9;     1
 19610318;    3800;   1.734;     9;     1
 19610319;    3800;   1.734;     9;     1
 19610320;    3700;   1.688;     9;     1
 19610321;    3000;   1.369;     9;     1
 19610322;    3200;   1.460;     9;     1
 19610323;    3100;   1.415;     9;     1
 19610324;    8100;   3.696;     9;     1
