## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3035210
## Nom station                      : Le Briançon aux Bondons [Cocures]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      748855 ;    6362028 ;      748833 ;    6362076 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      701835 ;    1929101 ;      701813 ;    1929149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.61294 ;   44.35557 ;     3.61268 ;   44.35601 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       25.00 ;      25.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         591 ;        611 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.2 [%]
## Débits disponibles               :  1949-09-01 ; 2020-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19490901;      10;   0.034;     9;     0
 19490902;      10;   0.034;     9;     0
 19490903;      10;   0.034;     9;     0
 19490904;      10;   0.034;     9;     0
 19490905;      10;   0.034;     9;     0
 19490906;      10;   0.034;     9;     0
 19490907;      10;   0.034;     9;     0
 19490908;      10;   0.034;     9;     0
 19490909;      10;   0.034;     9;     0
 19490910;      10;   0.034;     9;     0
 19490911;      10;   0.034;     9;     0
 19490912;      10;   0.034;     9;     0
 19490913;      10;   0.034;     9;     0
 19490914;      10;   0.034;     9;     0
 19490915;      10;   0.034;     9;     0
 19490916;      10;   0.034;     9;     0
 19490917;      10;   0.034;     9;     0
 19490918;      10;   0.034;     9;     0
 19490919;      30;   0.101;     9;     1
 19490920;      30;   0.101;     9;     1
 19490921;      30;   0.101;     9;     1
 19490922;      30;   0.101;     9;     1
 19490923;      50;   0.168;     9;     1
 19490924;      90;   0.302;     9;     1
 19490925;     120;   0.403;     9;     1
 19490926;      70;   0.235;     9;     1
 19490927;      70;   0.235;     9;     1
 19490928;      70;   0.235;     9;     1
 19490929;      70;   0.235;     9;     1
 19490930;     180;   0.604;     9;     1
 19491001;     390;   1.309;     9;     1
 19491002;     300;   1.007;     9;     1
 19491003;     180;   0.604;     9;     1
 19491004;     150;   0.503;     9;     1
 19491005;     150;   0.503;     9;     1
 19491006;     120;   0.403;     9;     1
 19491007;     120;   0.403;     9;     1
 19491008;     220;   0.738;     9;     1
 19491009;     220;   0.738;     9;     1
 19491010;     180;   0.604;     9;     1
 19491011;     180;   0.604;     9;     1
 19491012;     150;   0.503;     9;     1
 19491013;     150;   0.503;     9;     1
 19491014;     120;   0.403;     9;     1
 19491015;      90;   0.302;     9;     0
 19491016;      90;   0.302;     9;     0
 19491017;      90;   0.302;     9;     0
 19491018;      90;   0.302;     9;     0
 19491019;      90;   0.302;     9;     0
 19491020;      90;   0.302;     9;     0
 19491021;      90;   0.302;     9;     0
 19491022;      90;   0.302;     9;     0
 19491023;      70;   0.235;     9;     1
 19491024;      70;   0.235;     9;     1
 19491025;      70;   0.235;     9;     1
 19491026;      90;   0.302;     9;     1
 19491027;      90;   0.302;     9;     1
 19491028;      70;   0.235;     9;     0
 19491029;      70;   0.235;     9;     0
 19491030;      70;   0.235;     9;     0
 19491031;      70;   0.235;     9;     0
 19491101;      70;   0.235;     9;     0
 19491102;      70;   0.235;     9;     0
 19491103;      70;   0.235;     9;     0
 19491104;      70;   0.235;     9;     0
 19491105;      70;   0.235;     9;     0
 19491106;      70;   0.235;     9;     0
 19491107;     120;   0.403;     9;     1
 19491108;      90;   0.302;     9;     0
 19491109;      90;   0.302;     9;     0
 19491110;      90;   0.302;     9;     0
 19491111;      90;   0.302;     9;     0
 19491112;      90;   0.302;     9;     0
 19491113;      90;   0.302;     9;     0
 19491114;     120;   0.403;     9;     1
 19491115;     120;   0.403;     9;     1
 19491116;     120;   0.403;     9;     1
 19491117;     150;   0.503;     9;     1
 19491118;     150;   0.503;     9;     1
 19491119;     300;   1.007;     9;     1
 19491120;    3130;  10.506;     9;     1
 19491121;    1030;   3.457;     9;     1
 19491122;    1920;   6.445;     9;     1
 19491123;    1660;   5.572;     9;     1
 19491124;    2420;   8.123;     9;     1
 19491125;    2120;   7.116;     9;     1
 19491126;    1570;   5.270;     9;     1
