## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:41
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3121010
## Nom station                      : Le Tarn à Montbrun [Pont de Montbrun]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      739599 ;    6359553 ;      739520 ;    6359458 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      692591 ;    1926545 ;      692513 ;    1926449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.49663 ;   44.33388 ;     3.49563 ;   44.33303 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      621.00 ;     588.32 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         480 ;        486 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1961-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;   11500;   1.689;     9;     1
 19610102;   10900;   1.601;     9;     1
 19610103;   15300;   2.247;     9;     1
 19610104;   18600;   2.732;     9;     1
 19610105;   15800;   2.320;     9;     1
 19610106;   14200;   2.085;     9;     1
 19610107;   13900;   2.041;     9;     1
 19610108;   13600;   1.997;     9;     1
 19610109;   15800;   2.320;     9;     1
 19610110;   15800;   2.320;     9;     1
 19610111;   15300;   2.247;     9;     1
 19610112;   13900;   2.041;     9;     1
 19610113;   13000;   1.909;     9;     1
 19610114;   12300;   1.806;     9;     1
 19610115;   12500;   1.836;     9;     1
 19610116;   12000;   1.762;     9;     1
 19610117;   10900;   1.601;     9;     1
 19610118;   10400;   1.527;     9;     1
 19610119;   10400;   1.527;     9;     1
 19610120;    9900;   1.454;     9;     1
 19610121;    9380;   1.378;     9;     1
 19610122;   15800;   2.320;     9;     1
 19610123;   28100;   4.127;     9;     1
 19610124;   24500;   3.598;     9;     1
 19610125;   21900;   3.216;     9;     1
 19610126;   19100;   2.805;     9;     1
 19610127;   16400;   2.408;     9;     1
 19610128;   15500;   2.276;     9;     1
 19610129;   15000;   2.203;     9;     1
 19610130;   14200;   2.085;     9;     1
 19610131;   15300;   2.247;     9;     1
 19610201;   21900;   3.216;     9;     1
 19610202;   28100;   4.127;     9;     1
 19610203;   33200;   4.876;     9;     1
 19610204;   27700;   4.068;     9;     1
 19610205;   29900;   4.391;     9;     1
 19610206;   31000;   4.553;     9;     1
 19610207;   28100;   4.127;     9;     1
 19610208;   25300;   3.716;     9;     1
 19610209;   23700;   3.481;     9;     1
 19610210;   22700;   3.334;     9;     1
 19610211;   21100;   3.099;     9;     1
 19610212;   19600;   2.878;     9;     1
 19610213;   19100;   2.805;     9;     1
 19610214;   18000;   2.643;     9;     1
 19610215;   17500;   2.570;     9;     1
 19610216;   16400;   2.408;     9;     1
 19610217;   15800;   2.320;     9;     1
 19610218;   15000;   2.203;     9;     1
 19610219;   14500;   2.129;     9;     1
 19610220;   13600;   1.997;     9;     1
 19610221;   13000;   1.909;     9;     1
 19610222;   12800;   1.880;     9;     1
 19610223;   12500;   1.836;     9;     1
 19610224;   12300;   1.806;     9;     1
 19610225;   12500;   1.836;     9;     1
 19610226;   12800;   1.880;     9;     1
 19610227;   12500;   1.836;     9;     1
 19610228;   12800;   1.880;     9;     1
 19610301;   12500;   1.836;     9;     1
 19610302;   12500;   1.836;     9;     1
 19610303;   12000;   1.762;     9;     1
 19610304;   11500;   1.689;     9;     1
 19610305;   11200;   1.645;     9;     1
 19610306;   10700;   1.571;     9;     1
 19610307;   10400;   1.527;     9;     1
 19610308;    9900;   1.454;     9;     1
 19610309;    9640;   1.416;     9;     1
 19610310;    9120;   1.339;     9;     0
 19610311;    8860;   1.301;     9;     0
 19610312;    8600;   1.263;     9;     0
 19610313;    8340;   1.225;     9;     0
 19610314;    8080;   1.187;     9;     0
 19610315;    7300;   1.072;     9;     0
 19610316;    7300;   1.072;     9;     0
 19610317;    7300;   1.072;     9;     0
 19610318;    7300;   1.072;     9;     0
 19610319;    7300;   1.072;     9;     0
 19610320;    6780;   0.996;     9;     1
 19610321;    6520;   0.958;     9;     1
 19610322;    6050;   0.888;     9;     1
 19610323;    6050;   0.888;     9;     1
 19610324;    5840;   0.858;     9;     1
