## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:20
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O4704030
## Nom station                      : Le Dadou à Paulinet [Saint-Jean-de-Jeanne]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      654996 ;    6302729 ;      655027 ;    6302728 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      608382 ;    1868950 ;      608413 ;    1868949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.44064 ;   43.82214 ;     2.44102 ;   43.82213 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       72.00 ;      71.11 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         413 ;        427 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.6 [%]
## Débits disponibles               :  1968-09-28 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680928;     221;   0.269;     9;     1
 19680929;     238;   0.289;     9;     1
 19680930;     272;   0.330;     9;     1
 19681001;     289;   0.351;     9;     1
 19681002;     255;   0.310;     9;     0
 19681003;     238;   0.289;     9;     0
 19681004;     221;   0.269;     9;     0
 19681005;     204;   0.248;     9;     0
 19681006;     187;   0.227;     9;     0
 19681007;     170;   0.207;     9;     0
 19681008;     201;   0.244;     9;     1
 19681009;     289;   0.351;     9;     1
 19681010;     289;   0.351;     9;     1
 19681011;     255;   0.310;     9;     1
 19681012;     221;   0.269;     9;     1
 19681013;     187;   0.227;     9;     1
 19681014;     170;   0.207;     9;     0
 19681015;     170;   0.207;     9;     0
 19681016;     170;   0.207;     9;     0
 19681017;     170;   0.207;     9;     0
 19681018;     170;   0.207;     9;     0
 19681019;     170;   0.207;     9;     0
 19681020;     158;   0.192;     9;     1
 19681021;     147;   0.179;     9;     1
 19681022;     147;   0.179;     9;     1
 19681023;     147;   0.179;     9;     1
 19681024;     177;   0.215;     9;     1
 19681025;     221;   0.269;     9;     1
 19681026;     646;   0.785;     9;     1
 19681027;     563;   0.684;     9;     1
 19681028;     345;   0.419;     9;     1
 19681029;     306;   0.372;     9;     1
 19681030;     289;   0.351;     9;     1
 19681031;     272;   0.330;     9;     1
 19681101;     282;   0.343;     9;     1
 19681102;     348;   0.423;     9;     1
 19681103;     798;   0.970;     9;     1
 19681104;    1080;   1.312;     9;     1
 19681105;     850;   1.033;     9;     1
 19681106;     844;   1.025;     9;     1
 19681107;     844;   1.025;     9;     1
 19681108;     902;   1.096;     9;     1
 19681109;    1970;   2.394;     9;     1
 19681110;    1940;   2.357;     9;     1
 19681111;    1940;   2.357;     9;     1
 19681112;    1680;   2.041;     9;     1
 19681113;    1480;   1.798;     9;     1
 19681114;    1370;   1.665;     9;     1
 19681115;    1260;   1.531;     9;     1
 19681116;    1230;   1.494;     9;     1
 19681117;    1190;   1.446;     9;     1
 19681118;    1080;   1.312;     9;     1
 19681119;    1010;   1.227;     9;     1
 19681120;    1010;   1.227;     9;     1
 19681121;    1050;   1.276;     9;     1
 19681122;    1010;   1.227;     9;     1
 19681123;     973;   1.182;     9;     1
 19681124;     979;   1.190;     9;     1
 19681125;    1030;   1.251;     9;     1
 19681126;     973;   1.182;     9;     1
 19681127;     936;   1.137;     9;     1
 19681128;     900;   1.094;     9;     1
 19681129;     872;   1.059;     9;     1
 19681130;     844;   1.025;     9;     1
 19681201;     844;   1.025;     9;     1
 19681202;     816;   0.991;     9;     1
 19681203;     788;   0.957;     9;     1
 19681204;     -99; -99.000;   -99;   -99
 19681205;     -99; -99.000;   -99;   -99
 19681206;     -99; -99.000;   -99;   -99
 19681207;     -99; -99.000;   -99;   -99
 19681208;     -99; -99.000;   -99;   -99
 19681209;     -99; -99.000;   -99;   -99
 19681210;     -99; -99.000;   -99;   -99
 19681211;     -99; -99.000;   -99;   -99
 19681212;     -99; -99.000;   -99;   -99
 19681213;     -99; -99.000;   -99;   -99
 19681214;     -99; -99.000;   -99;   -99
 19681215;     -99; -99.000;   -99;   -99
 19681216;     -99; -99.000;   -99;   -99
 19681217;     -99; -99.000;   -99;   -99
 19681218;     -99; -99.000;   -99;   -99
 19681219;     -99; -99.000;   -99;   -99
 19681220;     -99; -99.000;   -99;   -99
 19681221;     -99; -99.000;   -99;   -99
 19681222;    2770;   3.366;     9;     1
 19681223;    2770;   3.366;     9;     1
 19681224;    4980;   6.051;     9;     1
 19681225;   18300;  22.235;     5;     1
 19681226;   33300;  40.460;     5;     1
 19681227;   11800;  14.337;     9;     1
 19681228;    6840;   8.311;     9;     1
 19681229;    5150;   6.257;     9;     1
 19681230;    4100;   4.982;     9;     1
 19681231;    3430;   4.168;     9;     1
 19690101;    3120;   3.791;     9;     1
 19690102;    2520;   3.062;     9;     1
 19690103;    2290;   2.782;     9;     1
 19690104;    2160;   2.624;     9;     1
 19690105;    1980;   2.406;     9;     1
 19690106;    1890;   2.296;     9;     1
 19690107;    1960;   2.381;     9;     1
 19690108;    2250;   2.734;     9;     1
 19690109;    2030;   2.466;     9;     1
 19690110;    1890;   2.296;     9;     1
 19690111;    1810;   2.199;     9;     1
 19690112;    1850;   2.248;     9;     1
 19690113;    1920;   2.333;     9;     1
 19690114;    2370;   2.880;     9;     1
 19690115;    4060;   4.933;     9;     1
 19690116;    4150;   5.042;     9;     1
 19690117;    4100;   4.982;     9;     1
 19690118;    8120;   9.866;     9;     1
 19690119;    7570;   9.198;     9;     1
 19690120;    5550;   6.743;     9;     1
 19690121;    4410;   5.358;     9;     1
 19690122;    3740;   4.544;     9;     1
 19690123;    3230;   3.925;     9;     1
 19690124;    2820;   3.426;     9;     1
 19690125;    2510;   3.050;     9;     1
 19690126;    2290;   2.782;     9;     1
 19690127;    2070;   2.515;     9;     1
 19690128;    1940;   2.357;     9;     1
 19690129;    1890;   2.296;     9;     1
 19690130;    1960;   2.381;     9;     1
 19690131;    1720;   2.090;     9;     1
 19690201;    1560;   1.895;     9;     1
 19690202;    1480;   1.798;     9;     1
 19690203;    1480;   1.798;     9;     1
 19690204;    1450;   1.762;     9;     1
 19690205;    1370;   1.665;     9;     1
 19690206;    1300;   1.580;     9;     1
 19690207;    1230;   1.494;     9;     1
 19690208;    1160;   1.409;     9;     1
 19690209;    1080;   1.312;     9;     1
 19690210;    1010;   1.227;     9;     1
 19690211;    1050;   1.276;     9;     1
 19690212;    3160;   3.839;     9;     1
 19690213;    4050;   4.921;     9;     1
 19690214;    3860;   4.690;     9;     1
 19690215;    3330;   4.046;     9;     1
 19690216;    2920;   3.548;     9;     1
 19690217;    2610;   3.171;     9;     1
 19690218;    2510;   3.050;     9;     1
 19690219;    2680;   3.256;     9;     1
 19690220;    3220;   3.912;     9;     1
 19690221;    3070;   3.730;     9;     1
 19690222;    2920;   3.548;     9;     1
 19690223;    3270;   3.973;     9;     1
 19690224;    5590;   6.792;     9;     1
 19690225;    5320;   6.464;     9;     1
 19690226;    4830;   5.869;     9;     1
 19690227;    4150;   5.042;     9;     1
 19690228;    3640;   4.423;     9;     1
 19690301;    3230;   3.925;     9;     1
 19690302;    3070;   3.730;     9;     1
 19690303;    2660;   3.232;     9;     1
 19690304;    3550;   4.313;     9;     1
 19690305;    3790;   4.605;     9;     1
 19690306;    3740;   4.544;     9;     1
 19690307;    3530;   4.289;     9;     1
 19690308;    3280;   3.985;     9;     1
 19690309;    2870;   3.487;     9;     1
 19690310;    2610;   3.171;     9;     1
 19690311;    2420;   2.940;     9;     1
 19690312;    2250;   2.734;     9;     1
 19690313;    2100;   2.552;     9;     1
 19690314;    2680;   3.256;     9;     1
 19690315;    2730;   3.317;     9;     1
 19690316;    4790;   5.820;     9;     1
 19690317;    5110;   6.209;     9;     1
 19690318;    4360;   5.297;     9;     1
 19690319;   16900;  20.534;     5;     1
 19690320;   33600;  40.825;     9;     1
 19690321;   14900;  18.104;     9;     1
 19690322;    8650;  10.510;     9;     1
 19690323;    8130;   9.878;     9;     1
 19690324;    7030;   8.542;     9;     1
 19690325;    5480;   6.658;     9;     1
 19690326;    4360;   5.297;     9;     1
 19690327;    3640;   4.423;     9;     1
 19690328;    3070;   3.730;     9;     1
 19690329;    2610;   3.171;     9;     1
 19690330;    2250;   2.734;     9;     1
 19690331;    1980;   2.406;     9;     1
 19690401;    1890;   2.296;     9;     1
 19690402;    1890;   2.296;     9;     1
 19690403;    1810;   2.199;     9;     1
 19690404;    1670;   2.029;     9;     1
 19690405;    1590;   1.932;     9;     1
 19690406;    2370;   2.880;     9;     1
 19690407;    2420;   2.940;     9;     1
 19690408;    2330;   2.831;     9;     1
 19690409;    2200;   2.673;     9;     1
 19690410;    2110;   2.564;     9;     1
 19690411;    1980;   2.406;     9;     1
 19690412;    2030;   2.466;     9;     1
 19690413;    2620;   3.183;     9;     1
 19690414;    2470;   3.001;     9;     1
 19690415;    2640;   3.208;     9;     1
 19690416;    2660;   3.232;     9;     1
 19690417;    2890;   3.511;     9;     1
 19690418;    2820;   3.426;     9;     1
 19690419;    2610;   3.171;     9;     1
 19690420;    2420;   2.940;     9;     1
 19690421;    2290;   2.782;     9;     1
 19690422;    3400;   4.131;     9;     1
 19690423;    4590;   5.577;     9;     1
 19690424;    4810;   5.844;     9;     1
 19690425;    4150;   5.042;     9;     1
