## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5042510
## Nom station                      : L'Aveyron à Palmas [Pont de Manson]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      687735 ;    6366682 ;      687733 ;    6366688 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      640615 ;    1933243 ;      640613 ;    1933249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.84600 ;   44.39907 ;     2.84597 ;   44.39912 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      270.00 ;     299.67 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         580 ;        578 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.4 [%]
## Débits disponibles               :  1968-01-05 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680105;   11600;   3.344;     9;     1
 19680106;   11600;   3.344;     9;     1
 19680107;   19800;   5.709;     9;     1
 19680108;   13900;   4.008;     9;     1
 19680109;   12400;   3.575;     9;     1
 19680110;   13500;   3.892;     9;     1
 19680111;    8590;   2.477;     9;     1
 19680112;    6460;   1.863;     9;     1
 19680113;    4910;   1.416;     9;     1
 19680114;    4330;   1.248;     9;     1
 19680115;    4800;   1.384;     9;     1
 19680116;    5060;   1.459;     9;     1
 19680117;    4400;   1.269;     9;     1
 19680118;    6230;   1.796;     9;     1
 19680119;    6130;   1.767;     9;     1
 19680120;    5730;   1.652;     9;     1
 19680121;    4820;   1.390;     9;     1
 19680122;    4080;   1.176;     9;     1
 19680123;    3540;   1.021;     9;     1
 19680124;    3190;   0.920;     9;     1
 19680125;    2910;   0.839;     9;     1
 19680126;    3030;   0.874;     9;     1
 19680127;    3020;   0.871;     9;     1
 19680128;    2700;   0.778;     9;     1
 19680129;    2460;   0.709;     9;     1
 19680130;    2180;   0.629;     9;     1
 19680131;    1990;   0.574;     9;     1
 19680201;    2080;   0.600;     9;     1
 19680202;    2130;   0.614;     9;     1
 19680203;    2180;   0.629;     9;     1
 19680204;    2320;   0.669;     9;     1
 19680205;    1960;   0.565;     9;     1
 19680206;    3150;   0.908;     9;     1
 19680207;    4990;   1.439;     9;     1
 19680208;    4770;   1.375;     9;     1
 19680209;    4510;   1.300;     9;     1
 19680210;    4340;   1.251;     9;     1
 19680211;    4060;   1.171;     9;     1
 19680212;    4470;   1.289;     9;     1
 19680213;    4330;   1.248;     9;     1
 19680214;    3720;   1.073;     9;     1
 19680215;    3680;   1.061;     9;     1
 19680216;    8030;   2.315;     9;     1
 19680217;    6130;   1.767;     9;     1
 19680218;    4880;   1.407;     9;     1
 19680219;    4170;   1.202;     9;     1
 19680220;    3840;   1.107;     9;     1
 19680221;    3670;   1.058;     9;     1
 19680222;    3570;   1.029;     9;     1
 19680223;    3750;   1.081;     9;     1
 19680224;   16700;   4.815;     9;     1
 19680225;   12100;   3.489;     9;     1
 19680226;    8060;   2.324;     9;     1
 19680227;    6200;   1.788;     9;     1
 19680228;    5140;   1.482;     9;     1
 19680229;    4510;   1.300;     9;     1
 19680301;    4020;   1.159;     9;     1
 19680302;    3540;   1.021;     9;     1
 19680303;    3130;   0.902;     9;     1
 19680304;    2760;   0.796;     9;     1
 19680305;    2510;   0.724;     9;     1
 19680306;    2560;   0.738;     9;     1
 19680307;    2630;   0.758;     9;     1
 19680308;    2320;   0.669;     9;     1
 19680309;    2080;   0.600;     9;     1
 19680310;    1890;   0.545;     9;     1
 19680311;    1760;   0.507;     9;     1
 19680312;    1660;   0.479;     9;     1
 19680313;    1550;   0.447;     9;     1
 19680314;    1480;   0.427;     9;     1
 19680315;    1480;   0.427;     9;     1
 19680316;    1970;   0.568;     9;     1
 19680317;    1580;   0.456;     9;     1
 19680318;    1510;   0.435;     9;     1
 19680319;    1480;   0.427;     9;     1
 19680320;    1520;   0.438;     9;     1
 19680321;    2350;   0.678;     9;     1
 19680322;    2520;   0.727;     9;     1
 19680323;    2760;   0.796;     9;     1
 19680324;    2410;   0.695;     9;     1
 19680325;    2080;   0.600;     9;     1
 19680326;    1890;   0.545;     9;     1
 19680327;    1730;   0.499;     9;     1
