## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5224010
## Nom station                      : L'Alzou à Villefranche-de-Rouergue [barrage Cabal]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      624238 ;    6362430 ;      624260 ;    6362426 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      577091 ;    1928453 ;      577113 ;    1928449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.04943 ;   44.35680 ;     2.04971 ;   44.35676 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      199.00 ;     208.26 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        -999 ;        276 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1942-01-01 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19420101;     880;   0.365;     9;     1
 19420102;     880;   0.365;     9;     1
 19420103;     835;   0.346;     9;     1
 19420104;     835;   0.346;     9;     1
 19420105;     835;   0.346;     9;     1
 19420106;    1930;   0.801;     9;     1
 19420107;    1250;   0.519;     9;     1
 19420108;    1060;   0.440;     9;     1
 19420109;    1060;   0.440;     9;     1
 19420110;    1060;   0.440;     9;     1
 19420111;     970;   0.402;     9;     1
 19420112;     970;   0.402;     9;     1
 19420113;     880;   0.365;     9;     1
 19420114;     880;   0.365;     9;     1
 19420115;     795;   0.330;     9;     1
 19420116;     795;   0.330;     9;     1
 19420117;    1620;   0.672;     9;     1
 19420118;    4260;   1.767;     9;     1
 19420119;    2450;   1.016;     9;     1
 19420120;    6500;   2.697;     9;     1
 19420121;    9000;   3.734;     9;     1
 19420122;    6500;   2.697;     9;     1
 19420123;    2840;   1.178;     9;     1
 19420124;    2450;   1.016;     9;     1
 19420125;   27400;  11.367;     9;     1
 19420126;   15500;   6.430;     9;     1
 19420127;    8800;   3.651;     9;     1
 19420128;    9900;   4.107;     9;     1
 19420129;   14900;   6.182;     9;     1
 19420130;   12700;   5.269;     9;     1
 19420131;   11000;   4.564;     9;     1
 19420201;    9450;   3.920;     9;     1
 19420202;    8150;   3.381;     9;     1
 19420203;   14300;   5.933;     9;     1
 19420204;    9250;   3.838;     9;     1
 19420205;    8600;   3.568;     9;     1
 19420206;    6300;   2.614;     9;     1
 19420207;    4590;   1.904;     9;     1
 19420208;    3760;   1.560;     9;     1
 19420209;    3100;   1.286;     9;     1
 19420210;    2580;   1.070;     9;     1
 19420211;    2320;   0.962;     9;     1
 19420212;    2320;   0.962;     9;     1
 19420213;    2060;   0.855;     9;     1
 19420214;    1800;   0.747;     9;     1
 19420215;    1710;   0.709;     9;     1
 19420216;    1520;   0.631;     9;     1
 19420217;    1340;   0.556;     9;     1
 19420218;    1250;   0.519;     9;     1
 19420219;    1250;   0.519;     9;     1
 19420220;    1160;   0.481;     9;     1
 19420221;    1340;   0.556;     9;     1
 19420222;    1430;   0.593;     9;     1
 19420223;    1520;   0.631;     9;     1
 19420224;    3100;   1.286;     9;     1
 19420225;    6500;   2.697;     9;     1
 19420226;    4090;   1.697;     9;     1
 19420227;    2710;   1.124;     9;     1
 19420228;    2320;   0.962;     9;     1
 19420301;    2840;   1.178;     9;     1
 19420302;    2580;   1.070;     9;     1
 19420303;    2320;   0.962;     9;     1
 19420304;    1930;   0.801;     9;     1
 19420305;    1930;   0.801;     9;     1
 19420306;    1800;   0.747;     9;     1
 19420307;   14100;   5.850;     9;     1
 19420308;    5350;   2.220;     9;     1
 19420309;    7100;   2.946;     9;     1
 19420310;    4590;   1.904;     9;     1
 19420311;    3760;   1.560;     9;     1
 19420312;    3100;   1.286;     9;     1
 19420313;    2840;   1.178;     9;     1
 19420314;    2060;   0.855;     9;     1
 19420315;    2580;   1.070;     9;     1
 19420316;    2580;   1.070;     9;     1
 19420317;    2320;   0.962;     9;     1
 19420318;    2060;   0.855;     9;     1
 19420319;    2060;   0.855;     9;     1
 19420320;    3270;   1.357;     9;     1
 19420321;    2580;   1.070;     9;     1
 19420322;    2190;   0.909;     9;     1
 19420323;    2450;   1.016;     9;     1
 19420324;    2450;   1.016;     9;     1
 19420325;    2320;   0.962;     9;     1
 19420326;    2320;   0.962;     9;     1
 19420327;    2190;   0.909;     9;     1
 19420328;    2060;   0.855;     9;     1
 19420329;    1800;   0.747;     9;     1
 19420330;    1800;   0.747;     9;     1
 19420331;    1710;   0.709;     9;     1
 19420401;    1710;   0.709;     9;     1
 19420402;    1710;   0.709;     9;     1
 19420403;    1620;   0.672;     9;     1
 19420404;    1620;   0.672;     9;     1
 19420405;    1520;   0.631;     9;     1
 19420406;    1520;   0.631;     9;     1
 19420407;    1520;   0.631;     9;     1
 19420408;    1800;   0.747;     9;     1
 19420409;    1430;   0.593;     9;     1
 19420410;    1430;   0.593;     9;     1
 19420411;    1340;   0.556;     9;     1
 19420412;    1160;   0.481;     9;     1
 19420413;    1060;   0.440;     9;     1
 19420414;    1060;   0.440;     9;     1
 19420415;     880;   0.365;     9;     0
 19420416;     880;   0.365;     9;     0
 19420417;     880;   0.365;     9;     0
 19420418;     880;   0.365;     9;     0
 19420419;     880;   0.365;     9;     0
 19420420;    1430;   0.593;     9;     1
 19420421;    3270;   1.357;     9;     1
 19420422;    2060;   0.855;     9;     1
 19420423;    1710;   0.709;     9;     1
 19420424;    1710;   0.709;     9;     1
 19420425;    1620;   0.672;     9;     1
 19420426;    1430;   0.593;     9;     1
 19420427;    1430;   0.593;     9;     1
 19420428;    1340;   0.556;     9;     0
 19420429;    1340;   0.556;     9;     0
 19420430;    1340;   0.556;     9;     0
 19420501;    1340;   0.556;     9;     0
 19420502;    1340;   0.556;     9;     0
