## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5284310
## Nom station                      : La Serène à Saint-André-de-Najac [Canabral]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      623575 ;    6345999 ;      623623 ;    6346047 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      576566 ;    1912000 ;      576613 ;    1912049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.04362 ;   44.20884 ;     2.04421 ;   44.20928 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      103.00 ;     104.13 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         305 ;        317 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1968-10-18 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681018;     174;   0.144;     9;     1
 19681019;     184;   0.153;     9;     1
 19681020;     166;   0.138;     9;     1
 19681021;     164;   0.136;     9;     1
 19681022;     158;   0.131;     9;     1
 19681023;     164;   0.136;     9;     1
 19681024;     191;   0.158;     9;     1
 19681025;     335;   0.278;     9;     1
 19681026;     784;   0.651;     9;     1
 19681027;     550;   0.456;     9;     1
 19681028;     341;   0.283;     9;     1
 19681029;     280;   0.232;     9;     1
 19681030;     270;   0.224;     9;     1
 19681031;     305;   0.253;     9;     1
 19681101;     285;   0.236;     9;     1
 19681102;     671;   0.557;     9;     1
 19681103;     680;   0.564;     9;     1
 19681104;     499;   0.414;     9;     1
 19681105;     406;   0.337;     9;     1
 19681106;     406;   0.337;     9;     1
 19681107;     453;   0.376;     9;     1
 19681108;     498;   0.413;     9;     1
 19681109;     597;   0.495;     9;     1
 19681110;     613;   0.509;     9;     1
 19681111;     688;   0.571;     9;     1
 19681112;     686;   0.569;     9;     1
 19681113;     595;   0.494;     9;     1
 19681114;     530;   0.440;     9;     1
 19681115;     498;   0.413;     9;     1
 19681116;     591;   0.490;     9;     1
 19681117;     596;   0.495;     9;     1
 19681118;     546;   0.453;     9;     1
 19681119;     562;   0.466;     9;     1
 19681120;     630;   0.523;     9;     1
 19681121;     562;   0.466;     9;     1
 19681122;     530;   0.440;     9;     1
 19681123;     498;   0.413;     9;     1
 19681124;     482;   0.400;     9;     1
 19681125;     482;   0.400;     9;     1
 19681126;     478;   0.397;     9;     1
 19681127;     450;   0.373;     9;     1
 19681128;     439;   0.364;     9;     1
 19681129;     428;   0.355;     9;     1
 19681130;     428;   0.355;     9;     1
 19681201;     417;   0.346;     9;     1
 19681202;     458;   0.380;     9;     1
 19681203;     440;   0.365;     9;     1
 19681204;     384;   0.319;     9;     1
 19681205;     438;   0.363;     9;     1
 19681206;     450;   0.373;     9;     1
 19681207;     428;   0.355;     9;     1
 19681208;     417;   0.346;     9;     1
 19681209;     428;   0.355;     9;     1
 19681210;     428;   0.355;     9;     1
 19681211;     453;   0.376;     9;     1
 19681212;     466;   0.387;     9;     1
 19681213;     422;   0.350;     9;     1
 19681214;     493;   0.409;     9;     1
 19681215;     756;   0.627;     9;     1
 19681216;    1150;   0.954;     9;     1
 19681217;    2800;   2.323;     9;     1
 19681218;    4090;   3.394;     9;     1
 19681219;    4520;   3.750;     9;     1
 19681220;    3590;   2.979;     9;     1
 19681221;    2410;   2.000;     9;     1
 19681222;    1970;   1.635;     9;     1
 19681223;    1720;   1.427;     9;     1
 19681224;    2560;   2.124;     9;     1
 19681225;    6610;   5.485;     9;     1
 19681226;   13400;  11.118;     9;     1
 19681227;    4830;   4.008;     9;     1
 19681228;    3380;   2.804;     9;     1
 19681229;    2760;   2.290;     9;     1
 19681230;    2310;   1.917;     9;     1
 19681231;    1970;   1.635;     9;     1
 19690101;    1680;   1.394;     9;     1
 19690102;    1550;   1.286;     9;     1
 19690103;    1510;   1.253;     9;     1
 19690104;    1360;   1.128;     9;     1
 19690105;    1200;   0.996;     9;     1
 19690106;    1170;   0.971;     9;     1
 19690107;    1580;   1.311;     9;     1
 19690108;    2370;   1.966;     9;     1
 19690109;    1550;   1.286;     9;     1
 19690110;    1290;   1.070;     9;     1
 19690111;    1140;   0.946;     9;     1
