## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:43
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5312910
## Nom station                      : Le Viaur à Arques
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      684180 ;    6356633 ;      684151 ;    6356628 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      637142 ;    1923154 ;      637113 ;    1923149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.80169 ;   44.30854 ;     2.80133 ;   44.30850 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      138.00 ;     138.97 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         732 ;        730 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1953-01-01 ; 2004-12-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19530101;    4940;   3.071;     9;     1
 19530102;    4700;   2.922;     9;     1
 19530103;    3990;   2.481;     9;     1
 19530104;    3770;   2.344;     9;     1
 19530105;    3990;   2.481;     9;     1
 19530106;    4100;   2.549;     9;     1
 19530107;    4100;   2.549;     9;     1
 19530108;    4100;   2.549;     9;     1
 19530109;    4100;   2.549;     9;     1
 19530110;    3550;   2.207;     9;     1
 19530111;    3330;   2.070;     9;     1
 19530112;    2590;   1.610;     9;     1
 19530113;    2410;   1.498;     9;     1
 19530114;    2410;   1.498;     9;     1
 19530115;    2500;   1.554;     9;     1
 19530116;    2500;   1.554;     9;     1
 19530117;    2320;   1.442;     9;     1
 19530118;    1780;   1.107;     9;     1
 19530119;    1700;   1.057;     9;     1
 19530120;    1700;   1.057;     9;     1
 19530121;    1960;   1.219;     9;     1
 19530122;    1960;   1.219;     9;     1
 19530123;    2230;   1.386;     9;     1
 19530124;    1870;   1.163;     9;     1
 19530125;    2590;   1.610;     9;     1
 19530126;    2590;   1.610;     9;     1
 19530127;    2140;   1.330;     9;     1
 19530128;    1950;   1.212;     9;     1
 19530129;    2050;   1.275;     9;     1
 19530130;    2140;   1.330;     9;     1
 19530131;    2500;   1.554;     9;     1
 19530201;    2500;   1.554;     9;     1
 19530202;    1870;   1.163;     9;     1
 19530203;    1660;   1.032;     9;     1
 19530204;    1700;   1.057;     9;     1
 19530205;    1700;   1.057;     9;     1
 19530206;    1780;   1.107;     9;     1
 19530207;    1300;   0.808;     9;     1
 19530208;    1460;   0.908;     9;     1
 19530209;    1380;   0.858;     9;     1
 19530210;    3770;   2.344;     9;     1
 19530211;    2320;   1.442;     9;     1
 19530212;    1460;   0.908;     9;     1
 19530213;    1460;   0.908;     9;     1
 19530214;    1220;   0.758;     9;     1
 19530215;    1150;   0.715;     9;     1
 19530216;    1380;   0.858;     9;     1
 19530217;    1780;   1.107;     9;     1
 19530218;    1460;   0.908;     9;     1
 19530219;    1070;   0.665;     9;     1
 19530220;    1620;   1.007;     9;     1
 19530221;    2230;   1.386;     9;     1
 19530222;    2500;   1.554;     9;     1
 19530223;    2590;   1.610;     9;     1
 19530224;    2860;   1.778;     9;     1
 19530225;    2680;   1.666;     9;     1
 19530226;    2590;   1.610;     9;     1
 19530227;    2590;   1.610;     9;     1
 19530228;    2410;   1.498;     9;     1
 19530301;    2320;   1.442;     9;     1
 19530302;    2500;   1.554;     9;     1
 19530303;    2680;   1.666;     9;     1
 19530304;    2500;   1.554;     9;     1
 19530305;    2410;   1.498;     9;     1
 19530306;    2270;   1.411;     9;     1
 19530307;    2180;   1.355;     9;     1
 19530308;    2000;   1.243;     9;     1
 19530309;    1780;   1.107;     9;     1
 19530310;    1780;   1.107;     9;     1
 19530311;    1620;   1.007;     9;     1
 19530312;    1540;   0.957;     9;     1
 19530313;    1460;   0.908;     9;     1
 19530314;    1380;   0.858;     9;     1
 19530315;    1460;   0.908;     9;     1
 19530316;    1380;   0.858;     9;     1
 19530317;    1800;   1.119;     9;     1
 19530318;    1460;   0.908;     9;     1
 19530319;    1300;   0.808;     9;     1
 19530320;    1460;   0.908;     9;     1
 19530321;    1150;   0.715;     9;     1
 19530322;    1070;   0.665;     9;     1
 19530323;     925;   0.575;     9;     1
 19530324;     855;   0.532;     9;     1
