## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:45
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5344010
## Nom station                      : Le Vioulou à Salles-Curan [Trébons-Bas]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      685083 ;    6345711 ;      685059 ;    6345731 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      638138 ;    1912229 ;      638113 ;    1912249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.81333 ;   44.21025 ;     2.81302 ;   44.21043 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       57.00 ;      56.96 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         806 ;        814 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.5 [%]
## Débits disponibles               :  1960-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;    5990;   9.086;     9;     1
 19600102;    5990;   9.086;     9;     1
 19600103;    7560;  11.467;     9;     1
 19600104;    5170;   7.842;     9;     1
 19600105;    4390;   6.659;     9;     1
 19600106;    3820;   5.794;     9;     1
 19600107;    3420;   5.188;     9;     1
 19600108;    3160;   4.793;     9;     1
 19600109;    2910;   4.414;     9;     1
 19600110;    2430;   3.686;     9;     1
 19600111;    2310;   3.504;     9;     1
 19600112;    1970;   2.988;     9;     1
 19600113;    1970;   2.988;     9;     1
 19600114;    1860;   2.821;     9;     1
 19600115;    1760;   2.670;     9;     1
 19600116;    1660;   2.518;     9;     1
 19600117;    1660;   2.518;     9;     1
 19600118;    1660;   2.518;     9;     1
 19600119;    3550;   5.385;     9;     1
 19600120;    4240;   6.431;     9;     1
 19600121;    2790;   4.232;     9;     1
 19600122;    2550;   3.868;     9;     1
 19600123;    2310;   3.504;     9;     1
 19600124;     -99; -99.000;   -99;   -99
 19600125;    4100;   6.219;     9;     1
 19600126;    2670;   4.050;     9;     1
 19600127;    3160;   4.793;     9;     1
 19600128;    8090;  12.271;     9;     1
 19600129;    4390;   6.659;     9;     1
 19600130;    3820;   5.794;     9;     1
 19600131;    3290;   4.990;     9;     1
 19600201;    2910;   4.414;     9;     1
 19600202;    2670;   4.050;     9;     1
 19600203;    2550;   3.868;     9;     1
 19600204;    2550;   3.868;     9;     1
 19600205;    2670;   4.050;     9;     1
 19600206;    2080;   3.155;     9;     1
 19600207;    1860;   2.821;     9;     1
 19600208;    1760;   2.670;     9;     1
 19600209;    1660;   2.518;     9;     1
 19600210;    1560;   2.366;     9;     1
 19600211;    1560;   2.366;     9;     1
 19600212;    1660;   2.518;     9;     1
 19600213;    1470;   2.230;     9;     1
 19600214;    1470;   2.230;     9;     1
 19600215;    1380;   2.093;     9;     1
 19600216;    1290;   1.957;     9;     1
 19600217;    1860;   2.821;     9;     1
 19600218;    1560;   2.366;     9;     1
 19600219;    1380;   2.093;     9;     1
 19600220;    1210;   1.835;     9;     1
 19600221;    1210;   1.835;     9;     1
 19600222;    1380;   2.093;     9;     1
 19600223;    1660;   2.518;     9;     1
 19600224;    1860;   2.821;     9;     1
 19600225;    1470;   2.230;     9;     1
 19600226;    1380;   2.093;     9;     1
 19600227;    1290;   1.957;     9;     1
 19600228;    1290;   1.957;     9;     1
 19600229;    1660;   2.518;     9;     1
 19600301;    1470;   2.230;     9;     1
 19600302;    1760;   2.670;     9;     1
 19600303;    2430;   3.686;     9;     1
 19600304;    1860;   2.821;     9;     1
 19600305;    1760;   2.670;     9;     1
 19600306;    1560;   2.366;     9;     1
 19600307;    2430;   3.686;     9;     1
 19600308;    3290;   4.990;     9;     1
 19600309;    3160;   4.793;     9;     1
 19600310;    5990;   9.086;     9;     1
 19600311;    5010;   7.599;     9;     1
 19600312;    3800;   5.764;     9;     1
 19600313;    3550;   5.385;     9;     1
 19600314;    3820;   5.794;     9;     1
 19600315;    5990;   9.086;     9;     1
 19600316;    9160;  13.894;     9;     1
 19600317;    7390;  11.210;     9;     1
 19600318;    5820;   8.828;     9;     1
 19600319;    4540;   6.887;     9;     1
 19600320;    3820;   5.794;     9;     1
 19600321;    3290;   4.990;     9;     1
 19600322;    2910;   4.414;     9;     1
 19600323;    2550;   3.868;     9;     1
