## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O5464310
## Nom station                      : Le Giffou à Saint-Just-sur-Viaur [La Fabrèguerie]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      654754 ;    6334585 ;      654695 ;    6334598 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      607872 ;    1900836 ;      607813 ;    1900849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.43480 ;   44.10881 ;     2.43406 ;   44.10893 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      175.00 ;     176.14 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         360 ;        365 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.1 [%]
## Débits disponibles               :  1968-10-17 ; 2021-02-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681017;     442;   0.217;     9;     1
 19681018;     442;   0.217;     9;     1
 19681019;     442;   0.217;     9;     1
 19681020;     421;   0.207;     9;     1
 19681021;     385;   0.189;     9;     1
 19681022;     370;   0.181;     9;     1
 19681023;     385;   0.189;     9;     1
 19681024;     395;   0.194;     9;     1
 19681025;     893;   0.438;     9;     1
 19681026;    1340;   0.657;     9;     1
 19681027;    1030;   0.505;     9;     1
 19681028;     721;   0.354;     9;     1
 19681029;     632;   0.310;     9;     1
 19681030;     589;   0.289;     9;     1
 19681031;     568;   0.279;     9;     1
 19681101;     568;   0.279;     9;     1
 19681102;     653;   0.320;     9;     1
 19681103;     830;   0.407;     9;     1
 19681104;     744;   0.365;     9;     1
 19681105;     663;   0.325;     9;     1
 19681106;     610;   0.299;     9;     1
 19681107;     654;   0.321;     9;     1
 19681108;     517;   0.254;     9;     1
 19681109;    1840;   0.903;     9;     1
 19681110;    1520;   0.746;     9;     1
 19681111;    1390;   0.682;     9;     1
 19681112;    1310;   0.643;     9;     1
 19681113;    1030;   0.505;     9;     1
 19681114;     861;   0.422;     9;     1
 19681115;     800;   0.392;     9;     1
 19681116;     871;   0.427;     9;     1
 19681117;    1040;   0.510;     9;     1
 19681118;     893;   0.438;     9;     1
 19681119;     830;   0.407;     9;     1
 19681120;     830;   0.407;     9;     1
 19681121;     770;   0.378;     9;     1
 19681122;     718;   0.352;     9;     1
 19681123;     675;   0.331;     9;     1
 19681124;     653;   0.320;     9;     1
 19681125;     669;   0.328;     9;     1
 19681126;     632;   0.310;     9;     1
 19681127;     610;   0.299;     9;     1
 19681128;     610;   0.299;     9;     1
 19681129;     610;   0.299;     9;     1
 19681130;     610;   0.299;     9;     1
 19681201;     589;   0.289;     9;     1
 19681202;     568;   0.279;     9;     1
 19681203;     568;   0.279;     9;     1
 19681204;     568;   0.279;     9;     1
 19681205;     546;   0.268;     9;     1
 19681206;     525;   0.258;     9;     1
 19681207;     525;   0.258;     9;     1
 19681208;     589;   0.289;     9;     1
 19681209;     632;   0.310;     9;     1
 19681210;     589;   0.289;     9;     1
 19681211;     568;   0.279;     9;     1
 19681212;     568;   0.279;     9;     1
 19681213;     546;   0.268;     9;     1
 19681214;     544;   0.267;     9;     1
 19681215;    1040;   0.510;     9;     1
 19681216;    1610;   0.790;     9;     1
 19681217;    3200;   1.570;     9;     1
 19681218;    4630;   2.271;     9;     1
 19681219;    4710;   2.310;     9;     1
 19681220;     -99; -99.000;   -99;   -99
 19681221;     -99; -99.000;   -99;   -99
 19681222;     -99; -99.000;   -99;   -99
 19681223;     -99; -99.000;   -99;   -99
 19681224;     -99; -99.000;   -99;   -99
 19681225;     -99; -99.000;   -99;   -99
 19681226;     -99; -99.000;   -99;   -99
 19681227;     -99; -99.000;   -99;   -99
 19681228;     -99; -99.000;   -99;   -99
 19681229;     -99; -99.000;   -99;   -99
 19681230;     -99; -99.000;   -99;   -99
 19681231;     -99; -99.000;   -99;   -99
 19690101;     -99; -99.000;   -99;   -99
 19690102;     -99; -99.000;   -99;   -99
 19690103;     -99; -99.000;   -99;   -99
 19690104;     -99; -99.000;   -99;   -99
 19690105;     -99; -99.000;   -99;   -99
 19690106;     -99; -99.000;   -99;   -99
 19690107;    2920;   1.432;     9;     1
 19690108;    3510;   1.722;     9;     1
 19690109;    2930;   1.437;     9;     1
