## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) CACG
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O6804630
## Nom station                      : L'Osse à Castex [Mielan]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      483170 ;    6259255 ;      483145 ;    6259208 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      436738 ;    1823996 ;      436713 ;    1823949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.32428 ;   43.39935 ;     0.32398 ;   43.39892 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       10.20 ;       9.42 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         238 ;        245 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     8.5 [%]
## Débits disponibles               :  1965-10-01 ; 2015-09-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      05/10 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19651001;       2;   0.018;     9;     0
 19651002;       2;   0.018;     9;     0
 19651003;       2;   0.018;     9;     0
 19651004;       2;   0.018;     9;     0
 19651005;       2;   0.018;     9;     0
 19651006;       2;   0.018;     9;     0
 19651007;       2;   0.018;     9;     0
 19651008;       2;   0.018;     9;     0
 19651009;       2;   0.018;     9;     0
 19651010;       2;   0.018;     9;     0
 19651011;       2;   0.018;     9;     0
 19651012;       2;   0.018;     9;     0
 19651013;       2;   0.018;     9;     0
 19651014;       2;   0.018;     9;     0
 19651015;       1;   0.009;     9;     1
 19651016;       2;   0.018;     9;     1
 19651017;       2;   0.018;     9;     1
 19651018;       2;   0.018;     9;     1
 19651019;       3;   0.028;     9;     1
 19651020;       4;   0.037;     9;     1
 19651021;       5;   0.046;     9;     1
 19651022;       4;   0.037;     9;     1
 19651023;       2;   0.018;     9;     1
 19651024;       2;   0.018;     9;     1
 19651025;       1;   0.009;     9;     0
 19651026;       1;   0.009;     9;     0
 19651027;       1;   0.009;     9;     0
 19651028;       1;   0.009;     9;     0
 19651029;       1;   0.009;     9;     0
 19651030;       1;   0.009;     9;     0
 19651031;       2;   0.018;     9;     1
 19651101;       1;   0.009;     9;     0
 19651102;       1;   0.009;     9;     0
 19651103;       1;   0.009;     9;     0
 19651104;       1;   0.009;     9;     0
 19651105;       1;   0.009;     9;     0
 19651106;       2;   0.018;     9;     1
 19651107;       2;   0.018;     9;     1
 19651108;       2;   0.018;     9;     1
 19651109;       2;   0.018;     9;     1
 19651110;       5;   0.046;     9;     1
 19651111;       0;   0.000;     9;     1
 19651112;       8;   0.073;     9;     1
 19651113;       7;   0.064;     9;     1
 19651114;       6;   0.055;     9;     1
 19651115;       9;   0.083;     9;     1
 19651116;      44;   0.404;     9;     1
 19651117;      33;   0.303;     9;     1
 19651118;       9;   0.083;     9;     1
 19651119;       8;   0.073;     9;     1
 19651120;       8;   0.073;     9;     1
 19651121;      66;   0.605;     9;     1
 19651122;      22;   0.202;     9;     1
 19651123;      77;   0.706;     9;     1
 19651124;      44;   0.404;     9;     1
 19651125;      44;   0.404;     9;     1
 19651126;       0;   0.000;     9;     1
 19651127;      11;   0.101;     9;     1
 19651128;     106;   0.972;     9;     1
 19651129;      99;   0.908;     9;     1
 19651130;     423;   3.880;     9;     1
 19651201;     690;   6.329;     9;     1
 19651202;    1960;  17.977;     9;     1
 19651203;    1170;  10.731;     9;     1
 19651204;    1290;  11.832;     9;     1
 19651205;    1000;   9.172;     9;     1
 19651206;     399;   3.660;     9;     1
 19651207;    1030;   9.447;     9;     1
 19651208;     990;   9.080;     9;     1
 19651209;     359;   3.293;     9;     1
 19651210;    1360;  12.474;     9;     1
 19651211;    1660;  15.225;     9;     1
 19651212;    2870;  26.324;     9;     1
 19651213;     620;   5.687;     9;     1
 19651214;     350;   3.210;     9;     1
 19651215;     237;   2.174;     9;     1
 19651216;     820;   7.521;     9;     1
 19651217;     560;   5.136;     9;     1
 19651218;     290;   2.660;     9;     1
 19651219;     198;   1.816;     9;     1
 19651220;     175;   1.605;     9;     1
 19651221;     426;   3.907;     9;     1
 19651222;     231;   2.119;     9;     1
 19651223;     196;   1.798;     9;     1
 19651224;     423;   3.880;     9;     1
 19651225;     890;   8.163;     9;     1
