## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:36
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7041510
## Nom station                      : Le Lot à Balsièges [Bramonas]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      733854 ;    6376140 ;      733665 ;    6375891 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      686700 ;    1943100 ;      686513 ;    1942849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :      3.4257 ;    44.4835 ;     3.42331 ;   44.48126 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      465.00 ;     468.43 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         663 ;        667 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-01-01 ; 2016-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;   20000;   3.689;     9;     1
 19660102;   20500;   3.781;     9;     1
 19660103;   24000;   4.427;     9;     1
 19660104;   23000;   4.242;     9;     1
 19660105;   20700;   3.818;     9;     1
 19660106;   18600;   3.431;     9;     1
 19660107;   16500;   3.043;     9;     1
 19660108;   15000;   2.767;     9;     1
 19660109;   14000;   2.582;     9;     1
 19660110;   13200;   2.435;     9;     1
 19660111;   12900;   2.379;     9;     1
 19660112;   12200;   2.250;     9;     1
 19660113;   10300;   1.900;     9;     1
 19660114;    9300;   1.715;     9;     1
 19660115;    8900;   1.642;     9;     1
 19660116;    8500;   1.568;     9;     1
 19660117;    8200;   1.512;     9;     1
 19660118;    8500;   1.568;     9;     1
 19660119;    8200;   1.512;     9;     1
 19660120;    7900;   1.457;     9;     1
 19660121;    9500;   1.752;     9;     1
 19660122;   14200;   2.619;     9;     1
 19660123;   28400;   5.238;     9;     1
 19660124;   28500;   5.257;     9;     1
 19660125;   24500;   4.519;     9;     1
 19660126;   35700;   6.585;     9;     1
 19660127;   32900;   6.068;     9;     1
 19660128;   29200;   5.386;     9;     1
 19660129;   25000;   4.611;     9;     1
 19660130;   24500;   4.519;     9;     1
 19660131;   25000;   4.611;     9;     1
 19660201;   23700;   4.371;     9;     1
 19660202;   21800;   4.021;     9;     1
 19660203;   21000;   3.873;     9;     1
 19660204;   19500;   3.597;     9;     1
 19660205;   17700;   3.265;     9;     1
 19660206;   16500;   3.043;     9;     1
 19660207;   16300;   3.006;     9;     1
 19660208;   16100;   2.970;     9;     1
 19660209;   16800;   3.099;     9;     1
 19660210;   15400;   2.840;     9;     1
 19660211;   17200;   3.172;     9;     1
 19660212;   15400;   2.840;     9;     1
 19660213;   17500;   3.228;     9;     1
 19660214;   17500;   3.228;     9;     1
 19660215;   16300;   3.006;     9;     1
 19660216;   18000;   3.320;     9;     1
 19660217;   30500;   5.626;     9;     1
 19660218;   28600;   5.275;     9;     1
 19660219;   29400;   5.423;     9;     1
 19660220;   34500;   6.363;     9;     1
 19660221;   38700;   7.138;     9;     1
 19660222;   34900;   6.437;     9;     1
 19660223;   31300;   5.773;     9;     1
 19660224;   26200;   4.832;     9;     1
 19660225;   23100;   4.261;     9;     1
 19660226;   21500;   3.966;     9;     1
 19660227;   19300;   3.560;     9;     1
 19660228;   20000;   3.689;     9;     1
 19660301;   19200;   3.541;     9;     1
 19660302;   16800;   3.099;     9;     1
 19660303;   15900;   2.933;     9;     1
 19660304;   15400;   2.840;     9;     1
 19660305;   14500;   2.674;     9;     1
 19660306;   13400;   2.472;     9;     1
 19660307;   12700;   2.342;     9;     1
 19660308;   12200;   2.250;     9;     1
 19660309;   11300;   2.084;     9;     1
 19660310;   10700;   1.974;     9;     1
 19660311;   10000;   1.844;     9;     1
 19660312;    9500;   1.752;     9;     1
 19660313;    9100;   1.678;     9;     1
 19660314;    8500;   1.568;     9;     1
 19660315;    8100;   1.494;     9;     1
 19660316;    7700;   1.420;     9;     1
 19660317;    7500;   1.383;     9;     1
 19660318;    7200;   1.328;     9;     1
 19660319;    6900;   1.273;     9;     1
 19660320;    6700;   1.236;     9;     1
 19660321;    6400;   1.180;     9;     1
 19660322;    6100;   1.125;     9;     1
 19660323;    5800;   1.070;     9;     1
 19660324;    5700;   1.051;     9;     1
 19660325;    5700;   1.051;     9;     1
 19660326;    5400;   0.996;     9;     1
 19660327;    5700;   1.051;     9;     1
 19660328;    7000;   1.291;     9;     1
 19660329;    6100;   1.125;     9;     1
 19660330;    5400;   0.996;     9;     1
 19660331;    5300;   0.978;     9;     1
 19660401;    5100;   0.941;     9;     1
 19660402;    4800;   0.885;     9;     1
 19660403;    4800;   0.885;     9;     1
 19660404;    4700;   0.867;     9;     1
 19660405;    4600;   0.848;     9;     1
 19660406;    5700;   1.051;     9;     1
 19660407;    5100;   0.941;     9;     1
 19660408;    6100;   1.125;     9;     1
 19660409;    7300;   1.346;     9;     1
 19660410;   11100;   2.047;     9;     1
 19660411;    9800;   1.808;     9;     1
 19660412;    9100;   1.678;     9;     1
 19660413;    9000;   1.660;     9;     1
 19660414;    9000;   1.660;     9;     1
 19660415;    9100;   1.678;     9;     1
 19660416;    9500;   1.752;     9;     1
 19660417;    8900;   1.642;     9;     1
 19660418;    8900;   1.642;     9;     1
 19660419;    8400;   1.549;     9;     1
 19660420;   12100;   2.232;     9;     1
 19660421;   14300;   2.638;     9;     1
 19660422;   12900;   2.379;     9;     1
 19660423;   12200;   2.250;     9;     1
 19660424;   11700;   2.158;     9;     1
 19660425;   11800;   2.176;     9;     1
 19660426;   11000;   2.029;     9;     1
 19660427;   10200;   1.881;     9;     1
 19660428;    9700;   1.789;     9;     1
 19660429;    9100;   1.678;     9;     1
 19660430;    8500;   1.568;     9;     1
 19660501;    8200;   1.512;     9;     1
 19660502;    9000;   1.660;     9;     1
 19660503;    8200;   1.512;     9;     1
 19660504;    7600;   1.402;     9;     1
 19660505;    7600;   1.402;     9;     1
 19660506;   10500;   1.937;     9;     1
 19660507;    9700;   1.789;     9;     1
 19660508;    9100;   1.678;     9;     1
 19660509;    8900;   1.642;     9;     1
 19660510;    9100;   1.678;     9;     1
 19660511;    8900;   1.642;     9;     1
 19660512;    8100;   1.494;     9;     1
 19660513;   17700;   3.265;     9;     1
 19660514;   18400;   3.394;     9;     1
 19660515;   16100;   2.970;     9;     1
 19660516;   14500;   2.674;     9;     1
 19660517;   14000;   2.582;     9;     1
 19660518;   14000;   2.582;     9;     1
 19660519;   12900;   2.379;     9;     1
 19660520;   11800;   2.176;     9;     1
 19660521;   11000;   2.029;     9;     1
 19660522;   10200;   1.881;     9;     1
 19660523;    9500;   1.752;     9;     1
 19660524;    8900;   1.642;     9;     1
 19660525;    8200;   1.512;     9;     1
 19660526;    7500;   1.383;     9;     1
 19660527;    7000;   1.291;     9;     1
 19660528;    6600;   1.217;     9;     1
 19660529;    6100;   1.125;     9;     1
 19660530;    5800;   1.070;     9;     1
 19660531;    5500;   1.014;     9;     1
 19660601;    5200;   0.959;     9;     1
 19660602;    4800;   0.885;     9;     1
