## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7404010
## Nom station                      : Le Bes à Marchastel [Gour du Gou - 2]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      708723 ;    6393226 ;      708736 ;    6393185 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      661400 ;    1959990 ;      661413 ;    1959949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.10999 ;   44.63808 ;     3.11015 ;   44.63771 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       30.50 ;      35.29 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        1205 ;       1213 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :      20 [%]
## Débits disponibles               :  1959-01-01 ; 2008-12-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19590101;     935;   2.289;     9;     1
 19590102;     735;   1.799;     9;     1
 19590103;     510;   1.249;     9;     1
 19590104;     328;   0.803;     9;     1
 19590105;    1000;   2.448;     9;     1
 19590106;    1420;   3.477;     9;     1
 19590107;    2220;   5.435;     9;     1
 19590108;    2740;   6.708;     9;     1
 19590109;    2110;   5.166;     9;     1
 19590110;    1420;   3.477;     9;     1
 19590111;    1420;   3.477;     9;     1
 19590112;    1340;   3.281;     9;     1
 19590113;    1250;   3.060;     9;     1
 19590114;    2110;   5.166;     9;     1
 19590115;    6650;  16.281;     9;     1
 19590116;    2220;   5.435;     9;     1
 19590117;    1340;   3.281;     9;     1
 19590118;    1340;   3.281;     9;     1
 19590119;    1250;   3.060;     9;     1
 19590120;    3190;   7.810;     9;     1
 19590121;    6950;  17.016;     9;     1
 19590122;    4310;  10.552;     9;     1
 19590123;    3930;   9.622;     9;     1
 19590124;    2640;   6.463;     9;     1
 19590125;    1710;   4.187;     9;     1
 19590126;    1520;   3.721;     9;     1
 19590127;    1170;   2.864;     9;     1
 19590128;    1080;   2.644;     9;     1
 19590129;     870;   2.130;     9;     1
 19590130;     870;   2.130;     9;     1
 19590131;     800;   1.959;     9;     1
 19590201;     615;   1.506;     9;     1
 19590202;     560;   1.371;     9;     1
 19590203;     800;   1.959;     9;     1
 19590204;    1520;   3.721;     9;     1
 19590205;    1610;   3.942;     9;     1
 19590206;    1250;   3.060;     9;     1
 19590207;     870;   2.130;     9;     1
 19590208;     800;   1.959;     9;     1
 19590209;     735;   1.799;     9;     1
 19590210;     670;   1.640;     9;     1
 19590211;     670;   1.640;     9;     1
 19590212;     615;   1.506;     9;     1
 19590213;     510;   1.249;     9;     1
 19590214;     454;   1.112;     9;     1
 19590215;     454;   1.112;     9;     1
 19590216;     400;   0.979;     9;     1
 19590217;     364;   0.891;     9;     1
 19590218;     364;   0.891;     9;     1
 19590219;     400;   0.979;     9;     1
 19590220;     400;   0.979;     9;     1
 19590221;     364;   0.891;     9;     1
 19590222;     400;   0.979;     5;     1
 19590223;     454;   1.112;     9;     0
 19590224;     454;   1.112;     9;     0
 19590225;     454;   1.112;     9;     0
 19590226;     454;   1.112;     9;     0
 19590227;     454;   1.112;     9;     0
 19590228;     400;   0.979;     9;     1
 19590301;     400;   0.979;     9;     1
 19590302;     510;   1.249;     9;     1
 19590303;    1170;   2.864;     9;     1
 19590304;    8200;  20.076;     9;     1
 19590305;    1710;   4.187;     9;     1
 19590306;    1610;   3.942;     9;     1
 19590307;    8050;  19.709;     9;     1
 19590308;    1900;   4.652;     9;     1
 19590309;    1340;   3.281;     9;     1
 19590310;    1170;   2.864;     9;     1
 19590311;    1170;   2.864;     9;     1
 19590312;    1080;   2.644;     9;     1
 19590313;     870;   2.130;     9;     1
 19590314;     735;   1.799;     9;     1
 19590315;     670;   1.640;     9;     1
 19590316;     615;   1.506;     9;     1
 19590317;     560;   1.371;     9;     1
 19590318;    1080;   2.644;     9;     1
 19590319;    2740;   6.708;     9;     1
 19590320;    1340;   3.281;     9;     1
 19590321;     870;   2.130;     9;     1
 19590322;    3070;   7.516;     9;     1
 19590323;    1340;   3.281;     9;     1
 19590324;    1170;   2.864;     9;     1
 19590325;    3800;   9.303;     9;     1
 19590326;    2010;   4.921;     9;     1
