## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O8113510
## Nom station                      : Le Célé à Figeac [Merlançon]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      619409 ;    6388224 ;      619481 ;    6388241 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      572041 ;    1954232 ;      572113 ;    1954249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.98469 ;   44.58844 ;     1.98559 ;   44.58860 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      676.00 ;     677.47 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         182 ;        182 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1950-01-01 ; 2004-12-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19500101;    7050;   0.899;     9;     1
 19500102;    6600;   0.842;     9;     1
 19500103;    6150;   0.784;     9;     1
 19500104;    7550;   0.963;     9;     1
 19500105;    7050;   0.899;     9;     1
 19500106;    6150;   0.784;     9;     1
 19500107;    5800;   0.740;     9;     1
 19500108;    5450;   0.695;     9;     1
 19500109;    5450;   0.695;     9;     1
 19500110;    5450;   0.695;     9;     1
 19500111;    5800;   0.740;     9;     1
 19500112;    5100;   0.650;     9;     1
 19500113;    5100;   0.650;     9;     1
 19500114;    5100;   0.650;     9;     1
 19500115;    5100;   0.650;     9;     1
 19500116;    4750;   0.606;     9;     1
 19500117;    5100;   0.650;     9;     1
 19500118;    5800;   0.740;     9;     1
 19500119;    5450;   0.695;     9;     1
 19500120;    4400;   0.561;     9;     1
 19500121;    4130;   0.527;     9;     1
 19500122;    3860;   0.492;     9;     1
 19500123;    4130;   0.527;     9;     1
 19500124;    4130;   0.527;     9;     1
 19500125;    3860;   0.492;     9;     0
 19500126;    3860;   0.492;     9;     0
 19500127;    3860;   0.492;     9;     0
 19500128;    3860;   0.492;     9;     0
 19500129;    3860;   0.492;     9;     0
 19500130;    3860;   0.492;     9;     0
 19500131;    3860;   0.492;     9;     0
 19500201;    4400;   0.561;     9;     1
 19500202;    6600;   0.842;     9;     1
 19500203;    5800;   0.740;     9;     1
 19500204;    5450;   0.695;     9;     1
 19500205;    8000;   1.020;     9;     1
 19500206;   11200;   1.428;     9;     1
 19500207;   37600;   4.795;     9;     1
 19500208;   37600;   4.795;     9;     1
 19500209;   59500;   7.588;     9;     1
 19500210;   81000;  10.330;     9;     1
 19500211;   59500;   7.588;     9;     1
 19500212;   56000;   7.142;     9;     1
 19500213;   43000;   5.484;     9;     1
 19500214;   37000;   4.719;     9;     1
 19500215;   29500;   3.762;     9;     1
 19500216;   24600;   3.137;     9;     1
 19500217;   21300;   2.716;     9;     1
 19500218;   19200;   2.449;     9;     1
 19500219;   17000;   2.168;     9;     1
 19500220;   15900;   2.028;     9;     1
 19500221;   18600;   2.372;     9;     1
 19500222;   17500;   2.232;     9;     1
 19500223;   14400;   1.836;     9;     1
 19500224;   15400;   1.964;     9;     1
 19500225;   17000;   2.168;     9;     1
 19500226;   24600;   3.137;     9;     1
 19500227;   25700;   3.278;     9;     1
 19500228;   21300;   2.716;     9;     1
 19500301;   18100;   2.308;     9;     1
 19500302;   15900;   2.028;     9;     1
 19500303;   14400;   1.836;     9;     1
 19500304;   13400;   1.709;     9;     1
 19500305;   12000;   1.530;     9;     1
 19500306;   11000;   1.403;     9;     1
 19500307;    9450;   1.205;     9;     1
 19500308;    9450;   1.205;     9;     1
 19500309;    8950;   1.141;     9;     1
 19500310;   10000;   1.275;     9;     1
 19500311;    7550;   0.963;     9;     1
 19500312;    7550;   0.963;     9;     1
 19500313;    7050;   0.899;     9;     1
 19500314;    6600;   0.842;     9;     1
 19500315;    8450;   1.078;     9;     1
 19500316;   10500;   1.339;     9;     1
 19500317;   10000;   1.275;     9;     1
 19500318;   15400;   1.964;     9;     1
 19500319;   17000;   2.168;     9;     1
 19500320;   16400;   2.092;     9;     1
 19500321;   24600;   3.137;     9;     1
 19500322;   22900;   2.921;     9;     1
 19500323;   19200;   2.449;     9;     1
 19500324;   15400;   1.964;     9;     1
