## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:35
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P0115010
## Nom station                      : La Burande à la Tour-d'Auvergne
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      676301 ;    6492174 ;      676301 ;    6492166 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      628113 ;    2058757 ;      628113 ;    2058749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.69638 ;   45.52864 ;     2.69638 ;   45.52857 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       19.80 ;      20.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         905 ;        905 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.1 [%]
## Débits disponibles               :  1944-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19440101;     920;   3.833;     9;     1
 19440102;     920;   3.833;     9;     1
 19440103;     820;   3.416;     9;     1
 19440104;     820;   3.416;     9;     1
 19440105;     920;   3.833;     9;     1
 19440106;     920;   3.833;     9;     1
 19440107;     820;   3.416;     9;     1
 19440108;     745;   3.104;     9;     1
 19440109;     670;   2.791;     9;     1
 19440110;     920;   3.833;     9;     1
 19440111;    1320;   5.499;     9;     1
 19440112;    1220;   5.082;     9;     1
 19440113;    1120;   4.666;     9;     1
 19440114;    1020;   4.249;     9;     1
 19440115;    1020;   4.249;     9;     1
 19440116;     920;   3.833;     9;     1
 19440117;     920;   3.833;     9;     1
 19440118;     820;   3.416;     9;     1
 19440119;     745;   3.104;     9;     1
 19440120;     745;   3.104;     9;     1
 19440121;     745;   3.104;     9;     1
 19440122;     920;   3.833;     9;     1
 19440123;     820;   3.416;     9;     1
 19440124;    1220;   5.082;     9;     1
 19440125;    2730;  11.373;     9;     1
 19440126;    1760;   7.332;     9;     1
 19440127;    1910;   7.957;     9;     1
 19440128;    1910;   7.957;     9;     1
 19440129;    1470;   6.124;     9;     1
 19440130;    1320;   5.499;     9;     1
 19440131;    1220;   5.082;     9;     1
 19440201;    1220;   5.082;     9;     1
 19440202;    2560;  10.665;     9;     1
 19440203;    2400;   9.998;     9;     1
 19440204;    2400;   9.998;     9;     1
 19440205;    1620;   6.749;     9;     1
 19440206;    1470;   6.124;     9;     1
 19440207;    1470;   6.124;     9;     1
 19440208;    1320;   5.499;     9;     1
 19440209;    1220;   5.082;     9;     1
 19440210;    2560;  10.665;     9;     1
 19440211;    2230;   9.290;     9;     1
 19440212;    1470;   6.124;     9;     1
 19440213;    1320;   5.499;     9;     0
 19440214;    1220;   5.082;     9;     0
 19440215;    1120;   4.666;     9;     0
 19440216;    1020;   4.249;     9;     0
 19440217;     920;   3.833;     9;     0
 19440218;     920;   3.833;     9;     1
 19440219;     920;   3.833;     9;     1
 19440220;     820;   3.416;     9;     1
 19440221;     820;   3.416;     9;     1
 19440222;     820;   3.416;     9;     1
 19440223;     820;   3.416;     9;     1
 19440224;     745;   3.104;     9;     1
 19440225;     745;   3.104;     9;     1
 19440226;     745;   3.104;     9;     1
 19440227;     745;   3.104;     9;     1
 19440228;     920;   3.833;     9;     1
 19440229;     820;   3.416;     9;     1
 19440301;     745;   3.104;     9;     1
 19440302;     670;   2.791;     9;     1
 19440303;     745;   3.104;     9;     1
 19440304;    1120;   4.666;     9;     1
 19440305;    1020;   4.249;     9;     1
 19440306;     920;   3.833;     9;     1
 19440307;     820;   3.416;     9;     1
 19440308;     820;   3.416;     9;     1
 19440309;     745;   3.104;     9;     1
 19440310;     745;   3.104;     9;     1
 19440311;     670;   2.791;     9;     1
 19440312;     670;   2.791;     9;     1
 19440313;    1020;   4.249;     9;     1
 19440314;    1220;   5.082;     9;     1
 19440315;    1020;   4.249;     9;     1
 19440316;    1020;   4.249;     9;     1
 19440317;    1020;   4.249;     9;     1
 19440318;    1020;   4.249;     9;     1
 19440319;     920;   3.833;     9;     1
 19440320;    1020;   4.249;     9;     1
 19440321;    1220;   5.082;     9;     1
 19440322;    1220;   5.082;     9;     1
 19440323;    1220;   5.082;     9;     1
 19440324;    1320;   5.499;     9;     1
 19440325;    1620;   6.749;     9;     1
