## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:36
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P0115020
## Nom station                      : La Burande [ou ru de Burons] à Singles
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      664313 ;    6493916 ;      664225 ;    6493766 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      616100 ;    2060400 ;      616013 ;    2060249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.54268 ;   45.54381 ;     2.54156 ;   45.54245 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :          85 ;         85 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         557 ;        569 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.7 [%]
## Débits disponibles               :  1960-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   12300;  12.503;     9;     1
 19600102;   12600;  12.808;     9;     1
 19600103;   15600;  15.857;     9;     1
 19600104;   12900;  13.112;     9;     1
 19600105;   10300;  10.470;     9;     1
 19600106;    8250;   8.386;     9;     1
 19600107;    7050;   7.166;     9;     1
 19600108;    6300;   6.404;     9;     1
 19600109;    5800;   5.896;     9;     1
 19600110;    4900;   4.981;     5;     1
 19600111;    4240;   4.310;     5;     1
 19600112;    4460;   4.533;     5;     1
 19600113;    4680;   4.757;     5;     1
 19600114;    4680;   4.757;     5;     1
 19600115;    4900;   4.981;     5;     1
 19600116;    5150;   5.235;     5;     1
 19600117;    5350;   5.438;     5;     1
 19600118;    5600;   5.692;     9;     1
 19600119;    5800;   5.896;     9;     1
 19600120;    6300;   6.404;     9;     1
 19600121;    8250;   8.386;     9;     1
 19600122;    6300;   6.404;     9;     1
 19600123;    6550;   6.658;     9;     1
 19600124;    8250;   8.386;     9;     1
 19600125;   15900;  16.162;     9;     1
 19600126;    9900;  10.063;     9;     1
 19600127;    8450;   8.589;     9;     1
 19600128;   10600;  10.775;     9;     1
 19600129;    7550;   7.674;     9;     1
 19600130;    6300;   6.404;     9;     1
 19600131;    5600;   5.692;     9;     1
 19600201;    5150;   5.235;     9;     1
 19600202;    4240;   4.310;     9;     1
 19600203;    3800;   3.863;     9;     1
 19600204;    4240;   4.310;     9;     1
 19600205;    4240;   4.310;     9;     1
 19600206;    3610;   3.669;     9;     1
 19600207;    3220;   3.273;     9;     1
 19600208;    3020;   3.070;     9;     1
 19600209;    3020;   3.070;     9;     1
 19600210;    2830;   2.877;     9;     1
 19600211;    2540;   2.582;     9;     1
 19600212;    2830;   2.877;     9;     1
 19600213;    2680;   2.724;     9;     1
 19600214;    2540;   2.582;     9;     1
 19600215;    2390;   2.429;     9;     1
 19600216;    2390;   2.429;     9;     1
 19600217;    8000;   8.132;     9;     1
 19600218;   20300;  20.634;     9;     1
 19600219;   14900;  15.145;     9;     1
 19600220;    9500;   9.656;     9;     1
 19600221;    7750;   7.878;     9;     1
 19600222;    8450;   8.589;     9;     1
 19600223;    7550;   7.674;     9;     1
 19600224;    6550;   6.658;     9;     1
 19600225;    7050;   7.166;     9;     1
 19600226;    7750;   7.878;     9;     1
 19600227;    6550;   6.658;     9;     1
 19600228;    6050;   6.150;     9;     1
 19600229;    5800;   5.896;     9;     1
 19600301;    7300;   7.420;     9;     1
 19600302;    7550;   7.674;     9;     1
 19600303;   12000;  12.198;     9;     1
 19600304;   16300;  16.568;     9;     1
 19600305;   10600;  10.775;     9;     1
 19600306;    7750;   7.878;     9;     1
 19600307;    7050;   7.166;     9;     1
 19600308;    6300;   6.404;     9;     1
 19600309;    7300;   7.420;     9;     1
 19600310;    7550;   7.674;     9;     1
 19600311;    7050;   7.166;     9;     1
 19600312;    5800;   5.896;     9;     1
 19600313;    5150;   5.235;     9;     1
 19600314;    6300;   6.404;     9;     1
 19600315;    6300;   6.404;     9;     1
 19600316;    8450;   8.589;     9;     1
 19600317;    7550;   7.674;     9;     1
 19600318;    6300;   6.404;     9;     1
 19600319;    5350;   5.438;     9;     1
 19600320;    4680;   4.757;     9;     1
 19600321;    4460;   4.533;     9;     1
 19600322;    3800;   3.863;     9;     1
