## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:44
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P0364010
## Nom station                      : La Santoire à Condat [Roche-Pointue]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      680573 ;    6470577 ;      680515 ;    6470550 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      632571 ;    2037176 ;      632513 ;    2037149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.75198 ;   45.33430 ;     2.75124 ;   45.33406 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      172.00 ;     169.31 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         693 ;        709 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    33.3 [%]
## Débits disponibles               :  1916-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19160101;    8250;   4.210;     9;     1
 19160102;   14400;   7.348;     9;     1
 19160103;   11600;   5.920;     9;     1
 19160104;    9000;   4.593;     9;     1
 19160105;    9500;   4.848;     9;     1
 19160106;    9000;   4.593;     9;     1
 19160107;    7000;   3.572;     9;     1
 19160108;    7000;   3.572;     9;     1
 19160109;    6750;   3.445;     9;     1
 19160110;    6750;   3.445;     9;     1
 19160111;    6550;   3.343;     9;     1
 19160112;    6550;   3.343;     9;     1
 19160113;    7750;   3.955;     9;     1
 19160114;    6550;   3.343;     9;     1
 19160115;    5850;   2.985;     9;     1
 19160116;    4440;   2.266;     9;     1
 19160117;    3560;   1.817;     9;     1
 19160118;    3560;   1.817;     9;     1
 19160119;    3390;   1.730;     9;     1
 19160120;    3390;   1.730;     9;     1
 19160121;    3050;   1.556;     9;     1
 19160122;    3050;   1.556;     9;     1
 19160123;    3050;   1.556;     9;     1
 19160124;    2770;   1.414;     9;     1
 19160125;    2490;   1.271;     9;     1
 19160126;    2230;   1.138;     9;     0
 19160127;    2110;   1.077;     9;     0
 19160128;    1990;   1.016;     9;     0
 19160129;    1870;   0.954;     9;     0
 19160130;    1750;   0.893;     9;     0
 19160131;    1650;   0.842;     9;     1
 19160201;    1550;   0.791;     9;     1
 19160202;    1450;   0.740;     9;     1
 19160203;    1450;   0.740;     9;     1
 19160204;    1450;   0.740;     9;     1
 19160205;    1550;   0.791;     9;     1
 19160206;    1750;   0.893;     9;     1
 19160207;    2770;   1.414;     9;     1
 19160208;    3050;   1.556;     9;     1
 19160209;    4080;   2.082;     9;     1
 19160210;    3390;   1.730;     9;     1
 19160211;    4440;   2.266;     9;     1
 19160212;    4440;   2.266;     9;     1
 19160213;    4440;   2.266;     9;     1
 19160214;    4440;   2.266;     9;     1
 19160215;   28000;  14.289;     9;     1
 19160216;   38300;  19.545;     9;     1
 19160217;   33000;  16.840;     9;     1
 19160218;   21100;  10.767;     9;     1
 19160219;   46700;  23.831;     9;     1
 19160220;   36500;  18.626;     9;     1
 19160221;   27300;  13.931;     9;     1
 19160222;   15800;   8.063;     9;     1
 19160223;   12500;   6.379;     9;     1
 19160224;   10100;   5.154;     9;     1
 19160225;    7500;   3.827;     9;     1
 19160226;    7000;   3.572;     9;     1
 19160227;    6100;   3.113;     9;     1
 19160228;    6100;   3.113;     9;     1
 19160229;    6550;   3.343;     9;     1
 19160301;    6550;   3.343;     9;     1
 19160302;    6550;   3.343;     9;     1
 19160303;    6100;   3.113;     9;     1
 19160304;    5650;   2.883;     9;     1
 19160305;    5200;   2.654;     9;     1
 19160306;    5200;   2.654;     9;     1
 19160307;    5200;   2.654;     9;     1
 19160308;    4260;   2.174;     9;     1
 19160309;    3900;   1.990;     9;     1
 19160310;    3560;   1.817;     9;     1
 19160311;    3050;   1.556;     9;     1
 19160312;    2770;   1.414;     9;     1
 19160313;    6300;   3.215;     9;     1
 19160314;    6300;   3.215;     9;     1
 19160315;    8500;   4.338;     9;     1
 19160316;   11000;   5.613;     9;     1
 19160317;   10400;   5.307;     9;     1
 19160318;    9500;   4.848;     9;     1
 19160319;   10400;   5.307;     9;     1
 19160320;   10700;   5.460;     9;     1
 19160321;   12200;   6.226;     9;     1
 19160322;   12200;   6.226;     9;     1
 19160323;   13100;   6.685;     9;     1
