## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:51
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P0885010
## Nom station                      : Le Mars à Bassignac [Vendes]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      652012 ;    6466577 ;      652008 ;    6466594 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      604018 ;    2032932 ;      604013 ;    2032949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.38777 ;   45.29688 ;     2.38770 ;   45.29703 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      117.00 ;     117.34 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         366 ;        377 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    15.8 [%]
## Débits disponibles               :  1923-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19230101;   21600;  15.905;     9;     1
 19230102;   12800;   9.425;     9;     1
 19230103;    8400;   6.185;     9;     1
 19230104;    7950;   5.854;     9;     1
 19230105;    6350;   4.676;     9;     1
 19230106;    4920;   3.623;     9;     1
 19230107;    2120;   1.561;     9;     1
 19230108;    3770;   2.776;     9;     1
 19230109;    3480;   2.562;     9;     1
 19230110;    4240;   3.122;     9;     1
 19230111;    4740;   3.490;     9;     1
 19230112;    6350;   4.676;     9;     1
 19230113;    5650;   4.160;     9;     1
 19230114;    5100;   3.755;     9;     1
 19230115;    4240;   3.122;     9;     1
 19230116;    3050;   2.246;     9;     1
 19230117;    2120;   1.561;     9;     1
 19230118;    1750;   1.289;     9;     1
 19230119;    1540;   1.134;     9;     1
 19230120;    1430;   1.053;     9;     1
 19230121;    1330;   0.979;     9;     1
 19230122;    1540;   1.134;     9;     1
 19230123;    1750;   1.289;     9;     1
 19230124;    1640;   1.208;     9;     1
 19230125;    1540;   1.134;     9;     1
 19230126;    1540;   1.134;     9;     1
 19230127;    1430;   1.053;     9;     1
 19230128;    1750;   1.289;     9;     1
 19230129;    1540;   1.134;     9;     1
 19230130;    1640;   1.208;     9;     1
 19230131;    1750;   1.289;     9;     1
 19230201;    2910;   2.143;     9;     1
 19230202;    2640;   1.944;     9;     1
 19230203;    2360;   1.738;     9;     1
 19230204;    2770;   2.040;     9;     1
 19230205;    2240;   1.649;     9;     1
 19230206;    2120;   1.561;     9;     1
 19230207;    1990;   1.465;     9;     1
 19230208;    1750;   1.289;     9;     1
 19230209;    8400;   6.185;     9;     1
 19230210;    8800;   6.480;     9;     1
 19230211;    9050;   6.664;     9;     1
 19230212;    6750;   4.970;     9;     1
 19230213;   10500;   7.731;     9;     1
 19230214;    9450;   6.958;     9;     1
 19230215;    8400;   6.185;     9;     1
 19230216;    8800;   6.480;     9;     1
 19230217;    8200;   6.038;     9;     1
 19230218;    7750;   5.706;     9;     1
 19230219;   12800;   9.425;     9;     1
 19230220;    8600;   6.332;     9;     1
 19230221;    6350;   4.676;     9;     1
 19230222;    6550;   4.823;     9;     1
 19230223;    7300;   5.375;     9;     1
 19230224;    8400;   6.185;     9;     1
 19230225;   24900;  18.334;     9;     1
 19230226;   26900;  19.807;     9;     1
 19230227;   31300;  23.047;     9;     1
 19230228;   28800;  21.206;     9;     1
 19230301;   28800;  21.206;     9;     1
 19230302;   33400;  24.593;     9;     1
 19230303;   53000;  39.025;     9;     1
 19230304;   23300;  17.156;     9;     1
 19230305;   16400;  12.076;     9;     1
 19230306;    8800;   6.480;     9;     1
 19230307;    7300;   5.375;     9;     1
 19230308;    6350;   4.676;     9;     1
 19230309;    6000;   4.418;     9;     1
 19230310;    5450;   4.013;     9;     1
 19230311;    4740;   3.490;     9;     1
 19230312;    4240;   3.122;     9;     1
 19230313;    3340;   2.459;     9;     1
 19230314;    3190;   2.349;     9;     1
 19230315;    3050;   2.246;     9;     1
 19230316;    2910;   2.143;     9;     1
 19230317;    2770;   2.040;     9;     1
 19230318;    2500;   1.841;     9;     1
 19230319;    1990;   1.465;     9;     1
 19230320;    3050;   2.246;     9;     1
 19230321;    4400;   3.240;     9;     1
 19230322;    5450;   4.013;     9;     1
 19230323;    6000;   4.418;     9;     1
 19230324;    5800;   4.271;     9;     1
