## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P1114010
## Nom station                      : La Luzège à Maussac [Pont de Maussac]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      633683 ;    6485851 ;      633686 ;    6485830 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      585510 ;    2052070 ;      585513 ;    2052049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.15129 ;   45.46890 ;     2.15133 ;   45.46871 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       84.90 ;      80.99 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         561 ;        566 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       2 [%]
## Débits disponibles               :  1951-01-01 ; 2005-01-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19510101;    2080;   2.219;     9;     1
 19510102;    2270;   2.422;     9;     1
 19510103;    1750;   1.867;     9;     1
 19510104;    1580;   1.686;     9;     1
 19510105;    1530;   1.632;     9;     1
 19510106;    1430;   1.526;     9;     1
 19510107;    1480;   1.579;     9;     1
 19510108;    1580;   1.686;     9;     1
 19510109;    1640;   1.750;     9;     1
 19510110;    1530;   1.632;     9;     1
 19510111;    1800;   1.920;     9;     1
 19510112;    5500;   5.867;     9;     1
 19510113;    4130;   4.406;     9;     1
 19510114;    5100;   5.441;     9;     1
 19510115;   13000;  13.868;     9;     1
 19510116;    8000;   8.534;     9;     1
 19510117;    6350;   6.774;     9;     1
 19510118;    8750;   9.334;     9;     1
 19510119;   10800;  11.521;     9;     1
 19510120;    9750;  10.401;     9;     1
 19510121;    9600;  10.241;     9;     1
 19510122;    7350;   7.841;     9;     1
 19510123;    6350;   6.774;     9;     1
 19510124;    6350;   6.774;     9;     1
 19510125;    5940;   6.337;     9;     1
 19510126;    4690;   5.003;     9;     1
 19510127;    4500;   4.801;     9;     1
 19510128;    4130;   4.406;     9;     1
 19510129;    3540;   3.776;     9;     1
 19510130;    3240;   3.456;     9;     1
 19510131;    2870;   3.062;     9;     1
 19510201;    2660;   2.838;     9;     1
 19510202;    2530;   2.699;     9;     1
 19510203;    2140;   2.283;     9;     1
 19510204;    2730;   2.912;     9;     1
 19510205;    3540;   3.776;     9;     1
 19510206;    2870;   3.062;     9;     1
 19510207;    2340;   2.496;     9;     1
 19510208;    3630;   3.872;     9;     1
 19510209;    4690;   5.003;     9;     1
 19510210;    3020;   3.222;     9;     1
 19510211;    3090;   3.296;     9;     1
 19510212;    2730;   2.912;     9;     1
 19510213;    4300;   4.587;     9;     1
 19510214;    5190;   5.537;     9;     1
 19510215;    4690;   5.003;     9;     1
 19510216;    4220;   4.502;     9;     1
 19510217;    5100;   5.441;     9;     1
 19510218;    7600;   8.108;     9;     1
 19510219;    8750;   9.334;     9;     1
 19510220;    7750;   8.268;     9;     1
 19510221;   11600;  12.375;     9;     1
 19510222;   11100;  11.841;     9;     1
 19510223;    9500;  10.135;     9;     1
 19510224;    8750;   9.334;     9;     1
 19510225;    7350;   7.841;     9;     1
 19510226;    5690;   6.070;     9;     1
 19510227;    5800;   6.187;     9;     1
 19510228;    4690;   5.003;     9;     1
 19510301;    4130;   4.406;     9;     1
 19510302;    3630;   3.872;     9;     1
 19510303;    3390;   3.616;     9;     1
 19510304;    3170;   3.382;     9;     1
 19510305;    2950;   3.147;     9;     1
 19510306;    2660;   2.838;     9;     1
 19510307;    2140;   2.283;     9;     1
 19510308;    2210;   2.358;     9;     1
 19510309;    3090;   3.296;     9;     1
 19510310;    2870;   3.062;     9;     1
 19510311;    4300;   4.587;     9;     1
 19510312;    3460;   3.691;     9;     1
 19510313;    3310;   3.531;     9;     1
 19510314;    5940;   6.337;     9;     1
 19510315;    4500;   4.801;     9;     1
 19510316;    4800;   5.121;     9;     1
 19510317;    8750;   9.334;     9;     1
 19510318;   10300;  10.988;     9;     1
 19510319;   11600;  12.375;     9;     1
 19510320;   10600;  11.308;     9;     1
 19510321;    8250;   8.801;     9;     1
 19510322;    6940;   7.404;     9;     1
 19510323;    5600;   5.974;     9;     1
 19510324;    6350;   6.774;     9;     1
