## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:07
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P1502510
## Nom station                      : La Maronne à Pleaux [Enchanet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      636640 ;    6442992 ;      636621 ;    6442745 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      588829 ;    2009197 ;      588813 ;    2008949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.19472 ;   45.08329 ;     2.19452 ;   45.08106 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      513.00 ;     454.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         370 ;        422 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1961-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;   32300;   6.145;     9;     1
 19610102;   45800;   8.714;     9;     1
 19610103;   99200;  18.874;     9;     1
 19610104;   78700;  14.973;     9;     1
 19610105;   57900;  11.016;     9;     1
 19610106;   41600;   7.915;     9;     1
 19610107;   42100;   8.010;     9;     1
 19610108;   46800;   8.904;     9;     1
 19610109;   68200;  12.976;     9;     1
 19610110;   51900;   9.874;     9;     1
 19610111;   44200;   8.409;     9;     1
 19610112;   35600;   6.773;     9;     1
 19610113;   29000;   5.517;     9;     1
 19610114;   22400;   4.262;     9;     1
 19610115;   19800;   3.767;     9;     1
 19610116;   17700;   3.368;     9;     1
 19610117;   16700;   3.177;     9;     1
 19610118;   15300;   2.911;     9;     1
 19610119;   14200;   2.702;     9;     1
 19610120;   13800;   2.626;     9;     1
 19610121;   13100;   2.492;     9;     1
 19610122;   12200;   2.321;     9;     1
 19610123;   14300;   2.721;     9;     1
 19610124;   15700;   2.987;     9;     1
 19610125;   20100;   3.824;     9;     1
 19610126;   17100;   3.253;     9;     1
 19610127;   16100;   3.063;     9;     1
 19610128;   17600;   3.349;     9;     1
 19610129;   18900;   3.596;     9;     1
 19610130;   18100;   3.444;     9;     1
 19610131;   34700;   6.602;     9;     1
 19610201;   82500;  15.696;     9;     1
 19610202;   84800;  16.134;     9;     1
 19610203;   79000;  15.030;     9;     1
 19610204;   82900;  15.772;     9;     1
 19610205;   96000;  18.265;     9;     1
 19610206;   84400;  16.058;     9;     1
 19610207;   65800;  12.519;     9;     1
 19610208;   43500;   8.276;     9;     1
 19610209;   39100;   7.439;     9;     1
 19610210;   31000;   5.898;     9;     1
 19610211;   27300;   5.194;     9;     1
 19610212;   25400;   4.833;     9;     1
 19610213;   23500;   4.471;     9;     1
 19610214;   22300;   4.243;     9;     1
 19610215;   21200;   4.033;     9;     1
 19610216;   17800;   3.387;     9;     1
 19610217;   16700;   3.177;     9;     1
 19610218;   16300;   3.101;     9;     1
 19610219;   15500;   2.949;     9;     1
 19610220;   14000;   2.664;     9;     1
 19610221;   13400;   2.549;     9;     1
 19610222;   12300;   2.340;     9;     1
 19610223;   12300;   2.340;     9;     1
 19610224;   11400;   2.169;     9;     1
 19610225;   12000;   2.283;     9;     1
 19610226;   14200;   2.702;     9;     1
 19610227;   13900;   2.645;     9;     1
 19610228;   17000;   3.234;     9;     1
 19610301;   14900;   2.835;     9;     1
 19610302;   14300;   2.721;     9;     1
 19610303;   13600;   2.588;     9;     1
 19610304;   12700;   2.416;     9;     1
 19610305;   12200;   2.321;     9;     1
 19610306;   12100;   2.302;     9;     1
 19610307;   11600;   2.207;     9;     1
 19610308;   11300;   2.150;     9;     1
 19610309;   11000;   2.093;     9;     1
 19610310;   11000;   2.093;     9;     1
 19610311;   11000;   2.093;     9;     1
 19610312;    9800;   1.865;     9;     1
 19610313;    9400;   1.788;     9;     1
 19610314;    9100;   1.731;     9;     1
 19610315;    9700;   1.846;     9;     1
 19610316;    9900;   1.884;     9;     1
 19610317;    9700;   1.846;     9;     1
 19610318;    9700;   1.846;     9;     1
 19610319;    8600;   1.636;     9;     1
 19610320;    7100;   1.351;     9;     1
 19610321;    6400;   1.218;     9;     1
 19610322;    5800;   1.103;     9;     1
 19610323;    5500;   1.046;     9;     1
