## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:49
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P3264310
## Nom station                      : Le Roseix à Vars-sur-Roseix
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      573006 ;    6463831 ;      572957 ;    6463858 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      524962 ;    2029522 ;      524913 ;    2029549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :      1.3807 ;    45.2621 ;     1.38007 ;   45.26234 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       58.00 ;      57.78 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         115 ;        122 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.4 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    3140;   4.695;     9;     1
 19680102;    4140;   6.191;     9;     1
 19680103;    3420;   5.114;     9;     1
 19680104;    3210;   4.800;     9;     1
 19680105;    5050;   7.551;     9;     1
 19680106;    3490;   5.219;     9;     1
 19680107;   11400;  17.047;     9;     1
 19680108;    3210;   4.800;     9;     1
 19680109;    7000;  10.467;     9;     1
 19680110;    3990;   5.966;     9;     1
 19680111;    2150;   3.215;     9;     1
 19680112;    1860;   2.781;     9;     1
 19680113;    1630;   2.437;     9;     1
 19680114;    1690;   2.527;     9;     1
 19680115;    1630;   2.437;     9;     1
 19680116;    1470;   2.198;     9;     1
 19680117;    1520;   2.273;     9;     1
 19680118;    1520;   2.273;     9;     1
 19680119;    1360;   2.034;     9;     1
 19680120;    1310;   1.959;     9;     1
 19680121;    1200;   1.794;     9;     1
 19680122;    1100;   1.645;     9;     1
 19680123;    1050;   1.570;     9;     1
 19680124;    1050;   1.570;     9;     1
 19680125;    1000;   1.495;     9;     1
 19680126;    1000;   1.495;     9;     1
 19680127;     950;   1.421;     9;     0
 19680128;     905;   1.353;     9;     0
 19680129;     860;   1.286;     9;     0
 19680130;     815;   1.219;     9;     0
 19680131;     770;   1.151;     9;     0
 19680201;     770;   1.151;     9;     1
 19680202;     770;   1.151;     9;     1
 19680203;    1050;   1.570;     9;     1
 19680204;     950;   1.421;     9;     1
 19680205;     905;   1.353;     9;     1
 19680206;    1520;   2.273;     9;     1
 19680207;    5750;   8.598;     9;     1
 19680208;    3280;   4.905;     9;     1
 19680209;    3000;   4.486;     9;     1
 19680210;    1970;   2.946;     9;     1
 19680211;    1630;   2.437;     9;     1
 19680212;    1740;   2.602;     9;     1
 19680213;    1520;   2.273;     9;     1
 19680214;    1470;   2.198;     9;     1
 19680215;    1520;   2.273;     9;     1
 19680216;    1360;   2.034;     9;     1
 19680217;    1250;   1.869;     9;     1
 19680218;    1150;   1.720;     9;     1
 19680219;    1310;   1.959;     9;     1
 19680220;    1740;   2.602;     9;     1
 19680221;    1580;   2.363;     9;     1
 19680222;    1690;   2.527;     9;     1
 19680223;    1740;   2.602;     9;     1
 19680224;    1520;   2.273;     9;     1
 19680225;    1360;   2.034;     9;     1
 19680226;    1250;   1.869;     9;     1
 19680227;    1200;   1.794;     9;     1
 19680228;    1100;   1.645;     9;     1
 19680229;    1100;   1.645;     9;     1
 19680301;    1050;   1.570;     9;     1
 19680302;    1050;   1.570;     9;     1
 19680303;     905;   1.353;     9;     1
 19680304;     860;   1.286;     9;     1
 19680305;     815;   1.219;     9;     1
 19680306;     860;   1.286;     9;     1
 19680307;     815;   1.219;     9;     1
 19680308;     815;   1.219;     9;     1
 19680309;     770;   1.151;     9;     1
 19680310;     725;   1.084;     9;     1
 19680311;     725;   1.084;     9;     1
 19680312;     725;   1.084;     9;     1
 19680313;     640;   0.957;     9;     1
 19680314;     640;   0.957;     9;     1
 19680315;     640;   0.957;     9;     1
 19680316;     770;   1.151;     9;     1
 19680317;     640;   0.957;     9;     1
 19680318;     725;   1.084;     9;     1
 19680319;     685;   1.024;     9;     1
 19680320;     640;   0.957;     9;     1
 19680321;     725;   1.084;     9;     1
 19680322;     860;   1.286;     9;     1
 19680323;    1050;   1.570;     9;     1
 19680324;     905;   1.353;     9;     1
