## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:01:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P4271010
## Nom station                      : La Vézère à Campagne
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      538960 ;    6424830 ;      538863 ;    6424779 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      491210 ;    1990201 ;      491113 ;    1990149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.95961 ;   44.90393 ;     0.95839 ;   44.90345 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     3736.00 ;    3656.51 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          51 ;         56 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;   97200;   2.297;     9;     1
 19680102;  148000;   3.497;     9;     1
 19680103;  158000;   3.733;     9;     1
 19680104;  178000;   4.206;     9;     1
 19680105;  192000;   4.537;     9;     1
 19680106;  211000;   4.986;     9;     1
 19680107;  260000;   6.144;     5;     1
 19680108;  328000;   7.750;     5;     1
 19680109;  235000;   5.553;     9;     1
 19680110;  296000;   6.994;     9;     1
 19680111;  210000;   4.962;     9;     1
 19680112;  158000;   3.733;     9;     1
 19680113;  133000;   3.143;     9;     1
 19680114;  118000;   2.788;     9;     1
 19680115;  123000;   2.906;     9;     1
 19680116;  111000;   2.623;     9;     1
 19680117;   97900;   2.313;     9;     1
 19680118;  104000;   2.457;     9;     1
 19680119;   93900;   2.219;     9;     1
 19680120;   91900;   2.172;     9;     1
 19680121;   83000;   1.961;     9;     1
 19680122;   68600;   1.621;     9;     1
 19680123;   67800;   1.602;     9;     1
 19680124;   67500;   1.595;     9;     1
 19680125;   66800;   1.578;     9;     1
 19680126;   66300;   1.567;     9;     1
 19680127;   70400;   1.663;     9;     1
 19680128;   65600;   1.550;     9;     1
 19680129;   58600;   1.385;     9;     1
 19680130;   56800;   1.342;     9;     1
 19680131;   54900;   1.297;     9;     1
 19680201;   53300;   1.259;     9;     1
 19680202;   50700;   1.198;     9;     1
 19680203;   53200;   1.257;     9;     1
 19680204;   68200;   1.612;     9;     1
 19680205;   55200;   1.304;     9;     1
 19680206;   62600;   1.479;     9;     1
 19680207;  113000;   2.670;     9;     1
 19680208;  153000;   3.615;     9;     1
 19680209;  134000;   3.166;     9;     1
 19680210;  117000;   2.765;     9;     1
 19680211;   99700;   2.356;     9;     1
 19680212;   94100;   2.223;     9;     1
 19680213;  111000;   2.623;     9;     1
 19680214;   96100;   2.271;     9;     1
 19680215;   89300;   2.110;     9;     1
 19680216;   82600;   1.952;     9;     1
 19680217;   77500;   1.831;     9;     1
 19680218;   72600;   1.715;     9;     1
 19680219;   69900;   1.652;     9;     1
 19680220;   81900;   1.935;     9;     1
 19680221;   86800;   2.051;     9;     1
 19680222;   80600;   1.905;     9;     1
 19680223;  104000;   2.457;     9;     1
 19680224;   87800;   2.075;     9;     1
 19680225;   80900;   1.912;     9;     1
 19680226;   75500;   1.784;     9;     1
 19680227;   73600;   1.739;     9;     1
 19680228;   68100;   1.609;     9;     1
 19680229;   60800;   1.437;     9;     1
 19680301;   55900;   1.321;     9;     1
 19680302;   52000;   1.229;     9;     1
 19680303;   49400;   1.167;     9;     1
 19680304;   44600;   1.054;     9;     1
 19680305;   45600;   1.077;     9;     1
 19680306;   44400;   1.049;     9;     1
 19680307;   48900;   1.155;     9;     1
 19680308;   49500;   1.170;     9;     1
 19680309;   48000;   1.134;     9;     1
 19680310;   45700;   1.080;     9;     1
 19680311;   40100;   0.948;     9;     1
 19680312;   40200;   0.950;     9;     1
 19680313;   38900;   0.919;     9;     1
 19680314;   37900;   0.896;     9;     1
 19680315;   37500;   0.886;     9;     1
 19680316;   43100;   1.018;     9;     1
 19680317;   52900;   1.250;     9;     1
 19680318;   41900;   0.990;     9;     1
 19680319;   48600;   1.148;     9;     1
 19680320;   47700;   1.127;     9;     1
 19680321;   45700;   1.080;     9;     1
 19680322;   61300;   1.448;     9;     1
 19680323;   66500;   1.571;     9;     1
 19680324;   69700;   1.647;     9;     1
 19680325;   52900;   1.250;     9;     1
 19680326;   53900;   1.274;     9;     1
 19680327;   48900;   1.155;     9;     1
 19680328;   41800;   0.988;     9;     1
 19680329;   44300;   1.047;     9;     1
 19680330;   42200;   0.997;     9;     1
 19680331;   38600;   0.912;     9;     1
 19680401;   35700;   0.844;     9;     1
 19680402;   36900;   0.872;     9;     1
 19680403;   37000;   0.874;     9;     1
 19680404;   40700;   0.962;     9;     1
 19680405;   42500;   1.004;     9;     1
 19680406;   68500;   1.619;     9;     1
 19680407;   70000;   1.654;     9;     1
 19680408;   57600;   1.361;     9;     1
 19680409;   54100;   1.278;     9;     1
 19680410;   51800;   1.224;     9;     1
 19680411;   49200;   1.163;     9;     1
 19680412;   46600;   1.101;     9;     1
 19680413;   39500;   0.933;     9;     1
 19680414;   37300;   0.881;     9;     1
 19680415;   38300;   0.905;     9;     1
 19680416;   40200;   0.950;     9;     1
 19680417;   37200;   0.879;     9;     1
 19680418;   34800;   0.822;     9;     1
 19680419;   33700;   0.796;     9;     1
 19680420;   32700;   0.773;     9;     1
 19680421;   32600;   0.770;     9;     1
 19680422;   30600;   0.723;     9;     1
 19680423;   31500;   0.744;     9;     1
 19680424;   29500;   0.697;     9;     1
 19680425;   29300;   0.692;     9;     1
 19680426;   30900;   0.730;     9;     1
 19680427;   29200;   0.690;     9;     1
 19680428;   30400;   0.718;     9;     1
 19680429;   33600;   0.794;     9;     1
 19680430;   34500;   0.815;     9;     1
 19680501;   39100;   0.924;     9;     1
 19680502;   41400;   0.978;     9;     1
 19680503;   53800;   1.271;     9;     1
 19680504;   49100;   1.160;     9;     1
 19680505;   81100;   1.916;     9;     1
 19680506;   77000;   1.819;     9;     1
 19680507;  111000;   2.623;     9;     1
 19680508;  114000;   2.694;     9;     1
 19680509;  117000;   2.765;     9;     1
 19680510;  129000;   3.048;     9;     1
 19680511;  109000;   2.576;     9;     1
 19680512;   90200;   2.131;     9;     1
 19680513;   81900;   1.935;     9;     1
 19680514;   65400;   1.545;     9;     1
 19680515;   65700;   1.552;     9;     1
 19680516;   59900;   1.415;     9;     1
 19680517;   55400;   1.309;     9;     1
 19680518;   52100;   1.231;     9;     1
 19680519;   49600;   1.172;     9;     1
 19680520;   41500;   0.981;     9;     1
 19680521;   43000;   1.016;     9;     1
 19680522;   42400;   1.002;     9;     1
 19680523;   39400;   0.931;     9;     1
 19680524;   36900;   0.872;     9;     1
 19680525;  111000;   2.623;     9;     1
 19680526;  158000;   3.733;     9;     1
 19680527;   83200;   1.966;     9;     1
 19680528;   66700;   1.576;     9;     1
 19680529;   58900;   1.392;     9;     1
 19680530;   61300;   1.448;     9;     1
 19680531;   54400;   1.285;     9;     1
 19680601;   48200;   1.139;     9;     1
 19680602;   45500;   1.075;     9;     1
 19680603;   45400;   1.073;     9;     1
 19680604;   48800;   1.153;     9;     1
 19680605;   59900;   1.415;     9;     1
 19680606;   58100;   1.373;     9;     1
 19680607;   52100;   1.231;     9;     1
 19680608;   50300;   1.189;     9;     1
 19680609;   47400;   1.120;     9;     1
 19680610;   39500;   0.933;     9;     1
 19680611;   35400;   0.836;     9;     1
 19680612;   31400;   0.742;     9;     1
 19680613;   30500;   0.721;     9;     1
 19680614;   29700;   0.702;     9;     1
 19680615;   30600;   0.723;     9;     1
 19680616;   27100;   0.640;     9;     1
 19680617;   28800;   0.681;     9;     1
 19680618;   27000;   0.638;     9;     1
 19680619;   27100;   0.640;     9;     1
 19680620;   28200;   0.666;     9;     1
 19680621;   33000;   0.780;     9;     1
 19680622;   34500;   0.815;     9;     1
 19680623;   32500;   0.768;     9;     1
 19680624;   47100;   1.113;     9;     1
 19680625;   40400;   0.955;     9;     1
 19680626;   34200;   0.808;     9;     1
 19680627;   36400;   0.860;     9;     1
 19680628;   35300;   0.834;     9;     1
 19680629;   31700;   0.749;     9;     1
 19680630;   30100;   0.711;     9;     1
 19680701;   26400;   0.624;     9;     1
 19680702;   26400;   0.624;     9;     1
 19680703;   26100;   0.617;     9;     1
 19680704;   25300;   0.598;     9;     1
 19680705;   21900;   0.517;     9;     1
 19680706;   54800;   1.295;     9;     1
 19680707;   55500;   1.311;     9;     1
 19680708;   32900;   0.777;     9;     1
 19680709;   30400;   0.718;     9;     1
 19680710;   30300;   0.716;     9;     1
 19680711;   39400;   0.931;     9;     1
 19680712;   52400;   1.238;     9;     1
 19680713;   39600;   0.936;     9;     1
 19680714;   38900;   0.919;     9;     1
 19680715;   30300;   0.716;     9;     1
 19680716;   38500;   0.910;     9;     1
 19680717;   43000;   1.016;     9;     1
 19680718;   54600;   1.290;     9;     1
 19680719;   45200;   1.068;     9;     1
 19680720;   36500;   0.862;     9;     1
 19680721;   35100;   0.829;     9;     1
 19680722;   32700;   0.773;     9;     1
 19680723;   31700;   0.749;     9;     1
 19680724;   28800;   0.681;     9;     1
 19680725;   27800;   0.657;     9;     1
 19680726;   25300;   0.598;     9;     1
 19680727;   26200;   0.619;     9;     1
 19680728;   25800;   0.610;     9;     1
 19680729;   22300;   0.527;     9;     1
 19680730;   19400;   0.458;     9;     1
 19680731;   19000;   0.449;     9;     1
 19680801;   19800;   0.468;     9;     1
 19680802;   19100;   0.451;     9;     1
 19680803;   28900;   0.683;     9;     1
 19680804;   23700;   0.560;     9;     1
 19680805;   19000;   0.449;     9;     1
 19680806;   26800;   0.633;     9;     1
 19680807;   31400;   0.742;     9;     1
 19680808;   28400;   0.671;     9;     1
 19680809;   32900;   0.777;     9;     1
 19680810;   31400;   0.742;     9;     1
 19680811;   28600;   0.676;     9;     1
 19680812;   23900;   0.565;     9;     1
 19680813;   27600;   0.652;     9;     1
 19680814;   50200;   1.186;     9;     1
 19680815;   60700;   1.434;     9;     1
 19680816;   42500;   1.004;     9;     1
 19680817;   37700;   0.891;     9;     1
 19680818;   34900;   0.825;     9;     1
 19680819;   32400;   0.766;     9;     1
 19680820;   29400;   0.695;     9;     1
 19680821;   25100;   0.593;     9;     1
 19680822;   21300;   0.503;     9;     1
 19680823;   20700;   0.489;     9;     1
 19680824;   20900;   0.494;     9;     1
 19680825;   16000;   0.378;     9;     1
