## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:01:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P5404010
## Nom station                      : L'Eyraud à la Force [Bitarel]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      492103 ;    6424611 ;      492105 ;    6424467 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      444310 ;    1989593 ;      444313 ;    1989449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.36640 ;   44.88948 ;     0.36648 ;   44.88819 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       73.50 ;      73.87 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          32 ;         36 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1966-12-09 ; 2010-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19661209;     928;   1.085;     9;     1
 19661210;     994;   1.163;     9;     1
 19661211;    4630;   5.415;     9;     1
 19661212;    3200;   3.743;     9;     1
 19661213;    3460;   4.047;     9;     1
 19661214;    2540;   2.971;     9;     1
 19661215;    1970;   2.304;     9;     1
 19661216;    1520;   1.778;     9;     1
 19661217;    1220;   1.427;     9;     1
 19661218;     863;   1.009;     9;     1
 19661219;     681;   0.797;     9;     1
 19661220;     645;   0.754;     9;     1
 19661221;     633;   0.740;     9;     1
 19661222;     556;   0.650;     9;     1
 19661223;     633;   0.740;     9;     1
 19661224;     656;   0.767;     9;     1
 19661225;     627;   0.733;     9;     1
 19661226;     613;   0.717;     9;     1
 19661227;     748;   0.875;     9;     1
 19661228;    1270;   1.485;     9;     1
 19661229;    2270;   2.655;     9;     1
 19661230;    8510;   9.953;     9;     1
 19661231;    4810;   5.626;     9;     1
 19670101;    2000;   2.339;     9;     1
 19670102;    1460;   1.708;     9;     1
 19670103;    1230;   1.439;     9;     1
 19670104;     970;   1.135;     9;     1
 19670105;     915;   1.070;     9;     1
 19670106;     891;   1.042;     9;     1
 19670107;     877;   1.026;     9;     1
 19670108;     970;   1.135;     9;     1
 19670109;     963;   1.126;     9;     1
 19670110;     925;   1.082;     9;     1
 19670111;     881;   1.030;     9;     1
 19670112;     732;   0.856;     9;     1
 19670113;     714;   0.835;     9;     1
 19670114;    1200;   1.404;     9;     1
 19670115;    1410;   1.649;     9;     1
 19670116;    1260;   1.474;     9;     1
 19670117;    1080;   1.263;     9;     1
 19670118;    1090;   1.275;     9;     1
 19670119;    1290;   1.509;     9;     1
 19670120;    2270;   2.655;     9;     1
 19670121;    1910;   2.234;     9;     1
 19670122;    1980;   2.316;     9;     1
 19670123;    1600;   1.871;     9;     1
 19670124;    4280;   5.006;     9;     1
 19670125;    3550;   4.152;     9;     1
 19670126;    1740;   2.035;     9;     1
 19670127;    1360;   1.591;     9;     1
 19670128;    1120;   1.310;     9;     1
 19670129;     929;   1.087;     9;     1
 19670130;     787;   0.920;     9;     1
 19670131;     662;   0.774;     9;     1
 19670201;     532;   0.622;     9;     1
 19670202;     516;   0.604;     9;     1
 19670203;     484;   0.566;     9;     1
 19670204;     454;   0.531;     9;     1
 19670205;     434;   0.508;     9;     1
 19670206;     396;   0.463;     9;     1
 19670207;     374;   0.437;     9;     1
 19670208;     369;   0.432;     9;     1
 19670209;     326;   0.381;     9;     1
 19670210;     302;   0.353;     9;     1
 19670211;     281;   0.329;     9;     1
 19670212;     271;   0.317;     9;     1
 19670213;     252;   0.295;     9;     1
 19670214;     250;   0.292;     9;     1
 19670215;     279;   0.326;     9;     1
 19670216;     561;   0.656;     9;     1
 19670217;    1250;   1.462;     9;     1
 19670218;    7270;   8.503;     9;     1
 19670219;    2770;   3.240;     9;     1
 19670220;   11700;  13.685;     5;     1
 19670221;    8090;   9.462;     9;     1
 19670222;    2600;   3.041;     9;     1
 19670223;    1790;   2.094;     9;     1
 19670224;    1400;   1.637;     9;     1
 19670225;    1190;   1.392;     9;     1
 19670226;    1120;   1.310;     9;     1
 19670227;     890;   1.041;     9;     1
 19670228;     775;   0.906;     9;     1
 19670301;     772;   0.903;     9;     1
 19670302;     872;   1.020;     9;     1
 19670303;     674;   0.788;     9;     1
