## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:01:14
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P5715010
## Nom station                      : L'Engranne à Baigneaux
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      448545 ;    6407919 ;      448509 ;    6407844 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      400848 ;    1972525 ;      400813 ;    1972449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.17634 ;   44.72488 ;    -0.17676 ;   44.72418 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       30.00 ;      30.23 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          33 ;         40 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.4 [%]
## Débits disponibles               :  1966-04-16 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660416;     231;   0.660;     9;     1
 19660417;     212;   0.606;     9;     1
 19660418;     213;   0.609;     9;     1
 19660419;     158;   0.452;     9;     1
 19660420;     273;   0.780;     9;     1
 19660421;     195;   0.557;     9;     1
 19660422;     123;   0.352;     9;     1
 19660423;     119;   0.340;     9;     1
 19660424;     113;   0.323;     9;     1
 19660425;     108;   0.309;     9;     1
 19660426;     106;   0.303;     9;     0
 19660427;     106;   0.303;     9;     0
 19660428;     106;   0.303;     9;     0
 19660429;     106;   0.303;     9;     0
 19660430;     106;   0.303;     9;     0
 19660501;     106;   0.303;     9;     0
 19660502;     106;   0.303;     9;     0
 19660503;     117;   0.334;     9;     1
 19660504;     105;   0.300;     9;     1
 19660505;     103;   0.294;     9;     1
 19660506;     101;   0.289;     9;     1
 19660507;     108;   0.309;     9;     1
 19660508;     114;   0.326;     9;     1
 19660509;     114;   0.326;     9;     1
 19660510;     114;   0.326;     9;     1
 19660511;     106;   0.303;     9;     1
 19660512;     109;   0.312;     9;     1
 19660513;     116;   0.332;     9;     1
 19660514;      97;   0.277;     9;     1
 19660515;      94;   0.269;     9;     1
 19660516;      89;   0.254;     9;     1
 19660517;      83;   0.237;     9;     1
 19660518;      77;   0.220;     9;     0
 19660519;      75;   0.214;     9;     0
 19660520;      73;   0.209;     9;     0
 19660521;      71;   0.203;     9;     0
 19660522;      69;   0.197;     9;     0
 19660523;      68;   0.194;     9;     0
 19660524;      68;   0.194;     9;     0
 19660525;      68;   0.194;     9;     0
 19660526;      68;   0.194;     9;     0
 19660527;      68;   0.194;     9;     0
 19660528;      68;   0.194;     9;     0
 19660529;      68;   0.194;     9;     0
 19660530;      68;   0.194;     9;     0
 19660531;      68;   0.194;     9;     0
 19660601;      68;   0.194;     9;     0
 19660602;      68;   0.194;     9;     0
 19660603;      68;   0.194;     9;     0
 19660604;      68;   0.194;     9;     0
 19660605;      68;   0.194;     9;     0
 19660606;      69;   0.197;     9;     1
 19660607;      69;   0.197;     9;     1
 19660608;      68;   0.194;     9;     1
 19660609;      73;   0.209;     9;     1
 19660610;      90;   0.257;     9;     1
 19660611;      77;   0.220;     9;     1
 19660612;      73;   0.209;     9;     1
 19660613;      71;   0.203;     9;     1
 19660614;      69;   0.197;     9;     1
 19660615;      68;   0.194;     9;     1
 19660616;      68;   0.194;     9;     1
 19660617;      68;   0.194;     9;     1
 19660618;      79;   0.226;     9;     1
 19660619;      77;   0.220;     9;     1
 19660620;      85;   0.243;     9;     1
 19660621;      78;   0.223;     9;     1
 19660622;      75;   0.214;     9;     1
 19660623;      86;   0.246;     9;     1
 19660624;      73;   0.209;     9;     1
 19660625;      68;   0.194;     9;     1
 19660626;      68;   0.194;     9;     1
 19660627;      68;   0.194;     9;     1
 19660628;      68;   0.194;     9;     1
 19660629;      66;   0.189;     9;     1
 19660630;      66;   0.189;     9;     1
 19660701;      64;   0.183;     9;     1
 19660702;      66;   0.189;     9;     1
 19660703;      65;   0.186;     9;     1
 19660704;      62;   0.177;     9;     1
 19660705;      75;   0.214;     9;     1
 19660706;      64;   0.183;     9;     1
 19660707;      55;   0.157;     9;     1
 19660708;      53;   0.151;     9;     1
 19660709;      50;   0.143;     9;     1
 19660710;      48;   0.137;     9;     0
 19660711;      48;   0.137;     9;     0
 19660712;      48;   0.137;     9;     0
 19660713;      48;   0.137;     9;     0
 19660714;      48;   0.137;     9;     0
 19660715;      48;   0.137;     9;     0
 19660716;      48;   0.137;     9;     0
 19660717;      48;   0.137;     9;     0
 19660718;      48;   0.137;     9;     0
 19660719;      48;   0.137;     9;     0
 19660720;      57;   0.163;     9;     1
 19660721;      59;   0.169;     9;     1
 19660722;      53;   0.151;     9;     1
 19660723;      51;   0.146;     9;     1
 19660724;      50;   0.143;     9;     0
 19660725;      48;   0.137;     9;     0
 19660726;      46;   0.131;     9;     0
 19660727;      44;   0.126;     9;     0
 19660728;      42;   0.120;     9;     0
 19660729;      42;   0.120;     9;     0
 19660730;      42;   0.120;     9;     0
 19660731;      42;   0.120;     9;     0
 19660801;      42;   0.120;     9;     0
 19660802;      42;   0.120;     9;     0
 19660803;      42;   0.120;     9;     0
 19660804;      44;   0.126;     9;     1
 19660805;      42;   0.120;     9;     0
 19660806;      43;   0.123;     9;     0
 19660807;      44;   0.126;     9;     0
 19660808;      45;   0.129;     9;     0
 19660809;      46;   0.131;     9;     0
 19660810;      47;   0.134;     9;     0
 19660811;      49;   0.140;     9;     1
 19660812;      48;   0.137;     9;     1
 19660813;      42;   0.120;     9;     0
 19660814;      42;   0.120;     9;     0
 19660815;      42;   0.120;     9;     0
 19660816;      42;   0.120;     9;     0
 19660817;      42;   0.120;     9;     0
 19660818;      42;   0.120;     9;     0
 19660819;      42;   0.120;     9;     0
 19660820;      42;   0.120;     9;     0
 19660821;      42;   0.120;     9;     0
 19660822;      42;   0.120;     9;     0
 19660823;      42;   0.120;     9;     0
 19660824;      42;   0.120;     9;     0
 19660825;      42;   0.120;     9;     0
 19660826;      42;   0.120;     9;     0
 19660827;      46;   0.131;     9;     1
 19660828;      48;   0.137;     9;     1
 19660829;      48;   0.137;     9;     1
 19660830;      48;   0.137;     9;     1
 19660831;      49;   0.140;     9;     1
 19660901;      47;   0.134;     9;     1
 19660902;      47;   0.134;     9;     1
 19660903;      46;   0.131;     9;     1
 19660904;      45;   0.129;     9;     1
 19660905;      44;   0.126;     9;     1
 19660906;      44;   0.126;     9;     1
 19660907;      43;   0.123;     9;     1
 19660908;      43;   0.123;     9;     1
 19660909;      55;   0.157;     9;     1
 19660910;      47;   0.134;     9;     1
 19660911;      41;   0.117;     9;     1
 19660912;      38;   0.109;     9;     0
 19660913;      38;   0.109;     9;     0
 19660914;      38;   0.109;     9;     0
 19660915;      38;   0.109;     9;     0
 19660916;      38;   0.109;     9;     0
 19660917;      38;   0.109;     9;     0
 19660918;      38;   0.109;     9;     0
 19660919;      38;   0.109;     9;     0
 19660920;      38;   0.109;     9;     0
 19660921;      38;   0.109;     9;     0
 19660922;      38;   0.109;     9;     0
 19660923;      38;   0.109;     9;     0
 19660924;      38;   0.109;     9;     0
 19660925;      38;   0.109;     9;     0
 19660926;      38;   0.109;     9;     0
 19660927;      38;   0.109;     9;     0
 19660928;      38;   0.109;     9;     0
 19660929;      42;   0.120;     9;     1
 19660930;      42;   0.120;     9;     1
 19661001;      42;   0.120;     9;     1
 19661002;      45;   0.129;     9;     1
 19661003;      48;   0.137;     9;     1
 19661004;      68;   0.194;     9;     1
 19661005;      59;   0.169;     9;     1
 19661006;      41;   0.117;     9;     1
 19661007;      39;   0.111;     9;     1
 19661008;      61;   0.174;     9;     1
 19661009;      55;   0.157;     9;     1
 19661010;      49;   0.140;     9;     1
 19661011;      47;   0.134;     9;     1
 19661012;      45;   0.129;     9;     1
 19661013;      43;   0.123;     9;     1
 19661014;      51;   0.146;     9;     1
 19661015;      49;   0.140;     9;     1
 19661016;      44;   0.126;     9;     1
 19661017;      40;   0.114;     9;     1
 19661018;      40;   0.114;     9;     1
 19661019;      46;   0.131;     9;     1
 19661020;      51;   0.146;     9;     1
 19661021;      50;   0.143;     9;     1
 19661022;      45;   0.129;     9;     1
 19661023;      42;   0.120;     9;     1
 19661024;      44;   0.126;     9;     1
 19661025;      52;   0.149;     9;     1
 19661026;      51;   0.146;     9;     1
 19661027;      56;   0.160;     9;     1
 19661028;      62;   0.177;     9;     1
 19661029;      58;   0.166;     9;     1
 19661030;      54;   0.154;     9;     1
 19661031;      54;   0.154;     9;     1
 19661101;      56;   0.160;     9;     1
 19661102;      61;   0.174;     9;     1
 19661103;      56;   0.160;     9;     1
 19661104;      53;   0.151;     9;     1
 19661105;     633;   1.809;     9;     1
 19661106;     167;   0.477;     9;     1
 19661107;      81;   0.232;     9;     1
 19661108;     122;   0.349;     9;     1
 19661109;    1280;   3.658;     9;     1
 19661110;     163;   0.466;     9;     1
 19661111;      47;   0.134;     9;     1
 19661112;      27;   0.077;     9;     1
 19661113;      21;   0.060;     9;     1
 19661114;      27;   0.077;     9;     1
 19661115;      29;   0.083;     9;     1
 19661116;      51;   0.146;     9;     1
 19661117;      79;   0.226;     9;     1
 19661118;      89;   0.254;     9;     1
 19661119;      81;   0.232;     9;     1
 19661120;      74;   0.211;     9;     1
 19661121;      69;   0.197;     9;     1
 19661122;      64;   0.183;     9;     1
 19661123;      87;   0.249;     9;     1
 19661124;      82;   0.234;     9;     1
 19661125;     362;   1.035;     9;     1
 19661126;     219;   0.626;     9;     1
 19661127;     111;   0.317;     9;     1
 19661128;     312;   0.892;     9;     1
 19661129;    2170;   6.202;     5;     1
 19661130;     381;   1.089;     9;     1
 19661201;    1640;   4.687;     9;     1
 19661202;    1760;   5.030;     9;     1
 19661203;    2120;   6.059;     9;     1
 19661204;    1570;   4.487;     9;     1
 19661205;     298;   0.852;     9;     1
 19661206;     813;   2.324;     9;     1
 19661207;    1450;   4.144;     9;     1
 19661208;     285;   0.815;     9;     1
 19661209;     170;   0.486;     9;     1
 19661210;     206;   0.589;     9;     1
 19661211;    5250;  15.005;     5;     1
 19661212;    1890;   5.402;     9;     1
 19661213;    2100;   6.002;     9;     1
 19661214;    1050;   3.001;     9;     1
