## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:01:56
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q0214010
## Nom station                      : L'Échez à Louey
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      457759 ;    6235267 ;      457774 ;    6235244 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      411498 ;    1799772 ;      411513 ;    1799749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.02214 ;   43.17552 ;     0.02233 ;   43.17532 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :        89.6 ;       78.3 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         333 ;        337 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1968-11-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681101;     840;   0.927;     9;     1
 19681102;    1770;   1.953;     9;     1
 19681103;    2310;   2.549;     9;     1
 19681104;    1400;   1.545;     9;     1
 19681105;    1070;   1.181;     9;     1
 19681106;     985;   1.087;     9;     1
 19681107;     950;   1.048;     9;     1
 19681108;    1020;   1.126;     9;     1
 19681109;    2260;   2.494;     9;     1
 19681110;    1630;   1.799;     9;     1
 19681111;    1640;   1.810;     9;     1
 19681112;    1600;   1.766;     9;     1
 19681113;    1340;   1.479;     9;     1
 19681114;    1210;   1.335;     9;     1
 19681115;    1070;   1.181;     9;     1
 19681116;    1130;   1.247;     9;     1
 19681117;    1410;   1.556;     9;     1
 19681118;    1340;   1.479;     9;     1
 19681119;    1320;   1.457;     9;     1
 19681120;    1070;   1.181;     9;     1
 19681121;     950;   1.048;     9;     1
 19681122;     905;   0.999;     9;     1
 19681123;     840;   0.927;     9;     1
 19681124;     830;   0.916;     9;     1
 19681125;     755;   0.833;     9;     1
 19681126;     710;   0.783;     9;     1
 19681127;     785;   0.866;     9;     1
 19681128;     850;   0.938;     9;     1
 19681129;     830;   0.916;     9;     1
 19681130;    1770;   1.953;     9;     1
 19681201;    1640;   1.810;     9;     1
 19681202;    1370;   1.512;     9;     1
 19681203;    1180;   1.302;     9;     1
 19681204;    1010;   1.114;     9;     1
 19681205;     765;   0.844;     9;     1
 19681206;     655;   0.723;     9;     1
 19681207;     625;   0.690;     9;     1
 19681208;     630;   0.695;     9;     1
 19681209;     710;   0.783;     9;     1
 19681210;     885;   0.977;     9;     1
 19681211;    1810;   1.997;     9;     1
 19681212;    1630;   1.799;     9;     1
 19681213;    1350;   1.490;     9;     1
 19681214;    2340;   2.582;     9;     1
 19681215;    2990;   3.299;     9;     1
 19681216;    3270;   3.608;     9;     1
 19681217;    7400;   8.166;     9;     1
 19681218;    4430;   4.888;     9;     1
 19681219;    6100;   6.731;     9;     1
 19681220;    5100;   5.628;     9;     1
 19681221;    2990;   3.299;     9;     1
 19681222;    2420;   2.670;     9;     1
 19681223;    2020;   2.229;     9;     1
 19681224;    1760;   1.942;     9;     1
 19681225;    1730;   1.909;     9;     1
 19681226;    2720;   3.001;     9;     1
 19681227;    3820;   4.215;     9;     1
 19681228;    2400;   2.648;     9;     1
 19681229;    1830;   2.019;     9;     1
 19681230;    1470;   1.622;     9;     1
 19681231;    1390;   1.534;     9;     1
 19690101;    1130;   1.247;     9;     1
 19690102;    1080;   1.192;     9;     1
 19690103;    1020;   1.126;     9;     1
 19690104;     905;   0.999;     9;     1
 19690105;     865;   0.954;     9;     1
 19690106;     950;   1.048;     9;     1
 19690107;     950;   1.048;     9;     1
 19690108;     905;   0.999;     9;     1
 19690109;     870;   0.960;     9;     1
 19690110;     935;   1.032;     9;     1
 19690111;     875;   0.966;     9;     1
 19690112;     945;   1.043;     9;     1
 19690113;     975;   1.076;     9;     1
 19690114;    1400;   1.545;     9;     1
 19690115;    3160;   3.487;     9;     1
 19690116;    9200;  10.152;     9;     1
 19690117;    4450;   4.910;     9;     1
 19690118;    3710;   4.094;     9;     1
 19690119;    3590;   3.961;     9;     1
 19690120;    2580;   2.847;     9;     1
 19690121;    1990;   2.196;     9;     1
 19690122;    1660;   1.832;     9;     1
 19690123;    1430;   1.578;     9;     1
 19690124;    1290;   1.423;     9;     1
 19690125;    1150;   1.269;     9;     1
 19690126;    1080;   1.192;     9;     1
 19690127;     990;   1.092;     9;     1
 19690128;     855;   0.943;     9;     1
 19690129;     860;   0.949;     9;     1
 19690130;     805;   0.888;     9;     1
 19690131;     720;   0.794;     9;     1
 19690201;     685;   0.756;     9;     1
 19690202;     680;   0.750;     9;     1
 19690203;     760;   0.839;     9;     1
 19690204;     715;   0.789;     9;     0
 19690205;     715;   0.789;     9;     0
 19690206;     715;   0.789;     9;     0
 19690207;     715;   0.789;     9;     0
 19690208;     715;   0.789;     9;     0
 19690209;     655;   0.723;     9;     1
 19690210;     610;   0.673;     9;     1
 19690211;     650;   0.717;     9;     1
 19690212;    2600;   2.869;     9;     1
 19690213;    2950;   3.255;     9;     1
 19690214;    2160;   2.383;     9;     1
 19690215;    1830;   2.019;     9;     1
 19690216;    1540;   1.699;     9;     1
 19690217;    1440;   1.589;     9;     1
 19690218;    1240;   1.368;     9;     1
 19690219;    1140;   1.258;     9;     1
 19690220;    1020;   1.126;     9;     1
 19690221;     930;   1.026;     9;     1
 19690222;     830;   0.916;     9;     1
 19690223;    1310;   1.446;     9;     1
 19690224;    2080;   2.295;     9;     1
 19690225;    1440;   1.589;     9;     1
 19690226;    1410;   1.556;     9;     1
 19690227;    1340;   1.479;     9;     1
 19690228;    1170;   1.291;     9;     1
 19690301;    1080;   1.192;     9;     1
 19690302;    1020;   1.126;     9;     1
 19690303;     950;   1.048;     9;     1
 19690304;     950;   1.048;     9;     1
 19690305;     970;   1.070;     9;     1
 19690306;    1280;   1.412;     9;     1
 19690307;    1470;   1.622;     9;     1
 19690308;    1350;   1.490;     9;     1
 19690309;    1220;   1.346;     9;     1
 19690310;    1140;   1.258;     9;     1
 19690311;     920;   1.015;     9;     1
 19690312;     830;   0.916;     9;     1
 19690313;     930;   1.026;     9;     1
 19690314;    4500;   4.966;     9;     1
 19690315;    2630;   2.902;     9;     1
 19690316;    3430;   3.785;     9;     1
 19690317;    4850;   5.352;     9;     1
 19690318;    2790;   3.079;     9;     1
 19690319;    7950;   8.772;     9;     1
 19690320;    5050;   5.572;     9;     1
 19690321;    3310;   3.652;     9;     1
 19690322;    2830;   3.123;     9;     1
 19690323;   10100;  11.145;     9;     1
 19690324;    4660;   5.142;     9;     1
 19690325;    3360;   3.708;     9;     1
 19690326;    2750;   3.034;     9;     1
 19690327;    2490;   2.748;     9;     1
 19690328;    2280;   2.516;     9;     1
 19690329;    2040;   2.251;     9;     1
 19690330;    1870;   2.063;     9;     1
 19690331;    1850;   2.041;     9;     1
 19690401;    1600;   1.766;     9;     1
 19690402;    1540;   1.699;     9;     1
 19690403;    1470;   1.622;     9;     1
 19690404;    1690;   1.865;     9;     1
 19690405;    2090;   2.306;     9;     1
 19690406;    1980;   2.185;     9;     1
 19690407;    1670;   1.843;     9;     1
 19690408;    1470;   1.622;     9;     1
 19690409;    1440;   1.589;     9;     1
 19690410;    1340;   1.479;     9;     1
 19690411;    1240;   1.368;     9;     1
 19690412;    1080;   1.192;     9;     1
 19690413;    1190;   1.313;     9;     1
 19690414;    1130;   1.247;     9;     1
 19690415;    1050;   1.159;     9;     1
 19690416;     950;   1.048;     9;     1
 19690417;     950;   1.048;     9;     1
 19690418;     945;   1.043;     9;     1
 19690419;     920;   1.015;     9;     1
 19690420;     830;   0.916;     9;     1
 19690421;     780;   0.861;     9;     1
