## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q5501010
## Nom station                      : Le Gave de Pau à Bérenx [Pont de Bérenx]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      388406 ;    6275345 ;      388378 ;    6275273 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      341740 ;    1839321 ;      341713 ;    1839249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.85324 ;   43.50875 ;    -0.85354 ;   43.50809 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2575.00 ;    2592.49 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     38.0000 ;    41.0625 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.2 [%]
## Débits disponibles               :  1923-07-01 ; 2017-07-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19230701;   51000;   1.700;     9;     1
 19230702;   48300;   1.610;     9;     1
 19230703;   49500;   1.650;     9;     1
 19230704;   47200;   1.573;     9;     1
 19230705;   48300;   1.610;     9;     1
 19230706;   47200;   1.573;     9;     1
 19230707;   46000;   1.533;     9;     1
 19230708;   44900;   1.496;     9;     1
 19230709;   46000;   1.533;     9;     1
 19230710;   61500;   2.050;     9;     1
 19230711;  163000;   5.432;     9;     1
 19230712;  177000;   5.899;     9;     1
 19230713;  173000;   5.766;     9;     1
 19230714;  126000;   4.199;     9;     1
 19230715;   99500;   3.316;     9;     1
 19230716;   95500;   3.183;     9;     1
 19230717;   83500;   2.783;     9;     1
 19230718;   75000;   2.500;     9;     1
 19230719;  145000;   4.832;     9;     1
 19230720;   99500;   3.316;     9;     1
 19230721;   74500;   2.483;     9;     1
 19230722;   67000;   2.233;     9;     1
 19230723;   64500;   2.150;     9;     1
 19230724;   54500;   1.816;     9;     1
 19230725;   56000;   1.866;     9;     1
 19230726;   52500;   1.750;     9;     1
 19230727;   51000;   1.700;     9;     1
 19230728;   49500;   1.650;     9;     1
 19230729;   49500;   1.650;     9;     1
 19230730;   46600;   1.553;     9;     1
 19230731;   44900;   1.496;     9;     1
 19230801;   51000;   1.700;     9;     1
 19230802;   47200;   1.573;     9;     1
 19230803;   48300;   1.610;     9;     1
 19230804;   46000;   1.533;     9;     1
 19230805;   41600;   1.386;     9;     1
 19230806;   39500;   1.316;     9;     1
 19230807;   38500;   1.283;     9;     1
 19230808;   37100;   1.236;     9;     1
 19230809;   36600;   1.220;     9;     1
 19230810;   36200;   1.206;     9;     1
 19230811;   35200;   1.173;     9;     1
 19230812;   33800;   1.126;     9;     1
 19230813;   32200;   1.073;     9;     1
 19230814;   31800;   1.060;     9;     1
 19230815;   30100;   1.003;     9;     1
 19230816;   30900;   1.030;     9;     1
 19230817;   30900;   1.030;     9;     1
 19230818;   29700;   0.990;     9;     1
 19230819;   28000;   0.933;     9;     1
 19230820;   26300;   0.877;     9;     1
 19230821;   26300;   0.877;     9;     1
 19230822;   29400;   0.980;     9;     1
 19230823;   30500;   1.016;     9;     1
 19230824;   33800;   1.126;     9;     1
 19230825;   31300;   1.043;     9;     1
 19230826;   30500;   1.016;     9;     1
 19230827;   26300;   0.877;     9;     1
 19230828;   26300;   0.877;     9;     1
 19230829;   25600;   0.853;     9;     1
 19230830;   25300;   0.843;     9;     1
 19230831;   20500;   0.683;     9;     1
 19230901;   51000;   1.700;     9;     1
 19230902;   36600;   1.220;     9;     1
 19230903;   31300;   1.043;     9;     1
 19230904;   29700;   0.990;     9;     1
 19230905;   28700;   0.956;     9;     1
 19230906;   27700;   0.923;     9;     1
 19230907;   27000;   0.900;     9;     1
 19230908;   25300;   0.843;     9;     1
 19230909;   23600;   0.787;     9;     1
 19230910;   21500;   0.717;     9;     1
 19230911;   20900;   0.697;     9;     1
 19230912;   20900;   0.697;     9;     1
 19230913;   20900;   0.697;     9;     1
 19230914;   22900;   0.763;     9;     1
 19230915;   28300;   0.943;     9;     1
 19230916;   27700;   0.923;     9;     1
 19230917;   39500;   1.316;     9;     1
 19230918;  156000;   5.199;     9;     1
 19230919;   79500;   2.649;     9;     1
 19230920;   56000;   1.866;     9;     1
 19230921;   45400;   1.513;     9;     1
 19230922;   40100;   1.336;     9;     1
