## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q6142910
## Nom station                      : Le Gave d'Ossau à Oloron-Sainte-Marie [Oloron-Sainte-Croix]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      407518 ;    6238815 ;      407557 ;    6238755 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      361173 ;    1802909 ;      361213 ;    1802849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.59668 ;   43.18860 ;    -0.59616 ;   43.18807 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      488.00 ;     493.17 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         215 ;        224 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.3 [%]
## Débits disponibles               :  1912-01-01 ; 2013-10-05 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19120101;    9600;   1.682;     9;     1
 19120102;    9600;   1.682;     9;     1
 19120103;    9600;   1.682;     9;     1
 19120104;    8300;   1.454;     9;     1
 19120105;    7000;   1.226;     9;     1
 19120106;    7000;   1.226;     9;     1
 19120107;    7000;   1.226;     9;     1
 19120108;   25300;   4.432;     9;     1
 19120109;   18400;   3.224;     9;     1
 19120110;   14200;   2.488;     9;     1
 19120111;   12600;   2.207;     9;     1
 19120112;   12600;   2.207;     9;     1
 19120113;   10900;   1.910;     9;     1
 19120114;    9600;   1.682;     9;     1
 19120115;    8300;   1.454;     9;     1
 19120116;    8300;   1.454;     9;     1
 19120117;    8300;   1.454;     9;     1
 19120118;    7000;   1.226;     9;     0
 19120119;    7000;   1.226;     9;     0
 19120120;    7000;   1.226;     9;     0
 19120121;    7000;   1.226;     9;     0
 19120122;    7000;   1.226;     9;     0
 19120123;    9600;   1.682;     9;     1
 19120124;    7000;   1.226;     9;     1
 19120125;    7000;   1.226;     9;     1
 19120126;    7000;   1.226;     9;     1
 19120127;    7000;   1.226;     9;     1
 19120128;    6000;   1.051;     9;     1
 19120129;    6000;   1.051;     9;     1
 19120130;    5600;   0.981;     9;     1
 19120131;    5200;   0.911;     9;     1
 19120201;    5000;   0.876;     9;     1
 19120202;    5000;   0.876;     9;     1
 19120203;    5600;   0.981;     9;     1
 19120204;    6000;   1.051;     9;     1
 19120205;    6400;   1.121;     9;     1
 19120206;    8050;   1.410;     9;     1
 19120207;    8550;   1.498;     9;     1
 19120208;    8300;   1.454;     9;     1
 19120209;   12600;   2.207;     9;     1
 19120210;   10400;   1.822;     9;     1
 19120211;    9600;   1.682;     9;     1
 19120212;    8550;   1.498;     9;     1
 19120213;    8300;   1.454;     9;     1
 19120214;    7500;   1.314;     9;     1
 19120215;   15000;   2.628;     9;     1
 19120216;   13500;   2.365;     9;     1
 19120217;   11600;   2.032;     9;     1
 19120218;   10900;   1.910;     9;     1
 19120219;   10400;   1.822;     9;     1
 19120220;    9100;   1.594;     9;     1
 19120221;    8300;   1.454;     9;     1
 19120222;    8300;   1.454;     9;     1
 19120223;    7800;   1.367;     9;     1
 19120224;    7800;   1.367;     9;     1
 19120225;   16300;   2.856;     9;     1
 19120226;   14200;   2.488;     9;     1
 19120227;   13500;   2.365;     9;     1
 19120228;   12600;   2.207;     9;     1
 19120229;   11600;   2.032;     9;     1
 19120301;   10900;   1.910;     9;     1
 19120302;   17600;   3.083;     9;     1
 19120303;   30900;   5.413;     9;     1
 19120304;   20500;   3.591;     9;     1
 19120305;   17600;   3.083;     9;     1
 19120306;   20500;   3.591;     9;     1
 19120307;   19200;   3.364;     9;     1
 19120308;   20100;   3.521;     9;     1
 19120309;   17600;   3.083;     9;     1
 19120310;   17600;   3.083;     9;     1
 19120311;   15000;   2.628;     9;     1
 19120312;   13500;   2.365;     9;     1
 19120313;   12600;   2.207;     9;     1
 19120314;   12600;   2.207;     9;     1
 19120315;   12200;   2.137;     9;     1
 19120316;   12600;   2.207;     9;     1
 19120317;   11600;   2.032;     9;     1
 19120318;   11600;   2.032;     9;     1
 19120319;   12200;   2.137;     9;     1
 19120320;   11600;   2.032;     9;     1
 19120321;   10900;   1.910;     9;     1
 19120322;   10900;   1.910;     9;     1
 19120323;   11600;   2.032;     9;     1
 19120324;   12600;   2.207;     9;     1
