## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q7322510
## Nom station                      : Le Saison à Mauléon-Licharre [Berrogain Laruns - Cibi]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      385268 ;    6246354 ;      385244 ;    6246330 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      338837 ;    1810273 ;      338813 ;    1810249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.87441 ;   43.24687 ;    -0.87469 ;   43.24664 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      480.00 ;     498.38 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         129 ;        123 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-01 ; 2011-12-11 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   41000;   7.108;     9;     1
 19670102;   32200;   5.582;     9;     1
 19670103;   27000;   4.681;     9;     1
 19670104;   37600;   6.518;     9;     1
 19670105;   46100;   7.992;     9;     1
 19670106;   68000;  11.789;     9;     1
 19670107;   41000;   7.108;     9;     1
 19670108;   54000;   9.362;     9;     1
 19670109;   33700;   5.842;     9;     1
 19670110;   27000;   4.681;     9;     1
 19670111;   23500;   4.074;     9;     1
 19670112;   22100;   3.831;     9;     1
 19670113;   24900;   4.317;     9;     1
 19670114;   19600;   3.398;     9;     1
 19670115;   17100;   2.964;     9;     1
 19670116;   17100;   2.964;     9;     1
 19670117;   16400;   2.843;     9;     1
 19670118;   15800;   2.739;     9;     1
 19670119;   17100;   2.964;     9;     1
 19670120;   19300;   3.346;     9;     1
 19670121;   24900;   4.317;     9;     1
 19670122;   24200;   4.195;     9;     1
 19670123;   23500;   4.074;     9;     1
 19670124;   22800;   3.953;     9;     1
 19670125;   19600;   3.398;     9;     1
 19670126;   18300;   3.173;     9;     1
 19670127;   17100;   2.964;     9;     1
 19670128;   17100;   2.964;     9;     1
 19670129;   15800;   2.739;     9;     1
 19670130;   16400;   2.843;     9;     1
 19670131;   15800;   2.739;     9;     1
 19670201;   14700;   2.548;     9;     1
 19670202;   14700;   2.548;     9;     1
 19670203;   14100;   2.444;     9;     1
 19670204;   13600;   2.358;     9;     1
 19670205;   11900;   2.063;     9;     1
 19670206;   12500;   2.167;     9;     1
 19670207;   11900;   2.063;     9;     1
 19670208;   11400;   1.976;     9;     1
 19670209;   10300;   1.786;     9;     1
 19670210;   10300;   1.786;     9;     1
 19670211;    9850;   1.708;     9;     1
 19670212;    8500;   1.474;     9;     1
 19670213;    9400;   1.630;     9;     1
 19670214;    9400;   1.630;     9;     1
 19670215;    9850;   1.708;     9;     1
 19670216;   10300;   1.786;     9;     1
 19670217;   10300;   1.786;     9;     1
 19670218;    9400;   1.630;     9;     1
 19670219;    9850;   1.708;     9;     1
 19670220;   10300;   1.786;     9;     1
 19670221;   19600;   3.398;     9;     1
 19670222;   22100;   3.831;     9;     1
 19670223;   22800;   3.953;     9;     1
 19670224;   22100;   3.831;     9;     1
 19670225;   20200;   3.502;     9;     1
 19670226;   21500;   3.727;     9;     1
 19670227;   17100;   2.964;     9;     1
 19670228;   16400;   2.843;     9;     1
 19670301;   17100;   2.964;     9;     1
 19670302;   24200;   4.195;     9;     1
 19670303;   32900;   5.704;     9;     1
 19670304;   30600;   5.305;     9;     1
 19670305;   36800;   6.380;     9;     1
 19670306;   49600;   8.599;     9;     1
 19670307;   41800;   7.247;     9;     1
 19670308;   33700;   5.842;     9;     1
 19670309;   73000;  12.655;     9;     1
 19670310;   68000;  11.789;     9;     1
 19670311;   38500;   6.674;     9;     1
 19670312;   32200;   5.582;     9;     1
 19670313;   36800;   6.380;     9;     1
 19670314;   29100;   5.045;     9;     1
 19670315;   23500;   4.074;     9;     1
 19670316;   20800;   3.606;     9;     1
 19670317;   20200;   3.502;     9;     1
 19670318;   19600;   3.398;     9;     1
 19670319;   17100;   2.964;     9;     1
 19670320;   22100;   3.831;     9;     1
 19670321;   19600;   3.398;     9;     1
 19670322;   18900;   3.277;     9;     1
 19670323;   18300;   3.173;     9;     1
 19670324;   18300;   3.173;     9;     1
 19670325;   19600;   3.398;     9;     1
