## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:28
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : S2224610
## Nom station                      : Le Grand Arriou à Moustey [Biganon]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      401330 ;    6375065 ;      401385 ;    6375064 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      353858 ;    1939250 ;      353913 ;    1939249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.75222 ;   44.41075 ;    -0.75153 ;   44.41077 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      108.00 ;     110.36 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     28.0000 ;    40.3125 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1967-12-07 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671207;     334;   0.261;     9;     1
 19671208;     342;   0.268;     9;     1
 19671209;     578;   0.453;     9;     1
 19671210;    1690;   1.323;     9;     1
 19671211;    1200;   0.939;     9;     1
 19671212;     869;   0.680;     9;     1
 19671213;     703;   0.550;     9;     1
 19671214;     721;   0.564;     9;     1
 19671215;     912;   0.714;     9;     1
 19671216;     788;   0.617;     9;     1
 19671217;     766;   0.600;     9;     1
 19671218;     773;   0.605;     9;     1
 19671219;     698;   0.546;     9;     1
 19671220;     893;   0.699;     9;     1
 19671221;     667;   0.522;     9;     1
 19671222;     528;   0.413;     9;     1
 19671223;     501;   0.392;     9;     1
 19671224;     580;   0.454;     9;     1
 19671225;    1460;   1.143;     9;     1
 19671226;    2480;   1.942;     9;     1
 19671227;    1840;   1.441;     9;     1
 19671228;    1330;   1.041;     9;     1
 19671229;    1310;   1.026;     9;     1
 19671230;    1140;   0.892;     9;     1
 19671231;     977;   0.765;     9;     1
 19680101;    1160;   0.908;     9;     1
 19680102;    3020;   2.364;     9;     1
 19680103;    3300;   2.584;     9;     1
 19680104;    2970;   2.325;     9;     1
 19680105;    3070;   2.403;     9;     1
 19680106;    3190;   2.497;     9;     1
 19680107;    4240;   3.319;     9;     1
 19680108;    4450;   3.484;     9;     1
 19680109;    3660;   2.865;     9;     1
 19680110;    5220;   4.087;     9;     1
 19680111;    3770;   2.952;     9;     1
 19680112;    2830;   2.216;     9;     1
 19680113;    3640;   2.850;     9;     1
 19680114;    3320;   2.599;     9;     1
 19680115;    2420;   1.895;     9;     1
 19680116;    1870;   1.464;     9;     1
 19680117;    1640;   1.284;     9;     1
 19680118;    1740;   1.362;     9;     1
 19680119;    1420;   1.112;     9;     1
 19680120;    1200;   0.939;     9;     1
 19680121;     990;   0.775;     9;     1
 19680122;     878;   0.687;     9;     1
 19680123;     779;   0.610;     9;     1
 19680124;     712;   0.557;     9;     1
 19680125;     673;   0.527;     9;     1
 19680126;     611;   0.478;     9;     1
 19680127;     617;   0.483;     9;     1
 19680128;     654;   0.512;     9;     1
 19680129;     626;   0.490;     9;     1
 19680130;     537;   0.420;     9;     1
 19680131;     490;   0.384;     9;     1
 19680201;     458;   0.359;     9;     1
 19680202;     428;   0.335;     9;     1
 19680203;     548;   0.429;     9;     1
 19680204;     700;   0.548;     9;     1
 19680205;     577;   0.452;     9;     1
 19680206;     736;   0.576;     9;     1
 19680207;    2030;   1.589;     9;     1
 19680208;    2960;   2.317;     9;     1
 19680209;    3080;   2.411;     9;     1
 19680210;    2790;   2.184;     9;     1
 19680211;    2060;   1.613;     9;     1
 19680212;    1520;   1.190;     9;     1
 19680213;    1210;   0.947;     9;     1
 19680214;     954;   0.747;     9;     1
 19680215;    5130;   4.016;     9;     1
 19680216;   11100;   8.690;     9;     1
 19680217;    6620;   5.183;     9;     1
 19680218;    3410;   2.670;     9;     1
 19680219;    2250;   1.762;     9;     1
 19680220;    1690;   1.323;     9;     1
 19680221;    1420;   1.112;     9;     1
 19680222;    1480;   1.159;     9;     1
 19680223;    1470;   1.151;     9;     1
 19680224;    1300;   1.018;     9;     1
 19680225;    1160;   0.908;     9;     1
 19680226;     993;   0.777;     9;     1
 19680227;     948;   0.742;     9;     1
 19680228;     794;   0.622;     9;     1
 19680229;     714;   0.559;     9;     1
