## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U0415010
## Nom station                      : Le Breuchin à la Proiselière-et-Langle
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      961917 ;    6753248 ;      961901 ;    6753222 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      911688 ;    2322469 ;      911713 ;    2322449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.50165 ;   47.82735 ;     6.50143 ;   47.82712 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      123.00 ;     122.76 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         343 ;        343 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.7 [%]
## Débits disponibles               :  1967-08-09 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670809;     830;   0.584;     9;     1
 19670810;     777;   0.547;     5;     1
 19670811;     765;   0.538;     5;     1
 19670812;     787;   0.554;     5;     1
 19670813;    1150;   0.809;     9;     1
 19670814;    1140;   0.802;     9;     1
 19670815;    2380;   1.675;     9;     1
 19670816;    1730;   1.218;     9;     1
 19670817;    1300;   0.915;     9;     1
 19670818;    1160;   0.816;     9;     1
 19670819;    1060;   0.746;     9;     1
 19670820;    1020;   0.718;     9;     1
 19670821;     977;   0.688;     9;     1
 19670822;     937;   0.659;     9;     1
 19670823;     904;   0.636;     9;     1
 19670824;     952;   0.670;     9;     1
 19670825;     960;   0.676;     9;     1
 19670826;     929;   0.654;     9;     1
 19670827;     895;   0.630;     5;     1
 19670828;     848;   0.597;     5;     1
 19670829;     800;   0.563;     5;     1
 19670830;     764;   0.538;     5;     1
 19670831;     808;   0.569;     5;     1
 19670901;     794;   0.559;     5;     1
 19670902;     774;   0.545;     5;     1
 19670903;     789;   0.555;     5;     1
 19670904;     870;   0.612;     5;     1
 19670905;     953;   0.671;     9;     1
 19670906;     934;   0.657;     9;     1
 19670907;     945;   0.665;     9;     1
 19670908;     973;   0.685;     9;     1
 19670909;    1410;   0.992;     9;     1
 19670910;    1450;   1.021;     9;     1
 19670911;    1240;   0.873;     9;     1
 19670912;    1080;   0.760;     9;     1
 19670913;    1030;   0.725;     9;     1
 19670914;    1050;   0.739;     9;     1
 19670915;    4360;   3.069;     9;     1
 19670916;    9150;   6.440;     9;     1
 19670917;    5130;   3.611;     9;     1
 19670918;    4270;   3.005;     9;     1
 19670919;    3590;   2.527;     9;     1
 19670920;    4220;   2.970;     9;     1
 19670921;    5270;   3.709;     9;     1
 19670922;   12600;   8.868;     9;     1
 19670923;    7380;   5.194;     9;     1
 19670924;    5320;   3.744;     9;     1
 19670925;    4470;   3.146;     9;     1
 19670926;    3660;   2.576;     9;     1
 19670927;    3180;   2.238;     9;     1
 19670928;    2990;   2.104;     9;     1
 19670929;    2830;   1.992;     9;     1
 19670930;    3160;   2.224;     9;     1
 19671001;    3510;   2.470;     9;     1
 19671002;    3070;   2.161;     9;     1
 19671003;    3390;   2.386;     9;     1
 19671004;    3710;   2.611;     9;     1
 19671005;    4970;   3.498;     9;     1
 19671006;    4410;   3.104;     9;     1
 19671007;    4660;   3.280;     9;     1
 19671008;    4410;   3.104;     9;     1
 19671009;    3660;   2.576;     9;     1
 19671010;    3300;   2.323;     9;     1
 19671011;    2770;   1.950;     9;     1
 19671012;    2640;   1.858;     9;     1
 19671013;    2510;   1.767;     9;     1
 19671014;    2500;   1.760;     9;     1
 19671015;    2920;   2.055;     9;     1
 19671016;    6260;   4.406;     9;     1
 19671017;    4580;   3.223;     9;     1
 19671018;    6390;   4.497;     9;     1
 19671019;    4650;   3.273;     9;     1
 19671020;    3800;   2.674;     9;     1
 19671021;    3500;   2.463;     9;     1
 19671022;    3290;   2.316;     9;     1
 19671023;    3110;   2.189;     9;     1
 19671024;    2910;   2.048;     9;     1
 19671025;    2830;   1.992;     9;     1
 19671026;    2830;   1.992;     9;     1
 19671027;    2820;   1.985;     9;     1
 19671028;    2810;   1.978;     9;     1
 19671029;    3560;   2.506;     9;     1
 19671030;    3320;   2.337;     9;     1
 19671031;    3250;   2.287;     9;     1
