## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:53
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1004010
## Nom station                      : L'Ognon à Servance [Fourguenons]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      974489 ;    6751085 ;      974474 ;    6751115 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      924288 ;    2320413 ;      924313 ;    2320449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.66815 ;   47.80277 ;     6.66798 ;   47.80304 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       73.50 ;      71.32 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         380 ;        388 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1968-06-29 ; 2021-02-21 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680629;     680;   0.824;     9;     1
 19680630;     615;   0.745;     9;     1
 19680701;     555;   0.672;     9;     1
 19680702;     495;   0.600;     9;     1
 19680703;     495;   0.600;     9;     1
 19680704;     435;   0.527;     9;     1
 19680705;     495;   0.600;     9;     1
 19680706;     615;   0.745;     9;     1
 19680707;     495;   0.600;     9;     1
 19680708;     435;   0.527;     9;     1
 19680709;     375;   0.454;     9;     1
 19680710;     435;   0.527;     9;     1
 19680711;     555;   0.672;     9;     1
 19680712;     435;   0.527;     9;     1
 19680713;     435;   0.527;     9;     1
 19680714;     555;   0.672;     9;     1
 19680715;     680;   0.824;     9;     1
 19680716;     680;   0.824;     9;     1
 19680717;     680;   0.824;     9;     1
 19680718;     950;   1.151;     9;     1
 19680719;     810;   0.981;     9;     1
 19680720;     745;   0.903;     9;     1
 19680721;     745;   0.903;     9;     1
 19680722;     680;   0.824;     9;     1
 19680723;    1020;   1.236;     9;     1
 19680724;     950;   1.151;     9;     1
 19680725;     880;   1.066;     9;     1
 19680726;     810;   0.981;     9;     1
 19680727;     745;   0.903;     9;     1
 19680728;     615;   0.745;     9;     1
 19680729;     555;   0.672;     9;     1
 19680730;     495;   0.600;     9;     1
 19680731;     495;   0.600;     9;     1
 19680801;     822;   0.996;     9;     1
 19680802;    1130;   1.369;     9;     1
 19680803;    1500;   1.817;     9;     1
 19680804;    1350;   1.635;     9;     1
 19680805;    1290;   1.563;     9;     1
 19680806;    1760;   2.132;     9;     1
 19680807;    1630;   1.975;     9;     1
 19680808;    2150;   2.605;     9;     1
 19680809;    2060;   2.496;     9;     1
 19680810;    3520;   4.264;     9;     1
 19680811;   12400;  15.022;     9;     1
 19680812;    6300;   7.632;     9;     1
 19680813;    5150;   6.239;     9;     1
 19680814;    9940;  12.042;     9;     1
 19680815;    8970;  10.867;     9;     1
 19680816;    6280;   7.608;     9;     1
 19680817;    6640;   8.044;     9;     1
 19680818;    8510;  10.309;     9;     1
 19680819;    6690;   8.105;     9;     1
 19680820;    4950;   5.997;     9;     1
 19680821;    3710;   4.494;     9;     1
 19680822;    2990;   3.622;     9;     1
 19680823;    2430;   2.944;     9;     1
 19680824;    2070;   2.508;     9;     1
 19680825;    1790;   2.168;     9;     1
 19680826;    1530;   1.854;     9;     1
 19680827;    1270;   1.539;     9;     1
 19680828;    1330;   1.611;     9;     1
 19680829;    1610;   1.950;     9;     1
 19680830;    5440;   6.590;     9;     1
 19680831;   21100;  25.561;     9;     1
 19680901;   10600;  12.841;     9;     1
 19680902;    7070;   8.565;     9;     1
 19680903;    6400;   7.753;     9;     1
 19680904;    6730;   8.153;     9;     1
 19680905;    6230;   7.547;     9;     1
 19680906;    4920;   5.960;     9;     1
 19680907;    3920;   4.749;     9;     1
 19680908;    3500;   4.240;     9;     1
 19680909;    2440;   2.956;     9;     1
 19680910;    2700;   3.271;     9;     1
 19680911;    4830;   5.851;     9;     1
 19680912;    3890;   4.713;     9;     1
 19680913;    3540;   4.289;     9;     1
 19680914;    3450;   4.179;     9;     1
 19680915;    3400;   4.119;     9;     1
 19680916;    3330;   4.034;     9;     1
 19680917;    3120;   3.780;     9;     1
 19680918;    2910;   3.525;     9;     1
 19680919;    2820;   3.416;     9;     1
 19680920;    2570;   3.113;     9;     1
 19680921;   13100;  15.870;     9;     1
