## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:58
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1054010
## Nom station                      : L'Ognon à Beaumotte-Aubertans
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      939820 ;    6706559 ;      939814 ;    6706546 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      889978 ;    2275556 ;      890013 ;    2275549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.18144 ;   47.41589 ;     6.18135 ;   47.41578 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1200.00 ;    1259.44 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         229 ;        229 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-09-13 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670913;    5600;   0.384;     9;     1
 19670914;    5600;   0.384;     9;     1
 19670915;    6250;   0.429;     9;     1
 19670916;   15200;   1.043;     9;     1
 19670917;   29200;   2.003;     9;     1
 19670918;   30000;   2.058;     9;     1
 19670919;   22100;   1.516;     9;     1
 19670920;   17400;   1.194;     9;     1
 19670921;   16300;   1.118;     9;     1
 19670922;   40200;   2.758;     9;     1
 19670923;   55500;   3.807;     9;     1
 19670924;   34500;   2.367;     9;     1
 19670925;   24200;   1.660;     9;     1
 19670926;   19000;   1.303;     9;     1
 19670927;   15600;   1.070;     9;     1
 19670928;   13500;   0.926;     9;     1
 19670929;   12300;   0.844;     9;     1
 19670930;   11300;   0.775;     9;     1
 19671001;   11600;   0.796;     9;     1
 19671002;   12300;   0.844;     9;     1
 19671003;   11300;   0.775;     9;     1
 19671004;   11500;   0.789;     9;     1
 19671005;   19400;   1.331;     9;     1
 19671006;   22500;   1.544;     9;     1
 19671007;   19200;   1.317;     9;     1
 19671008;   18400;   1.262;     9;     1
 19671009;   16000;   1.098;     9;     1
 19671010;   14400;   0.988;     9;     1
 19671011;   13000;   0.892;     9;     1
 19671012;   11900;   0.816;     9;     1
 19671013;   10700;   0.734;     9;     1
 19671014;   10300;   0.707;     9;     1
 19671015;    9750;   0.669;     9;     1
 19671016;   10500;   0.720;     9;     1
 19671017;   11500;   0.789;     9;     1
 19671018;   15200;   1.043;     9;     1
 19671019;   19600;   1.345;     9;     1
 19671020;   16000;   1.098;     9;     1
 19671021;   13900;   0.954;     9;     1
 19671022;   12700;   0.871;     9;     1
 19671023;   11800;   0.810;     9;     1
 19671024;   11300;   0.775;     9;     1
 19671025;   11400;   0.782;     9;     1
 19671026;   10300;   0.707;     9;     1
 19671027;    9750;   0.669;     9;     1
 19671028;    9550;   0.655;     9;     1
 19671029;    9750;   0.669;     9;     1
 19671030;   10600;   0.727;     9;     1
 19671031;   10700;   0.734;     9;     1
 19671101;   12600;   0.864;     9;     1
 19671102;   23500;   1.612;     9;     1
 19671103;   44200;   3.032;     9;     1
 19671104;   45600;   3.128;     9;     1
 19671105;   55000;   3.773;     9;     1
 19671106;   72500;   4.974;     9;     1
 19671107;   52500;   3.602;     9;     1
 19671108;   35600;   2.442;     9;     1
 19671109;   28800;   1.976;     9;     1
 19671110;   24200;   1.660;     9;     1
 19671111;   21000;   1.441;     9;     1
 19671112;   18900;   1.297;     9;     1
 19671113;   17500;   1.201;     9;     1
 19671114;   16400;   1.125;     9;     1
 19671115;   19500;   1.338;     9;     1
 19671116;   57000;   3.910;     9;     1
 19671117;  113000;   7.752;     9;     1
 19671118;  111000;   7.615;     9;     1
 19671119;   74000;   5.077;     9;     1
 19671120;   46300;   3.176;     9;     1
 19671121;   35100;   2.408;     9;     1
 19671122;   29500;   2.024;     9;     1
 19671123;   25700;   1.763;     9;     1
 19671124;   23200;   1.592;     9;     1
 19671125;   21400;   1.468;     9;     1
 19671126;   20200;   1.386;     9;     1
 19671127;   26700;   1.832;     9;     1
 19671128;   35600;   2.442;     9;     1
 19671129;   33000;   2.264;     9;     1
 19671130;   42500;   2.916;     9;     1
 19671201;   38800;   2.662;     9;     1
 19671202;   31900;   2.188;     9;     1
 19671203;   27800;   1.907;     9;     1
 19671204;   25200;   1.729;     9;     1
