## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:00
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1084010
## Nom station                      : L'Ognon à Pesmes
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      892347 ;    6691203 ;      892316 ;    6691166 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      842600 ;    2259780 ;      842613 ;    2259749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.54559 ;   47.29324 ;     5.54517 ;   47.29292 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      1970.0 ;     2070.6 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         185 ;        186 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1964-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640101;    9900;   0.413;     9;     1
 19640102;    9900;   0.413;     9;     1
 19640103;    9900;   0.413;     9;     1
 19640104;    9700;   0.405;     9;     1
 19640105;    9000;   0.376;     9;     1
 19640106;    9000;   0.376;     9;     1
 19640107;    9200;   0.384;     9;     1
 19640108;    9000;   0.376;     9;     0
 19640109;    9000;   0.376;     9;     0
 19640110;    9000;   0.376;     9;     0
 19640111;    9000;   0.376;     9;     0
 19640112;    9000;   0.376;     9;     0
 19640113;    9200;   0.384;     9;     1
 19640114;    9900;   0.413;     9;     1
 19640115;   10800;   0.451;     9;     1
 19640116;   12600;   0.526;     9;     1
 19640117;   12600;   0.526;     9;     1
 19640118;   11700;   0.488;     9;     1
 19640119;   11200;   0.467;     9;     1
 19640120;    9350;   0.390;     9;     1
 19640121;    9350;   0.390;     9;     1
 19640122;    9200;   0.384;     9;     1
 19640123;    9000;   0.376;     9;     1
 19640124;    8100;   0.338;     9;     1
 19640125;    7550;   0.315;     9;     1
 19640126;    7200;   0.300;     9;     1
 19640127;    7200;   0.300;     9;     1
 19640128;    7200;   0.300;     9;     1
 19640129;    5400;   0.225;     9;     1
 19640130;    7200;   0.300;     9;     1
 19640131;    9000;   0.376;     9;     1
 19640201;   19300;   0.805;     9;     1
 19640202;   65000;   2.712;     9;     1
 19640203;   94500;   3.943;     9;     1
 19640204;   82000;   3.422;     9;     1
 19640205;   51500;   2.149;     9;     1
 19640206;   43800;   1.828;     9;     1
 19640207;   36300;   1.515;     9;     1
 19640208;   27500;   1.147;     9;     1
 19640209;   24500;   1.022;     9;     1
 19640210;   24500;   1.022;     9;     1
 19640211;   23000;   0.960;     9;     1
 19640212;   21500;   0.897;     9;     1
 19640213;   19000;   0.793;     9;     1
 19640214;   21500;   0.897;     9;     1
 19640215;   23000;   0.960;     9;     1
 19640216;   21500;   0.897;     9;     1
 19640217;   20200;   0.843;     9;     1
 19640218;   21500;   0.897;     9;     1
 19640219;   23600;   0.985;     9;     1
 19640220;   21500;   0.897;     9;     1
 19640221;   19000;   0.793;     9;     1
 19640222;   16500;   0.688;     9;     1
 19640223;   14500;   0.605;     9;     1
 19640224;   14500;   0.605;     9;     1
 19640225;   14500;   0.605;     9;     1
 19640226;   14900;   0.622;     9;     1
 19640227;   15500;   0.647;     9;     1
 19640228;   17700;   0.739;     9;     1
 19640229;     -99; -99.000;   -99;   -99
 19640301;   21500;   0.897;     9;     1
 19640302;   26000;   1.085;     9;     1
 19640303;   29200;   1.218;     9;     1
 19640304;   26000;   1.085;     9;     1
 19640305;   24500;   1.022;     9;     1
 19640306;   21500;   0.897;     9;     1
 19640307;   17500;   0.730;     9;     1
 19640308;   15500;   0.647;     9;     1
 19640309;   14500;   0.605;     9;     0
 19640310;   14500;   0.605;     9;     0
 19640311;   14500;   0.605;     9;     0
 19640312;   14500;   0.605;     9;     0
 19640313;   14500;   0.605;     9;     0
 19640314;   15500;   0.647;     9;     1
 19640315;   16500;   0.688;     9;     1
 19640316;   37600;   1.569;     9;     1
 19640317;   67000;   2.796;     9;     1
 19640318;   77500;   3.234;     9;     1
 19640319;   68000;   2.837;     9;     1
 19640320;   75500;   3.150;     9;     1
 19640321;   93000;   3.881;     9;     1
 19640322;  100000;   4.173;     9;     1
 19640323;  101000;   4.214;     9;     1
 19640324;   90000;   3.755;     9;     1
 19640325;   81000;   3.380;     9;     1
 19640326;   81000;   3.380;     9;     1
 19640327;   81000;   3.380;     9;     1
 19640328;   84500;   3.526;     9;     1
 19640329;   75000;   3.130;     9;     1
 19640330;   64000;   2.671;     9;     1
 19640331;   61500;   2.566;     9;     1
 19640401;   52500;   2.191;     9;     1
 19640402;   45300;   1.890;     9;     1
 19640403;   41700;   1.740;     9;     1
 19640404;   38800;   1.619;     9;     1
 19640405;   43500;   1.815;     9;     1
 19640406;   38100;   1.590;     9;     1
 19640407;   33800;   1.410;     9;     1
 19640408;   29900;   1.248;     9;     1
 19640409;   26900;   1.122;     9;     1
 19640410;   23600;   0.985;     9;     1
 19640411;   22100;   0.922;     9;     1
 19640412;   19000;   0.793;     9;     1
 19640413;   21500;   0.897;     9;     1
 19640414;   19000;   0.793;     9;     1
 19640415;   19000;   0.793;     9;     1
 19640416;   19000;   0.793;     9;     1
 19640417;   17500;   0.730;     9;     1
 19640418;   16500;   0.688;     9;     1
 19640419;   16100;   0.672;     9;     1
 19640420;   20200;   0.843;     9;     1
 19640421;   20200;   0.843;     9;     1
 19640422;   21000;   0.876;     9;     1
 19640423;   17700;   0.739;     9;     1
 19640424;   20400;   0.851;     9;     1
 19640425;   29800;   1.243;     9;     1
 19640426;   37700;   1.573;     9;     1
 19640427;   29900;   1.248;     9;     1
 19640428;   27500;   1.147;     9;     1
 19640429;   22700;   0.947;     9;     1
 19640430;   21500;   0.897;     9;     1
 19640501;   21200;   0.885;     9;     1
 19640502;   20200;   0.843;     9;     1
 19640503;   18700;   0.780;     9;     1
 19640504;   21000;   0.876;     9;     1
 19640505;   43000;   1.794;     9;     1
 19640506;   81000;   3.380;     9;     1
 19640507;   99500;   4.152;     9;     1
 19640508;  108000;   4.507;     5;     1
 19640509;   98000;   4.089;     9;     1
 19640510;   74500;   3.109;     9;     1
 19640511;   57500;   2.399;     9;     1
 19640512;   44100;   1.840;     9;     1
 19640513;   35400;   1.477;     9;     1
 19640514;   26000;   1.085;     9;     1
 19640515;   24500;   1.022;     9;     1
 19640516;   22700;   0.947;     9;     1
 19640517;   19000;   0.793;     9;     1
 19640518;   19000;   0.793;     9;     1
 19640519;   19000;   0.793;     9;     1
 19640520;   16500;   0.688;     9;     1
 19640521;   23000;   0.960;     9;     1
 19640522;   25400;   1.060;     9;     1
 19640523;   21500;   0.897;     9;     1
 19640524;   16500;   0.688;     9;     1
 19640525;   16500;   0.688;     9;     1
 19640526;   16100;   0.672;     9;     1
 19640527;   14900;   0.622;     9;     1
 19640528;   14500;   0.605;     9;     1
 19640529;   14500;   0.605;     9;     1
 19640530;   14500;   0.605;     9;     1
 19640531;   12600;   0.526;     9;     1
 19640601;   10800;   0.451;     9;     1
 19640602;   11000;   0.459;     9;     1
 19640603;   11300;   0.472;     9;     1
 19640604;   11700;   0.488;     9;     1
 19640605;   11200;   0.467;     9;     1
 19640606;   10800;   0.451;     9;     0
 19640607;   10800;   0.451;     9;     0
 19640608;   10800;   0.451;     9;     0
 19640609;   10800;   0.451;     9;     0
 19640610;   10800;   0.451;     9;     0
 19640611;    9000;   0.376;     9;     1
 19640612;    9000;   0.376;     9;     1
 19640613;    9000;   0.376;     9;     1
 19640614;    8650;   0.361;     9;     1
 19640615;    9000;   0.376;     9;     1
 19640616;    9000;   0.376;     9;     1
 19640617;    9000;   0.376;     9;     1
 19640618;    9000;   0.376;     9;     1
 19640619;    8100;   0.338;     9;     1
 19640620;    5400;   0.225;     9;     1
 19640621;    7550;   0.315;     9;     1
 19640622;    7200;   0.300;     9;     0
 19640623;    7200;   0.300;     9;     0
 19640624;    7200;   0.300;     9;     0
 19640625;    7200;   0.300;     9;     0
 19640626;    7200;   0.300;     9;     0
 19640627;    6850;   0.286;     9;     1
 19640628;    6300;   0.263;     9;     1
 19640629;    7000;   0.292;     9;     1
 19640630;    7000;   0.292;     9;     1
 19640701;    7000;   0.292;     9;     1
 19640702;    7000;   0.292;     9;     1
 19640703;    6850;   0.286;     9;     1
 19640704;    6300;   0.263;     9;     1
 19640705;    5600;   0.234;     9;     1
 19640706;    4700;   0.196;     9;     1
 19640707;    5400;   0.225;     9;     1
 19640708;    5400;   0.225;     9;     1
 19640709;    5400;   0.225;     9;     1
 19640710;    5050;   0.211;     9;     1
 19640711;    5050;   0.211;     9;     1
 19640712;    4500;   0.188;     9;     1
 19640713;    4860;   0.203;     9;     1
 19640714;    4860;   0.203;     9;     1
 19640715;    4500;   0.188;     9;     1
 19640716;    4500;   0.188;     9;     1
 19640717;    4500;   0.188;     9;     1
 19640718;    4140;   0.173;     9;     1
 19640719;    3960;   0.165;     9;     1
 19640720;    4500;   0.188;     9;     1
 19640721;    4500;   0.188;     9;     1
 19640722;    4140;   0.173;     9;     1
 19640723;    4140;   0.173;     9;     1
 19640724;    3960;   0.165;     9;     1
 19640725;    3600;   0.150;     9;     1
 19640726;    3250;   0.136;     9;     1
 19640727;    3600;   0.150;     9;     0
 19640728;    3600;   0.150;     9;     0
 19640729;    3600;   0.150;     9;     0
 19640730;    3600;   0.150;     9;     0
 19640731;    3600;   0.150;     9;     0
 19640801;    3600;   0.150;     9;     0
 19640802;    3420;   0.143;     9;     1
 19640803;    3600;   0.150;     9;     1
 19640804;    3420;   0.143;     9;     1
 19640805;    3420;   0.143;     9;     1
 19640806;    3420;   0.143;     9;     1
 19640807;    3420;   0.143;     9;     1
 19640808;    3250;   0.136;     9;     1
 19640809;    3250;   0.136;     9;     1
 19640810;    3250;   0.136;     9;     1
 19640811;    3250;   0.136;     9;     1
 19640812;    5400;   0.225;     9;     1
 19640813;    3600;   0.150;     9;     1
 19640814;    3250;   0.136;     9;     1
 19640815;    3250;   0.136;     9;     1
 19640816;    3250;   0.136;     9;     1
 19640817;    3250;   0.136;     9;     1
 19640818;    3420;   0.143;     9;     1
 19640819;    3420;   0.143;     9;     1
 19640820;    3600;   0.150;     9;     1
 19640821;    3250;   0.136;     9;     0
 19640822;    3250;   0.136;     9;     0
 19640823;    3250;   0.136;     9;     0
