## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:09
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1224010
## Nom station                      : La Tille à Arceau [Arcelot]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      865225 ;    6699263 ;      865206 ;    6699293 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      815388 ;    2267613 ;      815413 ;    2267649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.18981 ;   47.37308 ;     5.18956 ;   47.37336 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      846.00 ;     845.04 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         223 ;        223 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-07-06 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660706;    1560;   0.160;     9;     1
 19660707;    1520;   0.155;     9;     1
 19660708;    1460;   0.149;     9;     1
 19660709;    1470;   0.150;     9;     1
 19660710;    1610;   0.165;     9;     1
 19660711;    1620;   0.166;     9;     1
 19660712;    1550;   0.158;     9;     1
 19660713;    1480;   0.151;     9;     1
 19660714;    1420;   0.145;     9;     1
 19660715;    1350;   0.138;     9;     1
 19660716;    1290;   0.132;     9;     1
 19660717;    1230;   0.126;     9;     1
 19660718;    1190;   0.122;     9;     1
 19660719;    1230;   0.126;     9;     1
 19660720;    1160;   0.119;     9;     1
 19660721;    1170;   0.120;     9;     1
 19660722;    1030;   0.105;     9;     1
 19660723;     996;   0.102;     9;     1
 19660724;     913;   0.093;     9;     1
 19660725;     812;   0.083;     9;     1
 19660726;     808;   0.083;     9;     1
 19660727;     760;   0.078;     9;     1
 19660728;     722;   0.074;     9;     1
 19660729;     690;   0.071;     9;     1
 19660730;     652;   0.067;     9;     1
 19660731;     659;   0.067;     9;     1
 19660801;     680;   0.070;     9;     1
 19660802;     730;   0.075;     9;     1
 19660803;     682;   0.070;     9;     1
 19660804;    1090;   0.111;     9;     1
 19660805;    2660;   0.272;     9;     1
 19660806;    3580;   0.366;     9;     1
 19660807;    3400;   0.348;     9;     1
 19660808;    3120;   0.319;     9;     1
 19660809;    2720;   0.278;     9;     1
 19660810;    2570;   0.263;     9;     1
 19660811;    2240;   0.229;     9;     1
 19660812;    1900;   0.194;     9;     1
 19660813;    1680;   0.172;     9;     1
 19660814;    1470;   0.150;     9;     1
 19660815;    1380;   0.141;     9;     1
 19660816;    1230;   0.126;     9;     1
 19660817;    1090;   0.111;     9;     1
 19660818;    1050;   0.107;     9;     1
 19660819;    1050;   0.107;     9;     1
 19660820;    1090;   0.111;     9;     1
 19660821;    1150;   0.118;     9;     1
 19660822;    1150;   0.118;     9;     1
 19660823;    1180;   0.121;     9;     1
 19660824;    1130;   0.116;     9;     1
 19660825;    1170;   0.120;     9;     1
 19660826;     997;   0.102;     9;     1
 19660827;    1090;   0.111;     9;     1
 19660828;     865;   0.088;     9;     1
 19660829;    1040;   0.106;     9;     1
 19660830;     892;   0.091;     9;     1
 19660831;     909;   0.093;     9;     1
 19660901;     918;   0.094;     9;     1
 19660902;     912;   0.093;     9;     1
 19660903;     891;   0.091;     9;     1
 19660904;     828;   0.085;     9;     1
 19660905;     775;   0.079;     9;     1
 19660906;     717;   0.073;     9;     1
 19660907;     725;   0.074;     9;     1
 19660908;     712;   0.073;     9;     1
 19660909;     635;   0.065;     9;     1
 19660910;     559;   0.057;     9;     1
 19660911;     512;   0.052;     9;     1
 19660912;     537;   0.055;     9;     1
 19660913;     552;   0.056;     9;     1
 19660914;     512;   0.052;     9;     1
 19660915;     567;   0.058;     9;     1
 19660916;     515;   0.053;     9;     1
 19660917;     511;   0.052;     9;     1
 19660918;     497;   0.051;     9;     1
 19660919;     413;   0.042;     9;     1
 19660920;     446;   0.046;     9;     1
 19660921;     471;   0.048;     9;     1
 19660922;     401;   0.041;     9;     1
 19660923;     351;   0.036;     9;     1
 19660924;     381;   0.039;     9;     1
 19660925;     357;   0.037;     9;     1
 19660926;     326;   0.033;     9;     1
 19660927;     309;   0.032;     9;     1
 19660928;     302;   0.031;     9;     1
