## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1224020
## Nom station                      : La Tille à Cessey-sur-Tille
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      867651 ;    6689037 ;      867617 ;    6689080 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      817903 ;    2257400 ;      817913 ;    2257449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.21813 ;   47.28045 ;     5.21770 ;   47.28085 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      884.00 ;     881.82 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         201 ;        202 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1963-01-01 ; 2021-02-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630101;    3980;   0.390;     9;     1
 19630102;    3570;   0.350;     9;     1
 19630103;    3750;   0.367;     9;     1
 19630104;    5250;   0.514;     9;     1
 19630105;    8500;   0.833;     9;     1
 19630106;    9850;   0.965;     9;     1
 19630107;   12200;   1.195;     5;     1
 19630108;   12900;   1.264;     5;     1
 19630109;   12600;   1.235;     5;     1
 19630110;   12300;   1.205;     5;     1
 19630111;   11500;   1.127;     5;     1
 19630112;   10700;   1.048;     9;     1
 19630113;    9500;   0.931;     9;     1
 19630114;    8100;   0.794;     9;     1
 19630115;    7050;   0.691;     9;     1
 19630116;    6400;   0.627;     9;     1
 19630117;    5850;   0.573;     9;     1
 19630118;    5300;   0.519;     9;     1
 19630119;    5150;   0.505;     9;     1
 19630120;    4330;   0.424;     9;     1
 19630121;    4040;   0.396;     9;     1
 19630122;    3640;   0.357;     9;     1
 19630123;    3470;   0.340;     9;     1
 19630124;    2730;   0.267;     9;     1
 19630125;    2190;   0.215;     9;     1
 19630126;    1970;   0.193;     9;     1
 19630127;    1990;   0.195;     9;     1
 19630128;    1870;   0.183;     9;     1
 19630129;    1840;   0.180;     9;     1
 19630130;    1810;   0.177;     9;     1
 19630131;    1840;   0.180;     9;     1
 19630201;    1670;   0.164;     9;     1
 19630202;    1830;   0.179;     9;     1
 19630203;    1380;   0.135;     9;     1
 19630204;    1400;   0.137;     9;     1
 19630205;    1340;   0.131;     9;     1
 19630206;    1250;   0.122;     9;     1
 19630207;    1170;   0.115;     9;     1
 19630208;    1130;   0.111;     9;     1
 19630209;    1150;   0.113;     9;     1
 19630210;    1190;   0.117;     9;     1
 19630211;    1200;   0.118;     9;     1
 19630212;    1200;   0.118;     9;     1
 19630213;    1190;   0.117;     9;     1
 19630214;    1040;   0.102;     9;     1
 19630215;    1070;   0.105;     9;     1
 19630216;     985;   0.097;     9;     1
 19630217;    1010;   0.099;     9;     1
 19630218;    1290;   0.126;     9;     1
 19630219;    1430;   0.140;     9;     1
 19630220;    1500;   0.147;     9;     1
 19630221;    1890;   0.185;     9;     1
 19630222;    2720;   0.267;     9;     1
 19630223;    2400;   0.235;     9;     1
 19630224;    2100;   0.206;     9;     1
 19630225;    2120;   0.208;     9;     1
 19630226;    1820;   0.178;     9;     1
 19630227;    1780;   0.174;     9;     1
 19630228;    1630;   0.160;     9;     1
 19630301;    1470;   0.144;     9;     1
 19630302;    1420;   0.139;     9;     1
 19630303;    1200;   0.118;     9;     1
 19630304;    1220;   0.120;     9;     1
 19630305;    1200;   0.118;     9;     1
 19630306;    1060;   0.104;     9;     1
 19630307;    1140;   0.112;     9;     1
 19630308;    1090;   0.107;     9;     1
 19630309;    1300;   0.127;     9;     1
 19630310;    1280;   0.125;     9;     1
 19630311;    1750;   0.171;     9;     1
 19630312;    2380;   0.233;     9;     1
 19630313;    3420;   0.335;     9;     1
 19630314;    4140;   0.406;     9;     1
 19630315;    4720;   0.462;     9;     1
 19630316;    5250;   0.514;     9;     1
 19630317;    5450;   0.534;     9;     1
 19630318;    5800;   0.568;     9;     1
 19630319;    6300;   0.617;     9;     1
 19630320;    7900;   0.774;     9;     1
 19630321;   10800;   1.058;     9;     1
 19630322;   13500;   1.323;     5;     1
 19630323;   14300;   1.401;     5;     1
 19630324;   14200;   1.391;     5;     1
