## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:12
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1235020
## Nom station                      : La Norges à Genlis
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      868044 ;    6684325 ;      867976 ;    6684380 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      818337 ;    2252688 ;      818313 ;    2252749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.22158 ;   47.23795 ;     5.22070 ;   47.23846 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      266.00 ;     270.58 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         196 ;        194 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1963-01-01 ; 2021-02-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630101;    1220;   0.390;     9;     1
 19630102;    1250;   0.399;     9;     1
 19630103;    1510;   0.482;     9;     1
 19630104;    2300;   0.734;     9;     1
 19630105;    2910;   0.929;     9;     1
 19630106;    3470;   1.108;     9;     1
 19630107;    3820;   1.220;     9;     1
 19630108;    4200;   1.341;     9;     1
 19630109;    4300;   1.373;     9;     1
 19630110;    4210;   1.344;     9;     1
 19630111;    3910;   1.249;     9;     1
 19630112;    3580;   1.143;     9;     1
 19630113;    3180;   1.015;     9;     1
 19630114;    2770;   0.884;     9;     1
 19630115;    2600;   0.830;     9;     1
 19630116;    2410;   0.770;     9;     1
 19630117;    2230;   0.712;     9;     1
 19630118;    2000;   0.639;     9;     1
 19630119;    1870;   0.597;     9;     1
 19630120;    1790;   0.572;     9;     1
 19630121;    1640;   0.524;     9;     1
 19630122;    1420;   0.453;     9;     1
 19630123;    1320;   0.421;     9;     1
 19630124;    1330;   0.425;     9;     1
 19630125;    1300;   0.415;     9;     1
 19630126;    1230;   0.393;     9;     1
 19630127;    1210;   0.386;     9;     1
 19630128;    1140;   0.364;     9;     1
 19630129;    1140;   0.364;     9;     1
 19630130;    1140;   0.364;     9;     1
 19630131;    1120;   0.358;     9;     1
 19630201;    1010;   0.323;     9;     1
 19630202;     960;   0.307;     9;     1
 19630203;     945;   0.302;     9;     1
 19630204;    1030;   0.329;     9;     1
 19630205;    1020;   0.326;     9;     1
 19630206;     960;   0.307;     9;     1
 19630207;     920;   0.294;     9;     1
 19630208;     900;   0.287;     9;     0
 19630209;     900;   0.287;     9;     0
 19630210;     900;   0.287;     9;     0
 19630211;     900;   0.287;     9;     0
 19630212;     900;   0.287;     9;     0
 19630213;     935;   0.299;     9;     1
 19630214;     900;   0.287;     9;     1
 19630215;     900;   0.287;     9;     1
 19630216;     900;   0.287;     9;     1
 19630217;     980;   0.313;     9;     1
 19630218;     980;   0.313;     9;     1
 19630219;     980;   0.313;     9;     1
 19630220;    1020;   0.326;     9;     1
 19630221;    1400;   0.447;     9;     1
 19630222;    1390;   0.444;     9;     1
 19630223;    1390;   0.444;     9;     1
 19630224;    1350;   0.431;     9;     1
 19630225;    1320;   0.421;     9;     1
 19630226;    1210;   0.386;     9;     1
 19630227;    1250;   0.399;     9;     1
 19630228;    1240;   0.396;     9;     1
 19630301;    1220;   0.390;     9;     1
 19630302;    1120;   0.358;     9;     1
 19630303;    1030;   0.329;     9;     1
 19630304;     925;   0.295;     9;     1
 19630305;     900;   0.287;     9;     1
 19630306;     880;   0.281;     9;     1
 19630307;     900;   0.287;     9;     1
 19630308;     940;   0.300;     9;     1
 19630309;     980;   0.313;     9;     1
 19630310;    1110;   0.354;     9;     1
 19630311;    1280;   0.409;     9;     1
 19630312;    1550;   0.495;     9;     1
 19630313;    1880;   0.600;     9;     1
 19630314;    2050;   0.655;     9;     1
 19630315;    1950;   0.623;     9;     1
 19630316;    2150;   0.687;     9;     1
 19630317;    2130;   0.680;     9;     1
 19630318;    2170;   0.693;     9;     1
 19630319;    2320;   0.741;     9;     1
 19630320;    2530;   0.808;     9;     1
 19630321;    2730;   0.872;     9;     1
 19630322;    3100;   0.990;     9;     1
 19630323;    3530;   1.127;     9;     1
 19630324;    3500;   1.118;     9;     1
 19630325;    3360;   1.073;     9;     1
 19630326;    3250;   1.038;     9;     1
 19630327;    3460;   1.105;     9;     1
 19630328;    3440;   1.098;     9;     1
 19630329;    3590;   1.146;     9;     1
 19630330;    4140;   1.322;     9;     1
 19630331;    4420;   1.411;     9;     1
 19630401;    4420;   1.411;     9;     1
 19630402;    4220;   1.348;     9;     1
 19630403;    3940;   1.258;     9;     1
 19630404;    3760;   1.201;     9;     1
 19630405;    3600;   1.150;     9;     1
 19630406;    3400;   1.086;     9;     1
 19630407;    3150;   1.006;     9;     1
 19630408;    2950;   0.942;     9;     1
 19630409;    2680;   0.856;     9;     1
 19630410;    3100;   0.990;     9;     1
 19630411;    5500;   1.756;     9;     1
 19630412;    5500;   1.756;     9;     1
 19630413;    5300;   1.692;     9;     1
 19630414;    5450;   1.740;     9;     1
 19630415;    5450;   1.740;     9;     1
 19630416;    5150;   1.644;     9;     1
 19630417;    4890;   1.561;     9;     1
 19630418;    4650;   1.485;     9;     1
 19630419;    4220;   1.348;     9;     1
 19630420;    3750;   1.197;     9;     1
 19630421;    3470;   1.108;     9;     1
 19630422;    3130;   0.999;     9;     1
 19630423;    2950;   0.942;     9;     1
 19630424;    2800;   0.894;     9;     1
 19630425;    2520;   0.805;     9;     1
 19630426;    2420;   0.773;     9;     1
 19630427;    2360;   0.754;     9;     1
 19630428;    2230;   0.712;     9;     1
 19630429;    2130;   0.680;     9;     1
 19630430;    2080;   0.664;     9;     1
 19630501;    2050;   0.655;     9;     1
 19630502;    2240;   0.715;     9;     1
 19630503;    2260;   0.722;     9;     1
