## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:17
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U1324010
## Nom station                      : L'Ouche à Plombières-lès-Dijon
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      849618 ;    6694367 ;      849575 ;    6694330 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      799810 ;    2262580 ;      799813 ;    2262549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.98141 ;   47.33274 ;     4.98084 ;   47.33241 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       651.0 ;      651.4 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         243 ;        245 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.9 [%]
## Débits disponibles               :  1964-07-01 ; 2021-02-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640701;     795;   0.105;     9;     1
 19640702;     795;   0.105;     9;     1
 19640703;     740;   0.098;     9;     1
 19640704;     780;   0.103;     9;     1
 19640705;     765;   0.101;     9;     1
 19640706;     750;   0.099;     9;     1
 19640707;     630;   0.084;     9;     1
 19640708;     645;   0.086;     9;     1
 19640709;     695;   0.092;     9;     1
 19640710;     700;   0.093;     9;     1
 19640711;     700;   0.093;     9;     1
 19640712;     675;   0.090;     9;     1
 19640713;     630;   0.084;     9;     1
 19640714;     625;   0.083;     9;     1
 19640715;     655;   0.087;     9;     1
 19640716;     650;   0.086;     9;     1
 19640717;     675;   0.090;     9;     1
 19640718;     635;   0.084;     9;     1
 19640719;     655;   0.087;     9;     1
 19640720;     630;   0.084;     9;     1
 19640721;     600;   0.080;     9;     1
 19640722;     595;   0.079;     9;     1
 19640723;     565;   0.075;     9;     1
 19640724;     540;   0.072;     9;     1
 19640725;     493;   0.065;     9;     1
 19640726;     530;   0.070;     9;     1
 19640727;     550;   0.073;     9;     1
 19640728;     510;   0.068;     9;     1
 19640729;     479;   0.064;     9;     1
 19640730;     488;   0.065;     9;     1
 19640731;     479;   0.064;     9;     1
 19640801;     493;   0.065;     9;     1
 19640802;     595;   0.079;     9;     1
 19640803;     498;   0.066;     9;     1
 19640804;     530;   0.070;     9;     1
 19640805;     540;   0.072;     9;     1
 19640806;     540;   0.072;     9;     1
 19640807;     625;   0.083;     9;     1
 19640808;     785;   0.104;     9;     1
 19640809;    1000;   0.133;     9;     1
 19640810;     825;   0.109;     9;     1
 19640811;     765;   0.101;     9;     1
 19640812;     680;   0.090;     9;     1
 19640813;     655;   0.087;     9;     1
 19640814;     650;   0.086;     9;     1
 19640815;     625;   0.083;     9;     1
 19640816;     625;   0.083;     9;     1
 19640817;     600;   0.080;     9;     1
 19640818;     760;   0.101;     9;     1
 19640819;     820;   0.109;     9;     1
 19640820;     720;   0.095;     9;     1
 19640821;     700;   0.093;     9;     1
 19640822;     565;   0.075;     9;     1
 19640823;     570;   0.076;     9;     1
 19640824;     510;   0.068;     9;     1
 19640825;     479;   0.064;     9;     1
 19640826;     479;   0.064;     9;     1
 19640827;     434;   0.058;     9;     1
 19640828;     444;   0.059;     9;     1
 19640829;     424;   0.056;     9;     1
 19640830;     414;   0.055;     9;     1
 19640831;     421;   0.056;     9;     1
 19640901;     439;   0.058;     9;     1
 19640902;     420;   0.056;     9;     1
 19640903;     420;   0.056;     9;     1
 19640904;     434;   0.058;     9;     1
 19640905;     434;   0.058;     9;     1
 19640906;     464;   0.062;     9;     1
 19640907;     540;   0.072;     9;     1
 19640908;     575;   0.076;     9;     1
 19640909;     535;   0.071;     9;     1
 19640910;     498;   0.066;     9;     1
 19640911;     625;   0.083;     9;     1
 19640912;     455;   0.060;     9;     1
 19640913;     447;   0.059;     9;     1
 19640914;     454;   0.060;     9;     1
 19640915;     421;   0.056;     9;     1
 19640916;     530;   0.070;     9;     1
 19640917;     895;   0.119;     9;     1
 19640918;    1090;   0.145;     9;     1
 19640919;     960;   0.127;     9;     1
 19640920;     675;   0.090;     9;     1
 19640921;     615;   0.082;     9;     1
 19640922;     675;   0.090;     9;     1
 19640923;     610;   0.081;     9;     1
 19640924;     540;   0.072;     9;     1
 19640925;     479;   0.064;     9;     1
 19640926;     469;   0.062;     9;     1
 19640927;     479;   0.064;     9;     1
 19640928;     493;   0.065;     9;     1
 19640929;     498;   0.066;     9;     1
 19640930;     493;   0.065;     9;     1
