## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:04:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U2356610
## Nom station                      : Le Rupt à Dung
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      982453 ;    6717826 ;      982381 ;    6717870 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      932546 ;    2287200 ;      932513 ;    2287249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.75331 ;   47.50038 ;     6.75238 ;   47.50080 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       42.20 ;      43.41 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         322 ;        323 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.6 [%]
## Débits disponibles               :  1968-08-28 ; 2021-03-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680828;      70;   0.139;     9;     1
 19680829;     230;   0.458;     9;     1
 19680830;     700;   1.393;     9;     1
 19680831;    4360;   8.678;     9;     1
 19680901;    2850;   5.672;     9;     1
 19680902;    1090;   2.169;     9;     1
 19680903;     930;   1.851;     9;     1
 19680904;    1220;   2.428;     9;     1
 19680905;    1050;   2.090;     9;     1
 19680906;     800;   1.592;     9;     1
 19680907;     600;   1.194;     9;     1
 19680908;     500;   0.995;     9;     1
 19680909;     450;   0.896;     9;     1
 19680910;     420;   0.836;     9;     1
 19680911;     450;   0.896;     9;     1
 19680912;     550;   1.095;     5;     1
 19680913;     450;   0.896;     5;     1
 19680914;     400;   0.796;     5;     1
 19680915;    1700;   3.384;     5;     1
 19680916;    3000;   5.971;     5;     1
 19680917;    1990;   3.961;     9;     1
 19680918;    1130;   2.249;     9;     1
 19680919;     800;   1.592;     9;     1
 19680920;     650;   1.294;     9;     1
 19680921;    1590;   3.165;     9;     1
 19680922;    9420;  18.749;     9;     1
 19680923;    5700;  11.345;     9;     1
 19680924;    2380;   4.737;     9;     1
 19680925;    1610;   3.204;     9;     1
 19680926;    1270;   2.528;     9;     1
 19680927;    1010;   2.010;     9;     1
 19680928;     906;   1.803;     9;     1
 19680929;     944;   1.879;     9;     1
 19680930;     979;   1.949;     9;     1
 19681001;     989;   1.968;     9;     1
 19681002;     963;   1.917;     9;     1
 19681003;     879;   1.749;     9;     1
 19681004;     806;   1.604;     9;     1
 19681005;     687;   1.367;     9;     1
 19681006;     644;   1.282;     9;     1
 19681007;     630;   1.254;     9;     1
 19681008;     770;   1.533;     9;     1
 19681009;    1200;   2.388;     9;     1
 19681010;    1000;   1.990;     9;     1
 19681011;     890;   1.771;     9;     1
 19681012;     850;   1.692;     9;     1
 19681013;     800;   1.592;     9;     1
 19681014;     910;   1.811;     9;     1
 19681015;    1490;   2.966;     9;     1
 19681016;    1450;   2.886;     9;     1
 19681017;    1070;   2.130;     9;     1
 19681018;     900;   1.791;     9;     1
 19681019;     800;   1.592;     9;     1
 19681020;     740;   1.473;     9;     1
 19681021;     670;   1.334;     9;     1
 19681022;     650;   1.294;     9;     1
 19681023;     620;   1.234;     9;     1
 19681024;     660;   1.314;     9;     1
 19681025;     630;   1.254;     9;     1
 19681026;     580;   1.154;     9;     1
 19681027;     550;   1.095;     9;     1
 19681028;     500;   0.995;     9;     1
 19681029;     500;   0.995;     9;     1
 19681030;     500;   0.995;     9;     1
 19681031;     500;   0.995;     9;     1
 19681101;     480;   0.955;     9;     1
 19681102;     480;   0.955;     9;     1
 19681103;     783;   1.558;     9;     1
 19681104;    2700;   5.374;     9;     1
 19681105;    4950;   9.852;     9;     1
 19681106;    2550;   5.075;     9;     1
 19681107;    1380;   2.747;     9;     1
 19681108;     982;   1.954;     9;     1
 19681109;     774;   1.541;     9;     1
 19681110;     708;   1.409;     9;     1
 19681111;     645;   1.284;     9;     1
 19681112;     610;   1.214;     9;     1
 19681113;     567;   1.129;     9;     1
 19681114;     517;   1.029;     9;     1
 19681115;     454;   0.904;     9;     1
 19681116;     445;   0.886;     9;     1
 19681117;     416;   0.828;     9;     1
 19681118;     384;   0.764;     9;     1
 19681119;     368;   0.732;     9;     1
 19681120;     480;   0.955;     9;     1
 19681121;     480;   0.955;     9;     1
