## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U2615830
## Nom station                      : Le Lison à Myon
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      924585 ;    6663257 ;      924552 ;    6663210 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      875104 ;    2232091 ;      875113 ;    2232049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.95802 ;   47.03169 ;     5.95756 ;   47.03127 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      253.00 ;     283.51 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         317 ;        325 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.2 [%]
## Débits disponibles               :  1968-07-13 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680713;    1290;   0.393;     9;     1
 19680714;    1180;   0.360;     9;     1
 19680715;    2540;   0.774;     9;     1
 19680716;    3280;   1.000;     9;     1
 19680717;    3280;   1.000;     9;     1
 19680718;    2720;   0.829;     9;     1
 19680719;    2540;   0.774;     9;     1
 19680720;    1760;   0.536;     9;     1
 19680721;    1400;   0.427;     9;     1
 19680722;    1290;   0.393;     9;     1
 19680723;    1070;   0.326;     9;     1
 19680724;    1640;   0.500;     9;     1
 19680725;    1290;   0.393;     9;     1
 19680726;    1070;   0.326;     9;     1
 19680727;     960;   0.293;     9;     1
 19680728;     760;   0.232;     9;     1
 19680729;     670;   0.204;     9;     1
 19680730;     760;   0.232;     9;     1
 19680731;    1290;   0.393;     9;     1
 19680801;    4040;   1.231;     9;     1
 19680802;   14800;   4.510;     9;     1
 19680803;   26700;   8.137;     9;     1
 19680804;   19300;   5.882;     9;     1
 19680805;   14100;   4.297;     9;     1
 19680806;   11500;   3.505;     9;     1
 19680807;    8300;   2.529;     9;     1
 19680808;    6700;   2.042;     9;     1
 19680809;    7500;   2.286;     9;     1
 19680810;    6000;   1.829;     9;     1
 19680811;   10300;   3.139;     9;     1
 19680812;    9450;   2.880;     9;     1
 19680813;    5750;   1.752;     9;     1
 19680814;   20000;   6.095;     9;     1
 19680815;   35500;  10.819;     9;     1
 19680816;   22600;   6.887;     9;     1
 19680817;   17900;   5.455;     9;     1
 19680818;   13700;   4.175;     9;     1
 19680819;   10000;   3.048;     9;     1
 19680820;    7500;   2.286;     9;     1
 19680821;    5050;   1.539;     9;     1
 19680822;    4040;   1.231;     9;     1
 19680823;    2540;   0.774;     9;     1
 19680824;    1880;   0.573;     9;     1
 19680825;    1640;   0.500;     9;     1
 19680826;    1520;   0.463;     9;     1
 19680827;    1400;   0.427;     9;     1
 19680828;    1400;   0.427;     9;     1
 19680829;    2540;   0.774;     9;     1
 19680830;   13100;   3.992;     9;     1
 19680831;   38500;  11.733;     9;     1
 19680901;   24100;   7.345;     9;     1
 19680902;   18300;   5.577;     9;     1
 19680903;   15500;   4.724;     9;     1
 19680904;   22200;   6.765;     9;     1
 19680905;   29400;   8.960;     9;     1
 19680906;   20000;   6.095;     9;     1
 19680907;   14400;   4.388;     9;     1
 19680908;    9150;   2.788;     9;     1
 19680909;    5500;   1.676;     9;     1
 19680910;    4230;   1.289;     9;     1
 19680911;    3800;   1.158;     9;     1
 19680912;    3500;   1.067;     9;     1
 19680913;    3000;   0.914;     9;     1
 19680914;    2000;   0.610;     9;     1
 19680915;   19200;   5.851;     9;     1
 19680916;   27100;   8.259;     9;     1
 19680917;   19200;   5.851;     9;     1
 19680918;   13700;   4.175;     9;     1
 19680919;    8300;   2.529;     9;     1
 19680920;    5050;   1.539;     9;     1
 19680921;   17200;   5.242;     9;     1
 19680922;   85500;  26.056;     9;     1
 19680923;   48200;  14.689;     9;     1
 19680924;   39000;  11.885;     9;     1
 19680925;   30300;   9.234;     9;     1
 19680926;   22200;   6.765;     9;     1
 19680927;   17900;   5.455;     9;     1
 19680928;   17200;   5.242;     9;     1
 19680929;   15800;   4.815;     9;     1
 19680930;   12700;   3.870;     9;     1
 19681001;   11200;   3.413;     9;     1
 19681002;    9700;   2.956;     9;     1
 19681003;    7750;   2.362;     9;     1
