## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:16
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U2634010
## Nom station                      : La Loue à Champagne-sur-Loue
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      913726 ;    6664182 ;      913669 ;    6664203 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      864228 ;    2232923 ;      864213 ;    2232949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.81555 ;   47.04358 ;     5.81481 ;   47.04379 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1509.00 ;    1264.02 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         237 ;        236 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1963-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630101;   49400;   3.377;     9;     1
 19630102;   48200;   3.295;     9;     1
 19630103;   89000;   6.083;     9;     1
 19630104;   90500;   6.186;     9;     1
 19630105;   77500;   5.297;     9;     1
 19630106;  121000;   8.271;     9;     1
 19630107;  140000;   9.569;     9;     1
 19630108;  129000;   8.818;     9;     1
 19630109;   96000;   6.562;     9;     1
 19630110;   81500;   5.571;     9;     1
 19630111;  116000;   7.929;     9;     1
 19630112;  103000;   7.040;     9;     1
 19630113;   74500;   5.092;     9;     1
 19630114;   56000;   3.828;     9;     1
 19630115;   46000;   3.144;     9;     1
 19630116;   39100;   2.673;     9;     1
 19630117;   33700;   2.304;     9;     1
 19630118;   29400;   2.010;     9;     1
 19630119;   27600;   1.887;     9;     1
 19630120;   26700;   1.825;     9;     1
 19630121;   24400;   1.668;     9;     1
 19630122;     -99; -99.000;   -99;   -99
 19630123;     -99; -99.000;   -99;   -99
 19630124;     -99; -99.000;   -99;   -99
 19630125;     -99; -99.000;   -99;   -99
 19630126;     -99; -99.000;   -99;   -99
 19630127;     -99; -99.000;   -99;   -99
 19630128;     -99; -99.000;   -99;   -99
 19630129;     -99; -99.000;   -99;   -99
 19630130;     -99; -99.000;   -99;   -99
 19630131;     -99; -99.000;   -99;   -99
 19630201;     -99; -99.000;   -99;   -99
 19630202;     -99; -99.000;   -99;   -99
 19630203;     -99; -99.000;   -99;   -99
 19630204;     -99; -99.000;   -99;   -99
 19630205;     -99; -99.000;   -99;   -99
 19630206;     -99; -99.000;   -99;   -99
 19630207;     -99; -99.000;   -99;   -99
 19630208;     -99; -99.000;   -99;   -99
 19630209;     -99; -99.000;   -99;   -99
 19630210;     -99; -99.000;   -99;   -99
 19630211;   14200;   0.971;     9;     1
 19630212;   20700;   1.415;     9;     1
 19630213;   18900;   1.292;     9;     1
 19630214;   14900;   1.018;     9;     1
 19630215;   15200;   1.039;     9;     1
 19630216;   25100;   1.716;     9;     1
 19630217;   34200;   2.338;     9;     1
 19630218;   27900;   1.907;     9;     1
 19630219;   34100;   2.331;     9;     1
 19630220;  107000;   7.314;     9;     1
 19630221;   95000;   6.494;     9;     1
 19630222;   52000;   3.554;     9;     1
 19630223;   35800;   2.447;     9;     1
 19630224;   28500;   1.948;     9;     1
 19630225;   22200;   1.517;     9;     1
 19630226;   18900;   1.292;     9;     1
 19630227;   16500;   1.128;     9;     1
 19630228;   15600;   1.066;     9;     1
 19630301;   15100;   1.032;     9;     1
 19630302;   15000;   1.025;     9;     1
 19630303;   15500;   1.059;     9;     1
 19630304;   17100;   1.169;     9;     1
 19630305;   22200;   1.517;     9;     1
 19630306;   25700;   1.757;     9;     1
 19630307;   29200;   1.996;     9;     1
 19630308;   41500;   2.837;     9;     1
 19630309;   72500;   4.956;     9;     1
 19630310;   97500;   6.664;     9;     1
 19630311;  123000;   8.407;     9;     1
 19630312;  137000;   9.364;     9;     1
 19630313;  131000;   8.954;     9;     1
 19630314;  126000;   8.613;     9;     1
 19630315;   97500;   6.664;     9;     1
 19630316;   83500;   5.708;     9;     1
 19630317;  103000;   7.040;     9;     1
 19630318;  124000;   8.476;     9;     1
 19630319;  192000;  13.124;     5;     1
 19630320;  193000;  13.192;     5;     1
 19630321;  138000;   9.433;     9;     1
 19630322;  114000;   7.792;     9;     1
