## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:20
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U2722010
## Nom station                      : Le Doubs à Neublans-Abergement
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      878898 ;    6649591 ;      878870 ;    6649613 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      829497 ;    2218021 ;      829513 ;    2218049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.35131 ;   46.92253 ;     5.35096 ;   46.92274 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     7231.00 ;    7346.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         181 ;        180 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1966-08-24 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660824;  190000;   2.235;     9;     1
 19660825;  160000;   1.882;     9;     1
 19660826;  127000;   1.494;     9;     1
 19660827;  110000;   1.294;     9;     1
 19660828;   97800;   1.150;     9;     1
 19660829;   90100;   1.060;     9;     1
 19660830;   85300;   1.003;     9;     1
 19660831;   75200;   0.884;     9;     1
 19660901;   71300;   0.839;     9;     1
 19660902;   66300;   0.780;     9;     1
 19660903;   62000;   0.729;     9;     1
 19660904;   56300;   0.662;     9;     1
 19660905;   53300;   0.627;     9;     1
 19660906;   54900;   0.646;     9;     1
 19660907;   67100;   0.789;     9;     1
 19660908;   63400;   0.746;     9;     1
 19660909;   57700;   0.679;     9;     1
 19660910;   51900;   0.610;     9;     1
 19660911;   47100;   0.554;     9;     1
 19660912;   42900;   0.505;     9;     1
 19660913;   42900;   0.505;     9;     1
 19660914;   81500;   0.959;     9;     1
 19660915;  132000;   1.552;     9;     1
 19660916;  119000;   1.400;     9;     1
 19660917;  110000;   1.294;     9;     1
 19660918;  100000;   1.176;     9;     1
 19660919;   85700;   1.008;     9;     1
 19660920;   76600;   0.901;     9;     1
 19660921;   71900;   0.846;     9;     1
 19660922;   64100;   0.754;     9;     1
 19660923;   58100;   0.683;     9;     1
 19660924;   54900;   0.646;     9;     1
 19660925;   50000;   0.588;     9;     1
 19660926;   47000;   0.553;     9;     1
 19660927;   43800;   0.515;     9;     1
 19660928;   44800;   0.527;     9;     1
 19660929;   43800;   0.515;     9;     1
 19660930;   42700;   0.502;     9;     1
 19661001;   42400;   0.499;     9;     1
 19661002;   41200;   0.485;     9;     1
 19661003;   39300;   0.462;     9;     1
 19661004;   38000;   0.447;     9;     1
 19661005;   37000;   0.435;     9;     1
 19661006;   35100;   0.413;     9;     1
 19661007;   36200;   0.426;     9;     1
 19661008;   33900;   0.399;     9;     1
 19661009;   31800;   0.374;     9;     1
 19661010;   29100;   0.342;     9;     1
 19661011;   28900;   0.340;     9;     1
 19661012;   30400;   0.358;     9;     1
 19661013;   31100;   0.366;     9;     1
 19661014;   30900;   0.363;     9;     1
 19661015;   31200;   0.367;     9;     1
 19661016;   31700;   0.373;     9;     1
 19661017;   29400;   0.346;     9;     1
 19661018;   27900;   0.328;     9;     1
 19661019;   35800;   0.421;     9;     1
 19661020;   68600;   0.807;     9;     1
 19661021;   88700;   1.043;     9;     1
 19661022;   82500;   0.970;     9;     1
 19661023;   82200;   0.967;     9;     1
 19661024;   79700;   0.937;     9;     1
 19661025;   79600;   0.936;     9;     1
 19661026;  141000;   1.658;     9;     1
 19661027;  202000;   2.376;     9;     1
 19661028;  282000;   3.317;     9;     1
 19661029;  261000;   3.070;     9;     1
 19661030;  193000;   2.270;     9;     1
 19661031;  156000;   1.835;     9;     1
 19661101;  132000;   1.552;     9;     1
 19661102;  111000;   1.305;     9;     1
 19661103;   91600;   1.077;     9;     1
 19661104;   91400;   1.075;     9;     1
 19661105;   85800;   1.009;     9;     1
 19661106;   91100;   1.071;     9;     1
 19661107;  116000;   1.364;     9;     1
 19661108;  130000;   1.529;     9;     1
 19661109;  123000;   1.447;     9;     1
 19661110;  141000;   1.658;     9;     1
 19661111;  178000;   2.094;     9;     1
 19661112;  176000;   2.070;     9;     1
 19661113;  148000;   1.741;     9;     1
 19661114;  127000;   1.494;     9;     1
