## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U4014010
## Nom station                      : La Reyssouze à Montagnat
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      876687 ;    6566095 ;      876656 ;    6566099 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      828000 ;    2134440 ;      828013 ;    2134449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.29044 ;   46.17162 ;     5.29004 ;   46.17167 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       84.40 ;      84.05 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         237 ;        240 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.7 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-16 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;    1140;   1.172;     9;     1
 19670102;    1240;   1.275;     9;     1
 19670103;    1900;   1.953;     9;     1
 19670104;    1410;   1.449;     9;     1
 19670105;    1060;   1.090;     9;     1
 19670106;     868;   0.892;     9;     1
 19670107;     710;   0.730;     9;     1
 19670108;     615;   0.632;     9;     1
 19670109;     531;   0.546;     9;     1
 19670110;     460;   0.473;     9;     1
 19670111;     402;   0.413;     9;     1
 19670112;     354;   0.364;     9;     1
 19670113;     362;   0.372;     9;     1
 19670114;     578;   0.594;     9;     1
 19670115;     857;   0.881;     9;     1
 19670116;     736;   0.757;     9;     1
 19670117;     609;   0.626;     9;     1
 19670118;     519;   0.534;     9;     1
 19670119;     462;   0.475;     9;     1
 19670120;     416;   0.428;     9;     1
 19670121;     476;   0.489;     9;     1
 19670122;    1210;   1.244;     9;     1
 19670123;    1260;   1.295;     9;     1
 19670124;    1780;   1.830;     9;     1
 19670125;    2260;   2.323;     9;     1
 19670126;    2060;   2.118;     9;     1
 19670127;    1310;   1.347;     9;     1
 19670128;    1020;   1.049;     9;     1
 19670129;     798;   0.820;     9;     1
 19670130;     686;   0.705;     9;     1
 19670131;     581;   0.597;     9;     1
 19670201;     500;   0.514;     9;     1
 19670202;     438;   0.450;     9;     1
 19670203;     419;   0.431;     9;     1
 19670204;     432;   0.444;     9;     1
 19670205;     410;   0.421;     9;     1
 19670206;     388;   0.399;     9;     1
 19670207;     367;   0.377;     9;     1
 19670208;     345;   0.355;     9;     1
 19670209;     325;   0.334;     9;     1
 19670210;     290;   0.298;     9;     1
 19670211;     256;   0.263;     9;     1
 19670212;     248;   0.255;     9;     1
 19670213;     240;   0.247;     9;     1
 19670214;     232;   0.238;     9;     1
 19670215;     225;   0.231;     9;     1
 19670216;     270;   0.278;     9;     1
 19670217;    1590;   1.634;     9;     1
 19670218;    1540;   1.583;     9;     1
 19670219;    1550;   1.593;     9;     1
 19670220;    1520;   1.562;     9;     1
 19670221;    1620;   1.665;     9;     1
 19670222;    1220;   1.254;     9;     1
 19670223;     957;   0.984;     9;     1
 19670224;     745;   0.766;     9;     1
 19670225;     667;   0.686;     9;     1
 19670226;     941;   0.967;     9;     1
 19670227;    2400;   2.467;     9;     1
 19670228;    1790;   1.840;     9;     1
 19670301;    1860;   1.912;     9;     1
 19670302;    2330;   2.395;     9;     1
 19670303;    1450;   1.491;     9;     1
 19670304;    1050;   1.079;     9;     1
 19670305;     880;   0.905;     9;     1
 19670306;     910;   0.935;     9;     1
 19670307;     878;   0.903;     9;     1
 19670308;     784;   0.806;     9;     1
 19670309;     685;   0.704;     9;     1
 19670310;    2310;   2.375;     9;     1
 19670311;    2570;   2.642;     9;     1
 19670312;    1400;   1.439;     9;     1
 19670313;     996;   1.024;     9;     1
 19670314;     836;   0.859;     9;     1
 19670315;     718;   0.738;     9;     1
 19670316;     610;   0.627;     9;     1
 19670317;     521;   0.536;     9;     1
 19670318;     553;   0.568;     9;     1
 19670319;     652;   0.670;     9;     1
 19670320;     631;   0.649;     9;     1
 19670321;     602;   0.619;     9;     1
 19670322;     492;   0.506;     9;     1
 19670323;     450;   0.463;     9;     1
 19670324;     416;   0.428;     9;     1
 19670325;     382;   0.393;     9;     1
 19670326;     417;   0.429;     9;     1
 19670327;     606;   0.623;     9;     1
