## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:43
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U4235010
## Nom station                      : Le Renon à Neuville-les-Dames
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      854162 ;    6563840 ;      854056 ;    6563895 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      805475 ;    2131990 ;      805413 ;    2132049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.99785 ;   46.15682 ;     4.99649 ;   46.15735 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      102.00 ;      86.81 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         218 ;        222 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1968-12-28 ; 2021-02-16 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681228;    3330;   3.314;     9;     1
 19681229;    2260;   2.249;     9;     1
 19681230;    1570;   1.563;     9;     1
 19681231;    1080;   1.075;     9;     1
 19690101;     885;   0.881;     9;     1
 19690102;     812;   0.808;     9;     1
 19690103;    1110;   1.105;     9;     1
 19690104;    2050;   2.040;     9;     1
 19690105;    1240;   1.234;     9;     1
 19690106;     850;   0.846;     9;     1
 19690107;     716;   0.713;     9;     1
 19690108;    4160;   4.140;     9;     1
 19690109;    2310;   2.299;     9;     1
 19690110;    1120;   1.115;     9;     1
 19690111;     889;   0.885;     9;     1
 19690112;     785;   0.781;     9;     1
 19690113;    2000;   1.991;     9;     1
 19690114;    3010;   2.996;     9;     1
 19690115;    5110;   5.086;     9;     1
 19690116;    3460;   3.444;     9;     1
 19690117;    2220;   2.210;     9;     1
 19690118;    1720;   1.712;     9;     1
 19690119;    3190;   3.175;     9;     1
 19690120;    1540;   1.533;     9;     1
 19690121;    1290;   1.284;     9;     1
 19690122;    1030;   1.025;     9;     1
 19690123;     984;   0.979;     9;     1
 19690124;    1050;   1.045;     9;     1
 19690125;     869;   0.865;     9;     1
 19690126;     761;   0.757;     9;     1
 19690127;     751;   0.747;     9;     1
 19690128;     811;   0.807;     9;     1
 19690129;     924;   0.920;     9;     1
 19690130;    1020;   1.015;     9;     1
 19690131;     820;   0.816;     9;     1
 19690201;     676;   0.673;     9;     1
 19690202;     571;   0.568;     9;     1
 19690203;     858;   0.854;     9;     1
 19690204;     659;   0.656;     9;     1
 19690205;     415;   0.413;     9;     1
 19690206;     297;   0.296;     9;     1
 19690207;     352;   0.350;     9;     1
 19690208;     298;   0.297;     9;     1
 19690209;     275;   0.274;     9;     1
 19690210;     273;   0.272;     9;     1
 19690211;     272;   0.271;     9;     1
 19690212;     318;   0.316;     9;     1
 19690213;     822;   0.818;     9;     1
 19690214;     822;   0.818;     9;     1
 19690215;     640;   0.637;     9;     1
 19690216;     624;   0.621;     9;     1
 19690217;     510;   0.508;     9;     1
 19690218;     478;   0.476;     9;     1
 19690219;    1790;   1.782;     9;     1
 19690220;    8340;   8.301;     9;     1
 19690221;    4880;   4.857;     9;     1
 19690222;    3120;   3.105;     9;     1
 19690223;    3350;   3.334;     9;     1
 19690224;    9910;   9.863;     9;     1
 19690225;   10000;   9.953;     9;     1
 19690226;    5370;   5.345;     9;     1
 19690227;    4110;   4.091;     9;     1
 19690228;    3430;   3.414;     9;     1
 19690301;    2100;   2.090;     9;     1
 19690302;    1530;   1.523;     9;     1
 19690303;    1270;   1.264;     9;     1
 19690304;    1220;   1.214;     9;     1
 19690305;    1190;   1.184;     9;     1
 19690306;    1160;   1.155;     9;     1
 19690307;    1120;   1.115;     9;     1
 19690308;     873;   0.869;     9;     1
 19690309;     600;   0.597;     9;     1
 19690310;     570;   0.567;     9;     1
 19690311;     676;   0.673;     9;     1
 19690312;     805;   0.801;     9;     1
 19690313;     936;   0.932;     9;     1
 19690314;    8500;   8.460;     9;     1
 19690315;    8810;   8.768;     9;     1
 19690316;    3810;   3.792;     9;     1
 19690317;    2490;   2.478;     9;     1
 19690318;    2890;   2.876;     9;     1
 19690319;    3070;   3.056;     9;     1
 19690320;    3410;   3.394;     9;     1
 19690321;    1910;   1.901;     9;     1
 19690322;    1190;   1.184;     9;     1
 19690323;    6180;   6.151;     9;     1
 19690324;    6070;   6.041;     9;     1
 19690325;    3380;   3.364;     9;     1
 19690326;    2040;   2.030;     9;     1
 19690327;    1580;   1.573;     9;     1
 19690328;    2090;   2.080;     9;     1
 19690329;    1420;   1.413;     9;     1
 19690330;    1130;   1.125;     9;     1
 19690331;    1050;   1.045;     9;     1
 19690401;     909;   0.905;     9;     1
 19690402;     836;   0.832;     9;     1
 19690403;     645;   0.642;     9;     1
 19690404;     578;   0.575;     9;     1
 19690405;     534;   0.531;     9;     1
 19690406;     523;   0.521;     9;     1
 19690407;     513;   0.511;     9;     1
 19690408;     502;   0.500;     9;     1
 19690409;     491;   0.489;     9;     1
 19690410;     484;   0.482;     9;     1
 19690411;     648;   0.645;     9;     1
 19690412;     576;   0.573;     9;     1
 19690413;     407;   0.405;     9;     1
 19690414;     403;   0.401;     9;     1
 19690415;     500;   0.498;     9;     1
 19690416;     764;   0.760;     9;     1
 19690417;     605;   0.602;     9;     1
 19690418;     489;   0.487;     9;     1
 19690419;     369;   0.367;     9;     1
 19690420;     141;   0.140;     9;     1
 19690421;     121;   0.120;     9;     1
 19690422;     254;   0.253;     9;     1
 19690423;    2200;   2.190;     9;     1
 19690424;     843;   0.839;     9;     1
 19690425;     534;   0.531;     9;     1
 19690426;     384;   0.382;     9;     1
 19690427;    1610;   1.602;     9;     1
 19690428;    9080;   9.037;     9;     1
 19690429;    6910;   6.877;     9;     1
 19690430;    4920;   4.897;     9;     1
 19690501;    3190;   3.175;     9;     1
 19690502;    1900;   1.891;     9;     1
 19690503;    1420;   1.413;     9;     1
 19690504;     904;   0.900;     9;     1
 19690505;     797;   0.793;     9;     1
 19690506;    1150;   1.145;     9;     1
 19690507;    1400;   1.393;     9;     1
 19690508;    1000;   0.995;     9;     1
 19690509;    1060;   1.055;     9;     1
 19690510;     974;   0.969;     9;     1
 19690511;     742;   0.738;     9;     1
 19690512;     673;   0.670;     9;     1
 19690513;     505;   0.503;     9;     1
 19690514;     408;   0.406;     9;     1
 19690515;     324;   0.322;     9;     1
 19690516;     296;   0.295;     9;     1
 19690517;     282;   0.281;     9;     1
 19690518;     269;   0.268;     9;     1
 19690519;     255;   0.254;     9;     1
 19690520;     533;   0.530;     9;     1
 19690521;     478;   0.476;     9;     1
 19690522;     385;   0.383;     9;     1
 19690523;     220;   0.219;     9;     1
 19690524;     177;   0.176;     9;     1
 19690525;     169;   0.168;     9;     1
 19690526;     199;   0.198;     9;     1
 19690527;     223;   0.222;     9;     1
 19690528;     185;   0.184;     9;     1
 19690529;     169;   0.168;     9;     1
 19690530;     197;   0.196;     9;     1
 19690531;     486;   0.484;     9;     1
 19690601;     289;   0.288;     9;     1
 19690602;     200;   0.199;     9;     1
 19690603;     169;   0.168;     9;     1
 19690604;     169;   0.168;     9;     1
 19690605;     169;   0.168;     9;     1
 19690606;     204;   0.203;     9;     1
 19690607;     324;   0.322;     9;     1
 19690608;     269;   0.268;     9;     1
 19690609;     211;   0.210;     9;     1
 19690610;     164;   0.163;     9;     1
 19690611;     136;   0.135;     9;     1
 19690612;     188;   0.187;     9;     1
 19690613;     735;   0.732;     9;     1
 19690614;     349;   0.347;     9;     1
 19690615;     232;   0.231;     9;     1
 19690616;     184;   0.183;     9;     1
 19690617;     157;   0.156;     9;     1
 19690618;     837;   0.833;     9;     1
 19690619;    2060;   2.050;     9;     1
 19690620;     946;   0.942;     9;     1
 19690621;     552;   0.549;     9;     1
 19690622;     663;   0.660;     9;     1
 19690623;     558;   0.555;     9;     1
 19690624;    5970;   5.942;     9;     1
 19690625;    6250;   6.220;     9;     1
 19690626;    3480;   3.464;     9;     1
 19690627;    1240;   1.234;     9;     1
 19690628;     610;   0.607;     9;     1
 19690629;     491;   0.489;     9;     1
 19690630;     393;   0.391;     9;     1
 19690701;     362;   0.360;     9;     1
 19690702;     318;   0.316;     9;     1
 19690703;     275;   0.274;     9;     1
 19690704;     256;   0.255;     9;     1
 19690705;     208;   0.207;     9;     1
 19690706;     178;   0.177;     9;     1
 19690707;     169;   0.168;     9;     0
 19690708;     169;   0.168;     9;     0
 19690709;     169;   0.168;     9;     0
 19690710;     169;   0.168;     9;     0
 19690711;     169;   0.168;     9;     0
 19690712;     169;   0.168;     9;     0
 19690713;     167;   0.166;     9;     1
 19690714;     153;   0.152;     9;     1
 19690715;     137;   0.136;     9;     1
 19690716;     125;   0.124;     9;     1
 19690717;     113;   0.112;     9;     1
 19690718;      95;   0.095;     9;     1
 19690719;      82;   0.082;     9;     1
 19690720;      80;   0.080;     9;     1
 19690721;      77;   0.077;     9;     1
 19690722;      75;   0.075;     9;     1
 19690723;      72;   0.072;     9;     1
 19690724;      69;   0.069;     9;     1
 19690725;      87;   0.087;     9;     1
 19690726;     139;   0.138;     9;     1
 19690727;      72;   0.072;     9;     1
 19690728;      67;   0.067;     9;     0
 19690729;      67;   0.067;     9;     0
 19690730;      67;   0.067;     9;     0
 19690731;      67;   0.067;     9;     0
 19690801;      67;   0.067;     9;     0
 19690802;      64;   0.064;     9;     1
 19690803;      62;   0.062;     9;     1
 19690804;      59;   0.059;     9;     1
 19690805;      57;   0.057;     9;     1
 19690806;      54;   0.054;     9;     1
 19690807;      51;   0.051;     9;     1
 19690808;      49;   0.049;     9;     1
 19690809;      45;   0.045;     9;     1
 19690810;      42;   0.042;     9;     1
 19690811;      38;   0.038;     9;     1
 19690812;      83;   0.083;     9;     1
 19690813;      94;   0.094;     9;     1
 19690814;     106;   0.105;     9;     1
 19690815;     182;   0.181;     9;     1
 19690816;     140;   0.139;     9;     1
 19690817;     158;   0.157;     9;     1
 19690818;     137;   0.136;     9;     1
 19690819;     106;   0.105;     9;     1
 19690820;      99;   0.099;     9;     1
 19690821;      92;   0.092;     9;     1
 19690822;      86;   0.086;     9;     1
 19690823;      85;   0.085;     9;     1
