## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:51
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U4624010
## Nom station                      : L'Azergues à Châtillon
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      827459 ;    6531831 ;      827504 ;    6531849 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      779068 ;    2099730 ;      779113 ;    2099749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.64327 ;   45.87420 ;     4.64386 ;   45.87436 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      336.00 ;     336.99 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         206 ;        211 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.3 [%]
## Débits disponibles               :  1970-01-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19700101;    2870;   0.736;     9;     1
 19700102;    2330;   0.597;     9;     1
 19700103;    1870;   0.479;     9;     1
 19700104;    1800;   0.461;     9;     1
 19700105;    2760;   0.708;     9;     1
 19700106;    3500;   0.897;     9;     1
 19700107;    2870;   0.736;     9;     1
 19700108;    2470;   0.633;     9;     1
 19700109;    2320;   0.595;     9;     1
 19700110;    2250;   0.577;     9;     1
 19700111;    2670;   0.685;     9;     1
 19700112;    4840;   1.241;     9;     1
 19700113;    5520;   1.415;     9;     1
 19700114;    5520;   1.415;     9;     1
 19700115;    5510;   1.413;     9;     1
 19700116;    5520;   1.415;     9;     1
 19700117;    5240;   1.343;     9;     1
 19700118;    4530;   1.161;     9;     1
 19700119;    4540;   1.164;     9;     1
 19700120;    3820;   0.979;     9;     1
 19700121;    3380;   0.867;     9;     1
 19700122;    3170;   0.813;     9;     1
 19700123;    2780;   0.713;     9;     1
 19700124;    2540;   0.651;     9;     1
 19700125;    2460;   0.631;     9;     1
 19700126;    2380;   0.610;     9;     1
 19700127;    2290;   0.587;     9;     1
 19700128;    2200;   0.564;     9;     1
 19700129;    2140;   0.549;     9;     1
 19700130;    2330;   0.597;     9;     1
 19700131;    5220;   1.338;     9;     1
 19700201;    6610;   1.695;     9;     1
 19700202;    8470;   2.172;     9;     1
 19700203;   20500;   5.256;     9;     1
 19700204;   25900;   6.640;     9;     1
 19700205;   23100;   5.923;     9;     1
 19700206;   16800;   4.307;     9;     1
 19700207;   12400;   3.179;     9;     1
 19700208;    9480;   2.431;     9;     1
 19700209;    7680;   1.969;     9;     1
 19700210;    7250;   1.859;     9;     1
 19700211;   13500;   3.461;     9;     1
 19700212;   16500;   4.230;     9;     1
 19700213;   13500;   3.461;     9;     1
 19700214;   10100;   2.590;     9;     1
 19700215;    8590;   2.202;     9;     1
 19700216;    7280;   1.867;     9;     1
 19700217;    6060;   1.554;     9;     1
 19700218;    6480;   1.661;     9;     1
 19700219;    7150;   1.833;     9;     1
 19700220;   23200;   5.948;     9;     1
 19700221;   41400;  10.614;     9;     1
 19700222;   40200;  10.307;     9;     1
 19700223;   31400;   8.051;     9;     1
 19700224;   53500;  13.717;     9;     1
 19700225;   43700;  11.204;     9;     1
 19700226;   27500;   7.051;     9;     1
 19700227;   16800;   4.307;     9;     1
 19700228;   12000;   3.077;     9;     1
 19700301;    9380;   2.405;     9;     1
 19700302;    8180;   2.097;     9;     1
 19700303;    7910;   2.028;     9;     1
 19700304;    7150;   1.833;     9;     1
 19700305;    6500;   1.667;     9;     1
 19700306;    5670;   1.454;     9;     1
 19700307;    5520;   1.415;     9;     1
 19700308;    5520;   1.415;     9;     1
 19700309;    5740;   1.472;     9;     1
 19700310;    6350;   1.628;     9;     1
 19700311;    6960;   1.784;     9;     1
 19700312;    6980;   1.790;     9;     1
 19700313;    7550;   1.936;     9;     1
 19700314;    9100;   2.333;     9;     1
 19700315;    9190;   2.356;     9;     1
 19700316;    8520;   2.184;     9;     1
 19700317;    8070;   2.069;     9;     1
 19700318;    9220;   2.364;     9;     1
 19700319;   17100;   4.384;     9;     1
 19700320;   17400;   4.461;     9;     1
 19700321;   13800;   3.538;     9;     1
 19700322;   12000;   3.077;     9;     1
 19700323;   12200;   3.128;     9;     1
 19700324;   17900;   4.589;     9;     1
 19700325;   21600;   5.538;     9;     1
 19700326;   17100;   4.384;     9;     1
 19700327;   21700;   5.564;     9;     1
 19700328;   19200;   4.923;     9;     1
 19700329;   14900;   3.820;     9;     1
 19700330;   12100;   3.102;     9;     1
 19700331;   10300;   2.641;     9;     1
 19700401;    9440;   2.420;     9;     1
 19700402;    8970;   2.300;     9;     1
 19700403;    8560;   2.195;     9;     1
 19700404;    9300;   2.384;     9;     1
 19700405;   11000;   2.820;     9;     1
 19700406;   10600;   2.718;     9;     1
 19700407;   10600;   2.718;     9;     1
 19700408;   11000;   2.820;     9;     1
 19700409;   10600;   2.718;     9;     1
 19700410;   10400;   2.666;     9;     1
 19700411;   10000;   2.564;     9;     1
 19700412;    9580;   2.456;     9;     1
 19700413;   26100;   6.692;     9;     1
 19700414;   40700;  10.435;     9;     1
 19700415;   26000;   6.666;     9;     1
 19700416;   17200;   4.410;     9;     1
 19700417;   13400;   3.436;     9;     1
 19700418;   11000;   2.820;     9;     1
 19700419;   13600;   3.487;     9;     1
 19700420;   21100;   5.410;     9;     1
 19700421;   16100;   4.128;     9;     1
 19700422;   13100;   3.359;     9;     1
 19700423;   11300;   2.897;     9;     1
 19700424;    9890;   2.536;     9;     1
 19700425;    8440;   2.164;     9;     1
 19700426;    7580;   1.943;     9;     1
 19700427;    7200;   1.846;     9;     1
 19700428;    6600;   1.692;     9;     1
 19700429;    6300;   1.615;     9;     1
 19700430;    5920;   1.518;     9;     1
 19700501;    6060;   1.554;     9;     1
 19700502;    5970;   1.531;     9;     1
 19700503;    5720;   1.467;     9;     1
 19700504;    5540;   1.420;     9;     1
 19700505;    5370;   1.377;     9;     1
 19700506;    5880;   1.508;     9;     1
 19700507;    8090;   2.074;     9;     1
 19700508;    8210;   2.105;     9;     1
 19700509;    8580;   2.200;     9;     1
 19700510;   16400;   4.205;     9;     1
 19700511;   27900;   7.153;     9;     1
 19700512;   18900;   4.846;     9;     1
 19700513;   12100;   3.102;     9;     1
 19700514;    9030;   2.315;     9;     1
 19700515;    7380;   1.892;     9;     1
 19700516;    7270;   1.864;     9;     1
 19700517;    5980;   1.533;     9;     1
 19700518;    5460;   1.400;     9;     1
 19700519;    4950;   1.269;     9;     1
 19700520;    4550;   1.167;     9;     1
 19700521;    4140;   1.061;     9;     1
 19700522;    3740;   0.959;     9;     1
 19700523;    3330;   0.854;     9;     1
 19700524;    2910;   0.746;     9;     1
 19700525;    2500;   0.641;     9;     1
 19700526;    2330;   0.597;     9;     1
 19700527;    2200;   0.564;     9;     1
 19700528;    2060;   0.528;     9;     1
 19700529;    1910;   0.490;     9;     1
 19700530;    1760;   0.451;     9;     1
 19700531;    1610;   0.413;     9;     1
 19700601;    1320;   0.338;     9;     1
 19700602;    1130;   0.290;     9;     1
 19700603;    1130;   0.290;     9;     1
 19700604;    1130;   0.290;     9;     1
 19700605;    1130;   0.290;     9;     1
 19700606;    1120;   0.287;     9;     1
 19700607;    1010;   0.259;     9;     1
 19700608;     885;   0.227;     9;     1
 19700609;     871;   0.223;     9;     1
 19700610;     912;   0.234;     9;     1
 19700611;    1130;   0.290;     9;     1
 19700612;    1110;   0.285;     9;     1
 19700613;     974;   0.250;     9;     1
