## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:52
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U4635010
## Nom station                      : La Brévenne à Sain-Bel
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      824254 ;    6524710 ;      824246 ;    6524683 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      775921 ;    2092576 ;      775913 ;    2092549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.60010 ;   45.81069 ;     4.59999 ;   45.81045 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      219.00 ;     217.93 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         236 ;        243 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.7 [%]
## Débits disponibles               :  1969-10-21 ; 2021-02-17 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19691021;     272;   0.108;     9;     1
 19691022;     254;   0.101;     9;     1
 19691023;     255;   0.101;     9;     1
 19691024;     295;   0.117;     9;     1
 19691025;     255;   0.101;     9;     1
 19691026;     252;   0.100;     9;     1
 19691027;     244;   0.097;     9;     1
 19691028;     219;   0.087;     9;     1
 19691029;     248;   0.098;     9;     1
 19691030;     226;   0.090;     9;     1
 19691031;     231;   0.092;     9;     1
 19691101;     213;   0.084;     9;     1
 19691102;     213;   0.084;     9;     1
 19691103;     240;   0.095;     9;     1
 19691104;     274;   0.109;     9;     1
 19691105;     234;   0.093;     9;     1
 19691106;     247;   0.098;     9;     1
 19691107;     367;   0.145;     9;     1
 19691108;     502;   0.199;     9;     1
 19691109;     460;   0.182;     9;     1
 19691110;     426;   0.169;     9;     1
 19691111;     352;   0.140;     9;     1
 19691112;     292;   0.116;     9;     1
 19691113;     282;   0.112;     9;     1
 19691114;     291;   0.115;     9;     1
 19691115;     279;   0.111;     9;     1
 19691116;     252;   0.100;     9;     1
 19691117;     252;   0.100;     9;     1
 19691118;     267;   0.106;     9;     1
 19691119;     258;   0.102;     9;     1
 19691120;     258;   0.102;     9;     1
 19691121;     259;   0.103;     9;     1
 19691122;     293;   0.116;     9;     1
 19691123;     391;   0.155;     9;     1
 19691124;    1430;   0.567;     9;     1
 19691125;    1290;   0.511;     9;     1
 19691126;    1190;   0.472;     9;     1
 19691127;     963;   0.382;     9;     1
 19691128;     786;   0.312;     9;     1
 19691129;     810;   0.321;     9;     1
 19691130;     783;   0.310;     9;     1
 19691201;     624;   0.247;     9;     1
 19691202;     530;   0.210;     9;     1
 19691203;     595;   0.236;     9;     1
 19691204;    1860;   0.737;     9;     1
 19691205;    1940;   0.769;     9;     1
 19691206;    1580;   0.626;     9;     1
 19691207;    1350;   0.535;     9;     1
 19691208;    1140;   0.452;     9;     1
 19691209;    1080;   0.428;     9;     1
 19691210;     783;   0.310;     9;     1
 19691211;     838;   0.332;     9;     1
 19691212;     904;   0.358;     9;     1
 19691213;     807;   0.320;     9;     1
 19691214;     757;   0.300;     9;     1
 19691215;    1190;   0.472;     9;     1
 19691216;    2080;   0.825;     9;     1
 19691217;    1930;   0.765;     9;     1
 19691218;    2060;   0.817;     9;     1
 19691219;    2480;   0.983;     9;     1
 19691220;    2080;   0.825;     9;     1
 19691221;    1780;   0.706;     9;     1
 19691222;    1570;   0.622;     9;     1
 19691223;    1760;   0.698;     9;     1
 19691224;    1720;   0.682;     9;     1
 19691225;    1640;   0.650;     9;     1
 19691226;    1480;   0.587;     9;     1
 19691227;    1440;   0.571;     9;     1
 19691228;    1340;   0.531;     9;     1
 19691229;    1250;   0.496;     9;     1
 19691230;    1150;   0.456;     9;     1
 19691231;    1100;   0.436;     9;     1
 19700101;     988;   0.392;     9;     1
 19700102;     866;   0.343;     9;     1
 19700103;     862;   0.342;     9;     1
 19700104;     942;   0.373;     9;     1
 19700105;    1300;   0.515;     9;     1
 19700106;    1330;   0.527;     9;     1
 19700107;    1270;   0.504;     9;     1
 19700108;    1140;   0.452;     9;     1
 19700109;    1050;   0.416;     9;     1
 19700110;    1170;   0.464;     9;     1
 19700111;    1140;   0.452;     9;     1
 19700112;    2770;   1.098;     9;     1
 19700113;    2510;   0.995;     9;     1
