## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:54
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U4644010
## Nom station                      : L'Azergues à Lozanne
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      830944 ;    6530183 ;      830887 ;    6530122 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      782570 ;    2098111 ;      782513 ;    2098049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.68774 ;   45.85871 ;     4.68698 ;   45.85817 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      792.00 ;     798.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         194 ;        198 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.7 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-17 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    1710;   0.185;     9;     1
 19650102;    5700;   0.617;     9;     1
 19650103;    7250;   0.785;     9;     1
 19650104;    6000;   0.650;     9;     1
 19650105;    5100;   0.552;     9;     1
 19650106;    4310;   0.467;     9;     1
 19650107;    3840;   0.416;     9;     1
 19650108;    3720;   0.403;     9;     1
 19650109;    4190;   0.454;     9;     1
 19650110;    4820;   0.522;     9;     1
 19650111;    4840;   0.524;     9;     1
 19650112;    4750;   0.514;     9;     1
 19650113;    6150;   0.666;     9;     1
 19650114;    7300;   0.790;     9;     1
 19650115;    8950;   0.969;     9;     1
 19650116;    9400;   1.018;     9;     1
 19650117;   11500;   1.245;     9;     1
 19650118;   15600;   1.689;     9;     1
 19650119;   17400;   1.884;     9;     1
 19650120;   15000;   1.624;     9;     1
 19650121;   13800;   1.494;     9;     1
 19650122;   14500;   1.570;     9;     1
 19650123;   17500;   1.894;     9;     1
 19650124;   19600;   2.122;     9;     1
 19650125;   16500;   1.786;     9;     1
 19650126;   13900;   1.505;     9;     1
 19650127;   11900;   1.288;     9;     1
 19650128;   10200;   1.104;     9;     1
 19650129;    9350;   1.012;     9;     1
 19650130;   10300;   1.115;     9;     1
 19650131;   12700;   1.375;     9;     1
 19650201;   13800;   1.494;     9;     1
 19650202;   12500;   1.353;     9;     1
 19650203;   10600;   1.147;     9;     1
 19650204;    8950;   0.969;     9;     1
 19650205;    7600;   0.823;     9;     1
 19650206;    6900;   0.747;     9;     1
 19650207;    5850;   0.633;     9;     1
 19650208;    5200;   0.563;     9;     1
 19650209;    4670;   0.506;     9;     1
 19650210;    3960;   0.429;     9;     1
 19650211;    3780;   0.409;     9;     1
 19650212;    3580;   0.388;     9;     1
 19650213;    3390;   0.367;     9;     1
 19650214;    3870;   0.419;     9;     1
 19650215;    3910;   0.423;     9;     1
 19650216;    3750;   0.406;     9;     1
 19650217;    3630;   0.393;     9;     1
 19650218;    3350;   0.363;     9;     1
 19650219;    3150;   0.341;     9;     1
 19650220;    3010;   0.326;     9;     1
 19650221;    2800;   0.303;     9;     1
 19650222;    2640;   0.286;     9;     1
 19650223;    2610;   0.283;     9;     1
 19650224;    2710;   0.293;     9;     1
 19650225;    2640;   0.286;     9;     1
 19650226;    2590;   0.280;     9;     1
 19650227;    2570;   0.278;     9;     1
 19650228;    2420;   0.262;     9;     1
 19650301;    2550;   0.276;     9;     1
 19650302;    5350;   0.579;     9;     1
 19650303;    7100;   0.769;     9;     1
 19650304;    6900;   0.747;     9;     1
 19650305;    6550;   0.709;     9;     1
 19650306;    6300;   0.682;     9;     1
 19650307;    5650;   0.612;     9;     1
 19650308;    5200;   0.563;     9;     1
 19650309;    4650;   0.503;     9;     1
 19650310;    4270;   0.462;     9;     1
 19650311;    4040;   0.437;     9;     1
 19650312;    3820;   0.414;     9;     1
 19650313;    3720;   0.403;     9;     1
 19650314;    3840;   0.416;     9;     1
 19650315;    4220;   0.457;     9;     1
 19650316;    5300;   0.574;     9;     1
 19650317;    6650;   0.720;     9;     1
 19650318;    7300;   0.790;     9;     1
 19650319;    8900;   0.963;     9;     1
 19650320;    9550;   1.034;     9;     1
 19650321;    9950;   1.077;     9;     1
 19650322;   13000;   1.407;     9;     1
 19650323;   18100;   1.959;     9;     1
 19650324;   23000;   2.490;     9;     1
