## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:03
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V0222010
## Nom station                      : L'Arve à Arthaz-Pont-Notre-Dame
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      952432 ;    6566431 ;      952394 ;    6566348 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      903809 ;    2135428 ;      903813 ;    2135349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.27158 ;   46.15062 ;     6.27105 ;   46.14989 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1664.00 ;    1645.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         410 ;        420 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1961-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/3/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;   27800;   1.460;     9;     1
 19610102;   27600;   1.449;     9;     1
 19610103;   58200;   3.057;     9;     1
 19610104;   55000;   2.888;     9;     1
 19610105;   40800;   2.143;     9;     1
 19610106;   35500;   1.864;     9;     1
 19610107;   35000;   1.838;     9;     1
 19610108;   32100;   1.686;     9;     1
 19610109;   33100;   1.738;     9;     1
 19610110;   32600;   1.712;     9;     1
 19610111;   31400;   1.649;     9;     1
 19610112;   30900;   1.623;     9;     1
 19610113;   30100;   1.581;     9;     1
 19610114;   28900;   1.518;     9;     1
 19610115;   27900;   1.465;     9;     1
 19610116;   27600;   1.449;     9;     1
 19610117;   27500;   1.444;     9;     1
 19610118;   26700;   1.402;     9;     1
 19610119;   25800;   1.355;     9;     1
 19610120;   25300;   1.329;     9;     1
 19610121;   25700;   1.350;     9;     1
 19610122;   24800;   1.302;     9;     1
 19610123;   24500;   1.287;     9;     1
 19610124;   25100;   1.318;     9;     1
 19610125;   30000;   1.576;     9;     1
 19610126;   30100;   1.581;     9;     1
 19610127;   27800;   1.460;     9;     1
 19610128;   26400;   1.386;     9;     1
 19610129;   28400;   1.492;     9;     1
 19610130;   27800;   1.460;     9;     1
 19610131;   75600;   3.970;     9;     1
 19610201;  169000;   8.875;     9;     1
 19610202;   95000;   4.989;     9;     1
 19610203;   87900;   4.616;     9;     1
 19610204;   67200;   3.529;     9;     1
 19610205;   61800;   3.246;     9;     1
 19610206;   56400;   2.962;     9;     1
 19610207;   62300;   3.272;     9;     1
 19610208;   53800;   2.825;     9;     1
 19610209;   49300;   2.589;     9;     1
 19610210;   51000;   2.678;     9;     1
 19610211;   49300;   2.589;     9;     1
 19610212;   51800;   2.720;     9;     1
 19610213;   58400;   3.067;     9;     1
 19610214;   63400;   3.330;     9;     1
 19610215;   65500;   3.440;     9;     1
 19610216;   60800;   3.193;     9;     1
 19610217;   55200;   2.899;     9;     1
 19610218;   54700;   2.873;     9;     1
 19610219;   54300;   2.852;     9;     1
 19610220;   51800;   2.720;     9;     1
 19610221;   49600;   2.605;     9;     1
 19610222;   45100;   2.369;     9;     1
 19610223;   41700;   2.190;     9;     1
 19610224;   41700;   2.190;     9;     1
 19610225;   50400;   2.647;     9;     1
 19610226;   41100;   2.158;     9;     1
 19610227;   49400;   2.594;     9;     1
 19610228;   83900;   4.406;     9;     1
 19610301;   81400;   4.275;     9;     1
 19610302;   59100;   3.104;     9;     1
 19610303;   50500;   2.652;     9;     1
 19610304;   45500;   2.390;     9;     1
 19610305;   42200;   2.216;     9;     1
 19610306;   49600;   2.605;     9;     1
 19610307;   43200;   2.269;     9;     1
 19610308;   47800;   2.510;     9;     1
 19610309;   48100;   2.526;     9;     1
 19610310;   50400;   2.647;     9;     1
 19610311;   46400;   2.437;     9;     1
 19610312;   51000;   2.678;     9;     1
 19610313;   55400;   2.909;     9;     1
 19610314;   56200;   2.951;     9;     1
 19610315;   63200;   3.319;     9;     1
 19610316;   65100;   3.419;     9;     1
 19610317;   68500;   3.597;     9;     1
 19610318;   74100;   3.892;     9;     1
 19610319;  106000;   5.567;     9;     1
 19610320;   73000;   3.834;     9;     1
 19610321;   56300;   2.957;     9;     1
 19610322;   48800;   2.563;     9;     1
 19610323;   42800;   2.248;     9;     1
 19610324;   41200;   2.164;     9;     1
