## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:14
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1015010
## Nom station                      : La Valserine à Lélex [Niaizet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      924981 ;    6580063 ;      924935 ;    6580073 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      876217 ;    2148835 ;      876213 ;    2148849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.92270 ;   46.28298 ;     5.92210 ;   46.28308 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       85.00 ;      76.26 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         846 ;        851 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-15 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;    3100;   3.512;     9;     1
 19660102;    4470;   5.064;     9;     1
 19660103;    3000;   3.399;     9;     1
 19660104;    2270;   2.572;     9;     1
 19660105;    1900;   2.153;     9;     1
 19660106;    1610;   1.824;     9;     1
 19660107;    1400;   1.586;     9;     1
 19660108;    1200;   1.360;     9;     1
 19660109;    1080;   1.224;     9;     1
 19660110;    1020;   1.156;     9;     1
 19660111;     975;   1.105;     9;     1
 19660112;     925;   1.048;     9;     1
 19660113;     370;   0.419;     9;     1
 19660114;     760;   0.861;     9;     1
 19660115;     705;   0.799;     9;     1
 19660116;     705;   0.799;     9;     1
 19660117;     640;   0.725;     9;     1
 19660118;     655;   0.742;     9;     1
 19660119;     675;   0.765;     9;     1
 19660120;     675;   0.765;     9;     1
 19660121;     620;   0.702;     9;     1
 19660122;    1890;   2.141;     9;     1
 19660123;    6550;   7.421;     9;     1
 19660124;    5050;   5.721;     9;     1
 19660125;    2820;   3.195;     9;     1
 19660126;    2080;   2.357;     9;     1
 19660127;    2740;   3.104;     9;     1
 19660128;    2450;   2.776;     9;     1
 19660129;    1880;   2.130;     9;     1
 19660130;    1820;   2.062;     9;     1
 19660131;    2010;   2.277;     9;     1
 19660201;    2190;   2.481;     9;     1
 19660202;    2210;   2.504;     9;     1
 19660203;    3920;   4.441;     9;     1
 19660204;    5100;   5.778;     9;     1
 19660205;    3540;   4.011;     9;     1
 19660206;    2960;   3.354;     9;     1
 19660207;    6150;   6.968;     9;     1
 19660208;    9450;  10.707;     9;     1
 19660209;   27900;  31.610;     5;     1
 19660210;   13800;  15.635;     9;     1
 19660211;    8500;   9.630;     9;     1
 19660212;    7400;   8.384;     9;     1
 19660213;    5900;   6.685;     9;     1
 19660214;    4780;   5.416;     9;     1
 19660215;    4050;   4.589;     9;     1
 19660216;    3540;   4.011;     9;     1
 19660217;    3420;   3.875;     9;     1
 19660218;    3910;   4.430;     9;     1
 19660219;    3530;   3.999;     9;     1
 19660220;    3980;   4.509;     9;     1
 19660221;    9500;  10.763;     9;     1
 19660222;    8400;   9.517;     9;     1
 19660223;    7650;   8.667;     9;     1
 19660224;    4880;   5.529;     9;     1
 19660225;    3550;   4.022;     9;     1
 19660226;    3650;   4.135;     9;     1
 19660227;    4010;   4.543;     9;     1
 19660228;    4540;   5.144;     9;     1
 19660301;    4650;   5.268;     9;     1
 19660302;    3480;   3.943;     9;     1
 19660303;    2960;   3.354;     9;     1
 19660304;    2660;   3.014;     9;     1
 19660305;    2280;   2.583;     9;     1
 19660306;    2300;   2.606;     9;     1
 19660307;    2270;   2.572;     9;     1
 19660308;    2340;   2.651;     9;     1
 19660309;    2600;   2.946;     9;     1
 19660310;    2890;   3.274;     9;     1
 19660311;    2750;   3.116;     9;     1
 19660312;    2720;   3.082;     9;     1
 19660313;    2020;   2.289;     9;     1
 19660314;    1590;   1.801;     9;     1
 19660315;    1420;   1.609;     9;     1
 19660316;    1380;   1.563;     9;     1
 19660317;    1490;   1.688;     9;     1
 19660318;    1490;   1.688;     9;     1
 19660319;    1360;   1.541;     9;     1
 19660320;    1440;   1.631;     9;     1
 19660321;    1530;   1.733;     9;     1
 19660322;    1740;   1.971;     9;     1
 19660323;    1920;   2.175;     9;     1
 19660324;    2070;   2.345;     9;     1
