## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:16
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1015030
## Nom station                      : La Valserine à Chézery-Forens [Chézery]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      920814 ;    6572897 ;      920777 ;    6572915 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      872108 ;    2141627 ;      872113 ;    2141649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.86523 ;   46.21987 ;     5.86476 ;   46.22004 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      119.00 ;     110.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         576 ;        579 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.6 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-15 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   13300;  10.431;     9;     1
 19600102;   13500;  10.588;     9;     1
 19600103;   18500;  14.510;     9;     1
 19600104;   19000;  14.902;     9;     1
 19600105;   11600;   9.098;     9;     1
 19600106;    9620;   7.545;     9;     1
 19600107;    8450;   6.627;     9;     1
 19600108;    7540;   5.914;     9;     1
 19600109;    6380;   5.004;     9;     1
 19600110;    5670;   4.447;     9;     1
 19600111;    5020;   3.937;     9;     1
 19600112;    4910;   3.851;     9;     1
 19600113;    4390;   3.443;     9;     1
 19600114;    4250;   3.333;     9;     1
 19600115;    3370;   2.643;     9;     1
 19600116;    2720;   2.133;     9;     1
 19600117;    2480;   1.945;     9;     1
 19600118;    2560;   2.008;     9;     1
 19600119;    2730;   2.141;     9;     1
 19600120;    3210;   2.518;     9;     1
 19600121;    4240;   3.325;     9;     1
 19600122;    4920;   3.859;     9;     1
 19600123;    4630;   3.631;     9;     1
 19600124;    5330;   4.180;     9;     1
 19600125;   12100;   9.490;     9;     1
 19600126;   11700;   9.176;     9;     1
 19600127;   11300;   8.863;     9;     1
 19600128;   11900;   9.333;     9;     1
 19600129;   10000;   7.843;     9;     1
 19600130;    7070;   5.545;     9;     1
 19600131;    6050;   4.745;     9;     1
 19600201;    5420;   4.251;     9;     1
 19600202;    5000;   3.922;     9;     1
 19600203;    4450;   3.490;     9;     1
 19600204;    4120;   3.231;     9;     1
 19600205;    4190;   3.286;     9;     1
 19600206;    3400;   2.667;     9;     1
 19600207;    3030;   2.376;     9;     1
 19600208;    2780;   2.180;     9;     1
 19600209;    2430;   1.906;     9;     1
 19600210;    2240;   1.757;     9;     1
 19600211;    2170;   1.702;     9;     1
 19600212;    2270;   1.780;     9;     1
 19600213;    2180;   1.710;     9;     1
 19600214;    2210;   1.733;     9;     1
 19600215;    2230;   1.749;     9;     1
 19600216;    2280;   1.788;     9;     1
 19600217;    2280;   1.788;     9;     1
 19600218;    8470;   6.643;     9;     1
 19600219;   13400;  10.510;     9;     1
 19600220;    7770;   6.094;     9;     1
 19600221;    5950;   4.667;     9;     1
 19600222;    5770;   4.525;     9;     1
 19600223;    5370;   4.212;     9;     1
 19600224;    4360;   3.420;     9;     1
 19600225;    7410;   5.812;     9;     1
 19600226;   15500;  12.157;     9;     1
 19600227;   12700;   9.961;     9;     1
 19600228;   11600;   9.098;     9;     1
 19600229;   11100;   8.706;     9;     1
 19600301;   21100;  16.549;     9;     1
 19600302;   15100;  11.843;     9;     1
 19600303;   19900;  15.608;     9;     1
 19600304;   39200;  30.745;     9;     1
 19600305;   19000;  14.902;     9;     1
 19600306;   13700;  10.745;     9;     1
 19600307;   11500;   9.020;     9;     1
 19600308;   11000;   8.627;     9;     1
 19600309;   12600;   9.882;     9;     1
 19600310;   10800;   8.471;     9;     1
 19600311;   10400;   8.157;     9;     1
 19600312;    9530;   7.475;     9;     1
 19600313;    9130;   7.161;     9;     1
 19600314;    8520;   6.682;     9;     1
 19600315;    7900;   6.196;     9;     1
 19600316;    7540;   5.914;     9;     1
 19600317;    7560;   5.929;     9;     1
 19600318;    7150;   5.608;     9;     1
 19600319;    6170;   4.839;     9;     1
 19600320;    5400;   4.235;     9;     1
 19600321;    4420;   3.467;     9;     1
 19600322;    4300;   3.373;     9;     1
 19600323;    4760;   3.733;     9;     1
 19600324;    4830;   3.788;     9;     1
 19600325;    5320;   4.173;     9;     1
 19600326;    6400;   5.020;     9;     1
 19600327;    6710;   5.263;     9;     1
 19600328;    6430;   5.043;     9;     1
 19600329;    8390;   6.580;     9;     1
 19600330;    6840;   5.365;     9;     1
 19600331;    5890;   4.620;     9;     1
 19600401;    6150;   4.824;     9;     1
 19600402;    6660;   5.224;     9;     1
 19600403;    6660;   5.224;     9;     1
 19600404;    7850;   6.157;     9;     1
 19600405;    7260;   5.694;     9;     1
 19600406;    7350;   5.765;     9;     1
 19600407;    7580;   5.945;     9;     1
 19600408;    7640;   5.992;     9;     1
 19600409;    7360;   5.773;     9;     1
 19600410;    7730;   6.063;     9;     1
 19600411;    7430;   5.827;     9;     1
 19600412;    6770;   5.310;     9;     1
 19600413;    6330;   4.965;     9;     1
 19600414;    6360;   4.988;     9;     1
 19600415;    6280;   4.925;     9;     1
 19600416;    5540;   4.345;     9;     1
 19600417;    4830;   3.788;     9;     1
 19600418;    4680;   3.671;     9;     1
 19600419;    4550;   3.569;     9;     1
 19600420;    4700;   3.686;     9;     1
 19600421;    5250;   4.118;     9;     1
 19600422;    5690;   4.463;     9;     1
 19600423;    5860;   4.596;     9;     1
 19600424;    5800;   4.549;     9;     1
 19600425;    5680;   4.455;     9;     1
 19600426;    5220;   4.094;     9;     1
 19600427;    4800;   3.765;     9;     1
 19600428;    4140;   3.247;     9;     1
 19600429;    3460;   2.714;     9;     1
 19600430;    3170;   2.486;     9;     1
 19600501;    3040;   2.384;     9;     1
 19600502;    3140;   2.463;     9;     1
 19600503;    3150;   2.471;     9;     1
 19600504;    3060;   2.400;     9;     1
 19600505;    3350;   2.627;     9;     1
 19600506;    3600;   2.824;     9;     1
 19600507;    3790;   2.973;     9;     1
 19600508;    3950;   3.098;     9;     1
 19600509;    3860;   3.027;     9;     1
 19600510;    3860;   3.027;     9;     1
 19600511;    3910;   3.067;     9;     1
 19600512;    3980;   3.122;     9;     1
 19600513;    4110;   3.224;     9;     1
 19600514;    3930;   3.082;     9;     1
 19600515;    3650;   2.863;     9;     1
 19600516;    3490;   2.737;     9;     1
 19600517;    3360;   2.635;     9;     1
 19600518;    3500;   2.745;     9;     1
 19600519;    3950;   3.098;     9;     1
 19600520;    3460;   2.714;     9;     1
 19600521;    3570;   2.800;     9;     1
 19600522;    7640;   5.992;     9;     1
 19600523;    5580;   4.376;     9;     1
 19600524;    4400;   3.451;     9;     1
 19600525;    7360;   5.773;     9;     1
 19600526;    4460;   3.498;     9;     1
 19600527;    3630;   2.847;     9;     1
 19600528;    3130;   2.455;     9;     1
 19600529;    2930;   2.298;     9;     1
 19600530;    2760;   2.165;     9;     1
