## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:25
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1214010
## Nom station                      : Le Fier à Dingy-Saint-Clair
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      948536 ;    6538976 ;      948561 ;    6539004 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      900188 ;    2107921 ;      900213 ;    2107949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.20670 ;   45.90504 ;     6.20704 ;   45.90528 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      222.00 ;     223.51 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         514 ;        528 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    18.2 [%]
## Débits disponibles               :  1906-01-01 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19060101;    3830;   1.481;     9;     1
 19060102;    3210;   1.241;     9;     1
 19060103;    3000;   1.160;     9;     1
 19060104;    3450;   1.334;     9;     1
 19060105;    6310;   2.439;     9;     1
 19060106;   10100;   3.904;     9;     1
 19060107;   14700;   5.682;     9;     1
 19060108;   15500;   5.992;     9;     1
 19060109;   15500;   5.992;     9;     1
 19060110;   12100;   4.677;     9;     1
 19060111;   10400;   4.020;     9;     1
 19060112;    7410;   2.864;     9;     1
 19060113;    6100;   2.358;     9;     1
 19060114;    5910;   2.285;     9;     1
 19060115;    5350;   2.068;     9;     1
 19060116;    4700;   1.817;     9;     1
 19060117;    4250;   1.643;     9;     1
 19060118;    3970;   1.535;     9;     1
 19060119;    6720;   2.598;     9;     1
 19060120;    5190;   2.006;     9;     1
 19060121;    4250;   1.643;     9;     1
 19060122;    3830;   1.481;     9;     1
 19060123;    3330;   1.287;     9;     1
 19060124;    3000;   1.160;     9;     1
 19060125;    2700;   1.044;     9;     1
 19060126;    3000;   1.160;     9;     1
 19060127;    2700;   1.044;     9;     1
 19060128;    2620;   1.013;     9;     1
 19060129;    2800;   1.082;     9;     1
 19060130;    2900;   1.121;     9;     1
 19060131;    2900;   1.121;     9;     1
 19060201;    2700;   1.044;     9;     1
 19060202;    2620;   1.013;     9;     1
 19060203;    2700;   1.044;     9;     1
 19060204;    2550;   0.986;     9;     1
 19060205;    2250;   0.870;     9;     1
 19060206;    2050;   0.792;     9;     1
 19060207;    2180;   0.843;     9;     1
 19060208;    2180;   0.843;     9;     1
 19060209;    2100;   0.812;     9;     1
 19060210;    2000;   0.773;     9;     1
 19060211;    2050;   0.792;     9;     1
 19060212;    2050;   0.792;     9;     0
 19060213;    2000;   0.773;     9;     0
 19060214;    1950;   0.754;     9;     0
 19060215;    1900;   0.734;     9;     0
 19060216;    1850;   0.715;     9;     0
 19060217;    1850;   0.715;     9;     1
 19060218;    1950;   0.754;     9;     1
 19060219;    2100;   0.812;     9;     1
 19060220;    2550;   0.986;     9;     1
 19060221;    2320;   0.897;     9;     1
 19060222;    2180;   0.843;     9;     1
 19060223;    2050;   0.792;     9;     1
 19060224;    2180;   0.843;     9;     1
 19060225;    2050;   0.792;     9;     1
 19060226;   21000;   8.118;     9;     1
 19060227;   13900;   5.373;     9;     1
 19060228;   15900;   6.146;     9;     1
 19060301;    8950;   3.460;     9;     1
 19060302;   11100;   4.291;     9;     1
 19060303;   14700;   5.682;     9;     1
 19060304;   13900;   5.373;     9;     1
 19060305;   17700;   6.842;     9;     1
 19060306;   12100;   4.677;     9;     1
 19060307;   12700;   4.909;     9;     1
 19060308;   12400;   4.793;     9;     1
 19060309;   27100;  10.476;     9;     1
 19060310;   20500;   7.924;     9;     1
 19060311;   13500;   5.219;     9;     1
 19060312;   56800;  21.957;     9;     1
 19060313;   21000;   8.118;     9;     1
 19060314;   13500;   5.219;     9;     1
 19060315;    9240;   3.572;     9;     1
 19060316;    8950;   3.460;     9;     1
 19060317;   11100;   4.291;     9;     1
 19060318;   13100;   5.064;     9;     1
 19060319;   14300;   5.528;     9;     1
 19060320;   12400;   4.793;     9;     1
 19060321;    9530;   3.684;     9;     1
 19060322;    7900;   3.054;     9;     1
 19060323;    6510;   2.517;     9;     1
 19060324;    5720;   2.211;     9;     1
