## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:30
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1255010
## Nom station                      : Le Chéran à Allèves [La Charniaz]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      941338 ;    6518195 ;      941388 ;    6518184 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      893163 ;    2087060 ;      893213 ;    2087049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.10340 ;   45.72065 ;     6.10403 ;   45.72053 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       249.0 ;      256.7 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         575 ;        584 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1950-05-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19500501;   12200;   4.106;     9;     1
 19500502;   11700;   3.938;     9;     1
 19500503;   10700;   3.601;     9;     1
 19500504;    8580;   2.888;     9;     1
 19500505;    7520;   2.531;     9;     1
 19500506;    7520;   2.531;     9;     1
 19500507;    7300;   2.457;     9;     1
 19500508;    6870;   2.312;     9;     1
 19500509;    6960;   2.343;     9;     1
 19500510;    7730;   2.602;     9;     1
 19500511;    7920;   2.666;     9;     1
 19500512;    7730;   2.602;     9;     1
 19500513;    7350;   2.474;     9;     1
 19500514;    7050;   2.373;     9;     1
 19500515;    6610;   2.225;     9;     1
 19500516;    6290;   2.117;     9;     1
 19500517;    7630;   2.568;     9;     1
 19500518;    9220;   3.103;     9;     1
 19500519;    9110;   3.066;     9;     1
 19500520;    7550;   2.541;     9;     1
 19500521;    7520;   2.531;     9;     1
 19500522;    7300;   2.457;     9;     1
 19500523;    6100;   2.053;     9;     1
 19500524;    5780;   1.945;     9;     1
 19500525;    5040;   1.696;     9;     1
 19500526;    4730;   1.592;     9;     1
 19500527;    4230;   1.424;     9;     1
 19500528;    4130;   1.390;     9;     1
 19500529;    4280;   1.441;     9;     1
 19500530;    3790;   1.276;     9;     1
 19500531;    3800;   1.279;     9;     1
 19500601;    4400;   1.481;     9;     1
 19500602;    4820;   1.622;     9;     1
 19500603;    4520;   1.521;     9;     1
 19500604;    3690;   1.242;     9;     1
 19500605;    3330;   1.121;     9;     1
 19500606;    3020;   1.016;     9;     1
 19500607;    3270;   1.101;     9;     1
 19500608;    2850;   0.959;     9;     1
 19500609;    2630;   0.885;     9;     1
 19500610;    2400;   0.808;     9;     1
 19500611;    2200;   0.740;     9;     1
 19500612;    2150;   0.724;     9;     1
 19500613;    2300;   0.774;     9;     1
 19500614;    2100;   0.707;     9;     1
 19500615;    1950;   0.656;     9;     1
 19500616;    1950;   0.656;     9;     1
 19500617;    2100;   0.707;     9;     1
 19500618;    2350;   0.791;     9;     1
 19500619;    2700;   0.909;     9;     1
 19500620;    2880;   0.969;     9;     1
 19500621;    2750;   0.926;     9;     1
 19500622;    3160;   1.064;     9;     1
 19500623;    2420;   0.815;     9;     1
 19500624;    2200;   0.740;     9;     1
 19500625;    2000;   0.673;     9;     1
 19500626;    1900;   0.640;     9;     1
 19500627;    1750;   0.589;     9;     1
 19500628;    1700;   0.572;     9;     1
 19500629;    1600;   0.539;     9;     1
 19500630;    1550;   0.522;     9;     1
 19500701;    1420;   0.478;     9;     1
 19500702;    1400;   0.471;     9;     1
 19500703;    1350;   0.454;     9;     1
 19500704;    1300;   0.438;     9;     1
 19500705;    1300;   0.438;     9;     1
 19500706;    1300;   0.438;     9;     1
 19500707;    1250;   0.421;     9;     1
 19500708;    1230;   0.414;     9;     1
 19500709;    1160;   0.390;     9;     1
 19500710;    1160;   0.390;     9;     1
 19500711;    1130;   0.380;     9;     1
 19500712;    1100;   0.370;     9;     1
 19500713;    1130;   0.380;     9;     1
 19500714;    1150;   0.387;     9;     1
 19500715;    1350;   0.454;     9;     1
 19500716;    1180;   0.397;     9;     1
 19500717;    1100;   0.370;     9;     1
 19500718;    1100;   0.370;     9;     1
 19500719;    1050;   0.353;     9;     1
 19500720;    1000;   0.337;     9;     1
 19500721;     980;   0.330;     9;     1
 19500722;    1000;   0.337;     9;     1
 19500723;    1000;   0.337;     9;     1
 19500724;    1980;   0.666;     9;     1
 19500725;     930;   0.313;     9;     1
 19500726;     920;   0.310;     9;     1
 19500727;     900;   0.303;     9;     0
 19500728;     900;   0.303;     9;     0
 19500729;     900;   0.303;     9;     0
 19500730;     900;   0.303;     9;     0
 19500731;     900;   0.303;     9;     0
 19500801;     900;   0.303;     9;     0
 19500802;    2010;   0.677;     9;     1
 19500803;    1600;   0.539;     9;     1
 19500804;    1250;   0.421;     9;     1
 19500805;    1150;   0.387;     9;     1
 19500806;    1050;   0.353;     9;     1
 19500807;    1000;   0.337;     9;     1
 19500808;    1400;   0.471;     9;     1
 19500809;    1050;   0.353;     9;     1
 19500810;    1000;   0.337;     9;     1
 19500811;    1340;   0.451;     9;     1
 19500812;    1230;   0.414;     9;     1
 19500813;    1100;   0.370;     9;     1
 19500814;    1060;   0.357;     9;     1
 19500815;    1050;   0.353;     9;     1
 19500816;    1050;   0.353;     9;     1
 19500817;    1160;   0.390;     9;     1
 19500818;    1830;   0.616;     9;     1
 19500819;    1350;   0.454;     9;     1
 19500820;    1170;   0.394;     9;     1
 19500821;    1100;   0.370;     9;     1
 19500822;    1050;   0.353;     9;     1
 19500823;    1050;   0.353;     9;     1
 19500824;     990;   0.333;     9;     1
 19500825;     930;   0.313;     9;     1
 19500826;     920;   0.310;     9;     1
 19500827;     930;   0.313;     9;     1
 19500828;     950;   0.320;     9;     1
 19500829;    1610;   0.542;     9;     1
 19500830;    1150;   0.387;     9;     1
 19500831;    1070;   0.360;     9;     1
 19500901;    6940;   2.336;     9;     1
 19500902;    6170;   2.077;     9;     1
 19500903;    2780;   0.936;     9;     1
 19500904;    1820;   0.613;     9;     1
 19500905;    1550;   0.522;     9;     1
 19500906;    1830;   0.616;     9;     1
 19500907;    2270;   0.764;     9;     1
 19500908;    1630;   0.549;     9;     1
 19500909;    1450;   0.488;     9;     1
 19500910;    1350;   0.454;     9;     1
 19500911;    1300;   0.438;     9;     1
 19500912;    1250;   0.421;     9;     1
 19500913;    1200;   0.404;     9;     1
 19500914;    1140;   0.384;     9;     1
 19500915;   30000;  10.097;     9;     1
 19500916;   16300;   5.486;     9;     1
 19500917;    7080;   2.383;     9;     1
 19500918;    4460;   1.501;     9;     1
